REPLACETHIS	WITHTHIS
&	AND
 LTD	 LIMITED
 L T D	 LIMITED
 L.T.D.	LIMITED
 LLC	 LIMITED LIABILITY COMPANY
 L.L.C	 LIMITED LIABILITY COMPANY
 L L C	 LIMITED LIABILITY COMPANY
 LLP	 LIMITED LIABILITY PARTNERSHIP
 L.L.P.	 LIMITED LIABILITY PARTNERSHIP
 P.L.C.	 PUBLIC LIMITED COMPANY
 PLC	 PUBLIC LIMITED COMPANY
 CIC	 COMMUNITY INTEREST COMPANY
 C.I.C	 COMMUNITY INTEREST COMPANY
 C I C 	 COMMUNITY INTEREST COMPANY
 C I C	 COMMUNITY INTEREST COMPANY
 CSU	 COMMISSIONING SUPPORT UNIT
 C.S.U	 COMMISSIONING SUPPORT UNIT
 C S U	 COMMISSIONING SUPPORT UNIT
 CCG	 CLINICAL COMMISSIONING GROUP
 PCT	 PRIMARY CARE TRUST
 P.C.T.	 PRIMARY CARE TRUST
DCLG	DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT
CO LTD	COMPANY LIMITED
ASSOC.	ASSOCIATION
ASSSOCIATION	ASSOCIATION
BRITAN	BRITAIN
DEPARTMENTS	DEPT
DEPARTMENT	DEPT
DEPTS	DEPT
KNOWLEGE	KNOWLEDGE
RGIONAL	REGIONAL
SAINT	ST
ST JOHNS AMBULANCE	ST JOHN AMBULANCE
WMC INSTITUTE	WMC
WOMEN INSTITUTE	WI
WOMENS INSTITUTE	WI
WORKING MENS CLUB	WMC
WORKING MENS SOCIAL CLUB	WMC
WORKINGMENS	WORKING MENS
WORKMENS CLUB	WMC
WORKMENS SOCIAL CLUB	WMC
YOUNG MENS CHRISTIAN ASSOC	YMCA
YOUNG WOMENS CHRISTIAN ASSOC	YWCA
