date,expensetype,expensearea,supplier,amount,file,negative
07/07/2020,Agency Nurse - Band 5,Central Nursing Agency,Care Providers Ltd,39243.0,CHWE 04 - July.csv,1
07/07/2020,Appliances - Other,Surgical Appliances Department,Opcare Ltd,25000.0,CHWE 04 - July.csv,1
07/07/2020,Appliances - Other,Surgical Appliances Department,Opcare Ltd,34008.0,CHWE 04 - July.csv,1
07/07/2020,Building Expenditure,Double Bowl Unit,Airedale Catering Equipment Ltd,78327.0,CHWE 04 - July.csv,1
07/07/2020,Drugs,Hiv - Herts,West Hertfordshire Hospitals Nhs Trust,164106.0,CHWE 04 - July.csv,1
07/07/2020,General Maintenance Contracts,Hard Fm Non Pay,Jca Engineering Limited,376665.0,CHWE 04 - July.csv,1
07/07/2020,Soft Services,Trust-wide,Iss Mediclean Limited,145931.0,CHWE 04 - July.csv,1
07/07/2020,M.R.I. Scans,Radiology:- Other Scanning,Alliance Medical Limited,54963.0,CHWE 04 - July.csv,1
07/07/2020,M.S.S.E. - Other,Sexual Health - Sutton,The Doctors Laboratory,26053.0,CHWE 04 - July.csv,1
07/07/2020,M.S.S.E. - Other,C-Virus - Preparatory Spend,Hayley Group Ltd,1004194.0,CHWE 04 - July.csv,1
07/07/2020,Research & Development Exp,Prep Study,Public Health England,51870.0,CHWE 04 - July.csv,1
07/07/2020,Soft Services,Trust-wide,Iss Mediclean Limited,45141.0,CHWE 04 - July.csv,1
07/07/2020,Soft Services,Trust-wide,Iss Mediclean Limited,45141.0,CHWE 04 - July.csv,1
07/07/2020,Services From N.H.S. Bodies,Imperial Gum Contract,Imperial College Healthcare Nhs Trust,52280.0,CHWE 04 - July.csv,1
07/07/2020,Services From N.H.S. Bodies,Imperial Gum Contract,Imperial College Healthcare Nhs Trust,278503.0,CHWE 04 - July.csv,1
07/07/2020,Drugs,Chelsea Pharmacy,Aah Pharmaceuticals Ltd,32740.0,CHWE 04 - July.csv,1
07/07/2020,Drugs,West Middlesex Pharmacy,Roche Products Ltd,27331.0,CHWE 04 - July.csv,1
07/07/2020,Typing&Transcription Services,General Medicine Management,Scribetech Uk Ltd,28191.0,CHWE 04 - July.csv,1
07/07/2020,Typing&Transcription Services,Opd Admin Musculo Skeletal,Dscribe Ltd,30437.0,CHWE 04 - July.csv,1
07/07/2020,T.M.H. Radiology Facilities,Radiology,Soliton  It Limited,41166.0,CHWE 04 - July.csv,1
07/07/2020,Lab. Equipment - Routine Items,Respiratory - Management,Baywater Healthcare Uk Ltd,27114.0,CHWE 04 - July.csv,1
07/07/2020,Lab. Equipment - Routine Items,Respiratory - Management,Baywater Healthcare Uk Ltd,27768.0,CHWE 04 - July.csv,1
09/07/2020,Agency Nurse - Band 5,Central Nursing Agency,Care Providers Ltd,42667.0,CHWE 04 - July.csv,1
09/07/2020,Agency Nurse - Band 5,Central Nursing Agency,Care Providers Ltd,45266.0,CHWE 04 - July.csv,1
09/07/2020,General Maintenance Contracts,Clinical Engineering,Nhs Supply Chain Maintenance (201),30153.0,CHWE 04 - July.csv,1
09/07/2020,Soft Services,Trust-wide,Iss Mediclean Limited,2292804.0,CHWE 04 - July.csv,1
09/07/2020,M.S.S.E. - Routine Purchases,Skin Bank,Joint Operations (Uk) Llp,36000.0,CHWE 04 - July.csv,1
09/07/2020,Services From - Foundation Tru,Paediatric Management,Imperial College Healthcare Nhs Trust,275690.0,CHWE 04 - July.csv,1
09/07/2020,Services From - Foundation Tru,Paediatric Management,Imperial College Healthcare Nhs Trust,270772.0,CHWE 04 - July.csv,1
09/07/2020,Services From - Foundation Tru,Paediatric Management,Imperial College Healthcare Nhs Trust,196925.0,CHWE 04 - July.csv,1
09/07/2020,Drugs,Chelsea Pharmacy,Aah Pharmaceuticals Ltd,26342.0,CHWE 04 - July.csv,1
09/07/2020,Drugs,Chelsea Pharmacy,Alliance Healthcare (Distribution ) Ltd,30000.0,CHWE 04 - July.csv,1
09/07/2020,Drugs,Chelsea Pharmacy,Gilead Sciences Ltd,26160.0,CHWE 04 - July.csv,1
09/07/2020,Drugs,Chelsea Pharmacy,Gilead Sciences Ltd,30120.0,CHWE 04 - July.csv,1
09/07/2020,Clinical Supplies,Divisional Areas,Nhs Supply Chain Roarp (101),85420.0,CHWE 04 - July.csv,1
09/07/2020,X-Ray Equipment Contracts,Radiology,Nhs Supply Chain Maintenance (201),37425.0,CHWE 04 - July.csv,1
09/07/2020,X-Ray Equipment Contracts,Radiology,Nhs Supply Chain Maintenance (201),441358.0,CHWE 04 - July.csv,1
09/07/2020,Leases - Buildings,Quarterly Rent,Dalness Estates Ltd,48000.0,CHWE 04 - July.csv,1
