date,expensetype,expensearea,supplier,transactionnumber,amount,file,negative
10/31/2020,Services Received - NHSTs,Bowel Cancer Screening Programme,BARTS AND THE LONDON NHS TRUST,35461254,50000.0,HOME 07 - October.pdf.csv,1
10/31/2020,Services Received - NHSTs,Bowel Cancer Screening Programme,BARTS AND THE LONDON NHS TRUST,35461254,10000.0,HOME 07 - October.pdf.csv,1
10/31/2020,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,35723941,61266.0,HOME 07 - October.pdf.csv,1
10/31/2020,Electricity,Homerton Energy,EDF ENERGY CUSTOMERS PLC,35736779,-12886.0,HOME 07 - October.pdf.csv,-1
10/31/2020,Electricity,Homerton Energy,EDF ENERGY CUSTOMERS PLC,35736779,-77084.0,HOME 07 - October.pdf.csv,-1
10/31/2020,Postage & Carriage,Post Homerton,XEROX (UK) LTD,35762384,25322.0,HOME 07 - October.pdf.csv,1
10/31/2020,Hospital Car Services,New Transport,ERS TRANSITION LTD,35773816,134757.0,HOME 07 - October.pdf.csv,1
10/31/2020,Other Transport Costs,Pathology,CITYSPRINT (UK) LTD,35773844,20912.0,HOME 07 - October.pdf.csv,1
10/31/2020,Electricity,Homerton Energy,EDF ENERGY CUSTOMERS PLC,35777844,12886.0,HOME 07 - October.pdf.csv,1
10/31/2020,Electricity,Homerton Energy,EDF ENERGY CUSTOMERS PLC,35777844,77084.0,HOME 07 - October.pdf.csv,1
10/31/2020,Electricity,Homerton Energy,EDF ENERGY CUSTOMERS PLC,35777847,13028.0,HOME 07 - October.pdf.csv,1
10/31/2020,Electricity,Homerton Energy,EDF ENERGY CUSTOMERS PLC,35777847,77979.0,HOME 07 - October.pdf.csv,1
10/31/2020,Electricity,Homerton Energy,EDF ENERGY CUSTOMERS PLC,35778288,-13028.0,HOME 07 - October.pdf.csv,-1
10/31/2020,Electricity,Homerton Energy,EDF ENERGY CUSTOMERS PLC,35778288,-77979.0,HOME 07 - October.pdf.csv,-1
10/31/2020,Lease Rents,Kenworthy Road - Estates,COMMUNITY HEALTH PARTNERSHIPS LTD,35779415,21857.0,HOME 07 - October.pdf.csv,1
10/31/2020,Lease Rents,Kenworthy Road - Estates,COMMUNITY HEALTH PARTNERSHIPS LTD,35779415,4371.0,HOME 07 - October.pdf.csv,1
10/31/2020,Service Charge,Kenworthy Road - Estates,COMMUNITY HEALTH PARTNERSHIPS LTD,35779415,2586.0,HOME 07 - October.pdf.csv,1
10/31/2020,Service Charge,Kenworthy Road - Estates,COMMUNITY HEALTH PARTNERSHIPS LTD,35779415,517.0,HOME 07 - October.pdf.csv,1
10/31/2020,Lease Rents,Hackney Ark - Estates,COMMUNITY HEALTH PARTNERSHIPS LTD,35779416,82074.0,HOME 07 - October.pdf.csv,1
10/31/2020,Lease Rents,Hackney Ark - Estates,COMMUNITY HEALTH PARTNERSHIPS LTD,35779416,16414.0,HOME 07 - October.pdf.csv,1
10/31/2020,Service Charge,Hackney Ark - Estates,COMMUNITY HEALTH PARTNERSHIPS LTD,35779416,9348.0,HOME 07 - October.pdf.csv,1
10/31/2020,Service Charge,Hackney Ark - Estates,COMMUNITY HEALTH PARTNERSHIPS LTD,35779416,1869.0,HOME 07 - October.pdf.csv,1
10/31/2020,Stocks Raw Materials,Balance Sheet,ST GEORGES UNIVERSITY HOSPITALS NHS,35789503,32228.0,HOME 07 - October.pdf.csv,1
10/31/2020,Stocks Raw Materials,Balance Sheet,"FOUNDATION TRUST
ST GEORGES UNIVERSITY HOSPITALS NHS",35789503,11632.0,HOME 07 - October.pdf.csv,1
10/31/2020,Specialist Registrar,Reserves,"FOUNDATION TRUST
ROYAL FREE LONDON NHS FOUNDATION",35792655,94235.0,HOME 07 - October.pdf.csv,1
10/31/2020,Specialist Registrar,Reserves,"TRUST
ROYAL FREE LONDON NHS FOUNDATION",35792656,94235.0,HOME 07 - October.pdf.csv,1
10/31/2020,Specialist Registrar,Reserves,"TRUST
ROYAL FREE LONDON NHS FOUNDATION",35792727,-94235.0,HOME 07 - October.pdf.csv,-1
10/31/2020,Hospital Car Services,New Transport,"TRUST
ERS TRANSITION LTD",35795538,134757.0,HOME 07 - October.pdf.csv,1
