date,expensetype,supplier,transactionnumber,amount,file,negative
12-May-20,PREMISES & FIXED PLANT,UK0479435601 : Prime Care Solutions (Kingston) Ltd,SIN000039,1697956.0,KGST 03 - June.csv,1
09-Jun-20,CLINICAL SUPPLIES & SERVICES,NHS0000RJ701 : St Georges Healthcare NHST,162511,852339.0,KGST 03 - June.csv,1
01-Jun-20,CLINICAL SUPPLIES & SERVICES,UK0092855501 : Boots UK Ltd,1800095309,251060.0,KGST 03 - June.csv,1
16-Jun-20,MANAGED EQUIPMENT SERVICE,UK0956718601 : Siemens Healthcare Ltd,1051082365,202568.0,KGST 03 - June.csv,1
18-May-20,MANAGED EQUIPMENT SERVICE,UK0956718601 : Siemens Healthcare Ltd,1051081204,201505.0,KGST 03 - June.csv,1
17-Apr-20,MANAGED EQUIPMENT SERVICE,UK0956718601 : Siemens Healthcare Ltd,1051078810,200873.0,KGST 03 - June.csv,1
09-Jun-20,IT SERVICES,UK0457165401 : Sectra Ltd,SIN002427,175549.0,KGST 03 - June.csv,1
07-Apr-20,CLINICAL SUPPLIES & SERVICES,UK0519023401 : InHealth Ltd,IHLIN0023517,168925.0,KGST 03 - June.csv,1
14-Jun-20,PREMISES & FIXED PLANT,UK0411321501 : M & O Building Contractors Ltd,4155,164955.0,KGST 03 - June.csv,1
03-May-20,CLINICAL SUPPLIES & SERVICES,UK0093504801 : Bayer plc,824C277909,136868.0,KGST 03 - June.csv,1
26-May-20,CLINICAL SUPPLIES & SERVICES,UK0093504801 : Bayer plc,824C281399,136868.0,KGST 03 - June.csv,1
20-Nov-19,IT SERVICES,UK0251930501 : Cerner Ltd,101676221,108886.0,KGST 03 - June.csv,1
01-May-20,IT SERVICES,UK0251930501 : Cerner Ltd,101750250,95314.0,KGST 03 - June.csv,1
11-May-20,GENERAL SUPPLIES & SERVICES,UK0258575901 : Veolia Energy & Utility Services UK Plc,90238489,93667.0,KGST 03 - June.csv,1
12-Jun-20,CLINICAL SUPPLIES & SERVICES,UK0093504801 : Bayer plc,824C283960,91245.0,KGST 03 - June.csv,1
09-Jun-20,GENERAL SUPPLIES & SERVICES,UK0258575901 : Veolia Energy & Utility Services UK Plc,90241814,89832.0,KGST 03 - June.csv,1
10-May-20,GENERAL SUPPLIES & SERVICES,UK0279833401 : Corona Energy Retail 4 Ltd,15249085,81916.0,KGST 03 - June.csv,1
08-Jun-20,GENERAL SUPPLIES & SERVICES,UK0105677401 : Apogee Corporation Ltd,1139189,78059.0,KGST 03 - June.csv,1
31-May-20,TRANSPORT EXPENSES,UK0496163501 : Falck UK Ambulance Service Ltd,25800,74225.0,KGST 03 - June.csv,1
09-Jun-20,GENERAL SUPPLIES & SERVICES,UK0279833401 : Corona Energy Retail 4 Ltd,15314794,73639.0,KGST 03 - June.csv,1
26-Mar-20,GENERAL SUPPLIES & SERVICES,UK0105677401 : Apogee Corporation Ltd,1122206,72371.0,KGST 03 - June.csv,1
01-May-20,IT SERVICES,UK0251930501 : Cerner Ltd,101750251,69696.0,KGST 03 - June.csv,1
02-Jun-20,GENERAL SUPPLIES & SERVICES,UKOC33365301 : Pinsent Masons LLP,6541415,69401.0,KGST 03 - June.csv,1
08-May-20,INTERIM STAFF CHARGES,UK0081873601 : Drake Personnel Ltd,303572,68000.0,KGST 03 - June.csv,1
03-Mar-20,IT SERVICES,UK0251930501 : Cerner Ltd,101720062,67830.0,KGST 03 - June.csv,1
01-Jun-20,PREMISES & FIXED PLANT,UK0577117901 : Ensigna Construction Ltd,3622,67500.0,KGST 03 - June.csv,1
03-Jun-20,WATER RATES ,UK0236666101 : Castle Water Ltd,1044210,58489.0,KGST 03 - June.csv,1
12-Jun-20,CLINICAL SUPPLIES & SERVICES,UK1088171501 : SCCL T/A NHS Supply Chain ROARP,1121043774,57657.0,KGST 03 - June.csv,1
01-May-20,CLINICAL SUPPLIES & SERVICES,UK0839315001 : Synergy Health Managed Services Ltd,30011477,53386.0,KGST 03 - June.csv,1
18-Feb-20,IT SERVICES,UK0158471801 : Computacenter UK Ltd,6914,52729.0,KGST 03 - June.csv,1
19-Jun-20,CLINICAL SUPPLIES & SERVICES,UK1088171501 : SCCL T/A NHS Supply Chain ROARP,1121049179,49269.0,KGST 03 - June.csv,1
01-Apr-20,IT SERVICES,UK0218324001 : Trustmarque Solutions Ltd,2297932,47460.0,KGST 03 - June.csv,1
01-Jun-20,CLINICAL SUPPLIES & SERVICES,UK0092855501 : Boots UK Ltd,1800095310,47426.0,KGST 03 - June.csv,1
31-May-20,CLINICAL SUPPLIES & SERVICES,UK0478525001 : 4Ways Healthcare,4WHC/02217517,41672.0,KGST 03 - June.csv,1
31-Mar-20,GENERAL SUPPLIES & SERVICES,UKOC33365301 : Pinsent Masons LLP,6527357,40779.0,KGST 03 - June.csv,1
04-May-20,GENERAL SUPPLIES & SERVICES,UK0004609501 : MXF Properties V Ltd,LINV511620,40183.0,KGST 03 - June.csv,1
01-May-20,IT SERVICES,UK0251930501 : Cerner Ltd,101750252,39772.0,KGST 03 - June.csv,1
02-Jun-20,IT SERVICES,UK0251930501 : Cerner Ltd,101761733,39772.0,KGST 03 - June.csv,1
05-Jun-20,CLINICAL SUPPLIES & SERVICES,UK1088171501 : SCCL T/A NHS Supply Chain ROARP,1121040804,39041.0,KGST 03 - June.csv,1
05-Jun-20,GENERAL SUPPLIES & SERVICES,UKOC37552701 : P2G LLP,540,38535.0,KGST 03 - June.csv,1
17-Jun-20,PREMISES & FIXED PLANT,UK0691240601 : Roothings Builders Ltd,RBL679,36750.0,KGST 03 - June.csv,1
29-Feb-20,TRANSPORT EXPENSES,UK0496163501 : Falck UK Ambulance Service Ltd,SIN003400,34124.0,KGST 03 - June.csv,1
31-May-20,CLINICAL SUPPLIES & SERVICES,UK0006253701 : Bunzl Retail & Healthcare Supplies Ltd,018/MAY20,32991.0,KGST 03 - June.csv,1
29-May-20,CLINICAL SUPPLIES & SERVICES,UK1088171501 : SCCL T/A NHS Supply Chain ROARP,1121036823,31504.0,KGST 03 - June.csv,1
