entuty,date,expensetype,expensearea,supplier,transactionnumber,amount,file,negative
King's College Hospital NHS Foundation Trust,05-Apr-20,Net Pay-247Time,Net Pay-247Time,247 Time Ltd,KCH-05042020S,91065.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,19-Apr-20,Net Pay-247Time,Net Pay-247Time,247 Time Ltd,KCH-19042020,160998.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,19-Apr-20,Net Pay-247Time,Net Pay-247Time,247 Time Ltd,KCH-19042020Fri,123035.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,05-Apr-20,Net Pay-247Time,Net Pay-247Time,247 Time Ltd,KCH-05042020,147421.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,26-Apr-20,Net Pay-247Time,Net Pay-247Time,247 Time Ltd,KCH-26042020S,106785.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,12-Apr-20,Net Pay-247Time,Net Pay-247Time,247 Time Ltd,KCH-12042020Fri,122131.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,26-Apr-20,Net Pay-247Time,Net Pay-247Time,247 Time Ltd,KCH-26042020,225127.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,12-Apr-20,Net Pay-247Time,Net Pay-247Time,247 Time Ltd,KCH-12042020S,76894.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,05-Apr-20,Net Pay-247Time,Net Pay-247Time,247 Time Ltd,KCH-05042020Fri,118587.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,19-Apr-20,Net Pay-247Time,Net Pay-247Time,247 Time Ltd,KCH-19042020S,96652.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,29-Mar-20,Net Pay-247Time,Net Pay-247Time,247 Time Ltd,KCH-29032020Fri,111753.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,12-Apr-20,Net Pay-247Time,Net Pay-247Time,247 Time Ltd,KCH-12042020,97843.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,09-Apr-20,Agency,Agency,247 TIME LTD     1-9400-92406,,118587.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,01-Apr-20,Agency,Agency,247 TIME LTD    1-9400-92406,,331192.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,15-Apr-20,Agency,Agency,247 TIME LTD    1-9400-92406,,174738.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,01-Apr-20,PHARMACY INVOICES,PHARMACY INVOICES,AAH PHARMACEUTICA KINGS COLL HOSP,,500000.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,01-Apr-20,Clinical Supplies and Services,Clinical Supplies and Services,ACQUISITION SYSTEM LTD / PHARMAGRAPH,12713,36994.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,02-Mar-20,Drugs,Drugs,ALEXION PHARMA UK,90875763,45360.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,20-Apr-20,Drugs,Drugs,ALEXION PHARMA UK,90894473,45360.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,11-Apr-20,Drugs,Drugs,ALLIANCE HEALTHCARE LTD (UNICHEM),B04905679,49104.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,02-Mar-20,Premises and Fixed Plant,Premises and Fixed Plant,ALLIANCE MEDICAL,AML-149264,77704.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,11-Mar-20,Drugs,Drugs,ALLOGA UK LTD,SIN102853104,27120.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,06-Apr-20,Drugs,Drugs,ALLOGA UK LTD,SIN102874208,40680.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,31-Mar-20,ICT,Fixed Asset,ALLSCRIPTS HEALTHCARE (IT) UK LTD,4000005625,459200.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,15-Apr-20,Premises and Fixed Plant,ICT - Systems Delivery,ALLSCRIPTS HEALTHCARE (IT) UK LTD,4000005706,56347.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,20-Mar-20,Premises and Fixed Plant,ICT - Management and Security,ALLSCRIPTS HEALTHCARE (IT) UK LTD,4000005784,738024.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,31-Mar-20,ICT,Fixed Asset,ALLSCRIPTS HEALTHCARE (IT) UK LTD,7000000482,73824.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,31-Mar-20,Equipment,Fixed Asset,AMERCARE LTD,33782,89560.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,30-Mar-20,Clinical Supplies and Services,Haematology OPD,ANTHONY NOLAN,622758,24779.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,16-Apr-20,Clinical Supplies and Services,Haematology OPD,ANTHONY NOLAN,623055,39780.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,14-Apr-20,Clinical Supplies and Services,Haematology OPD,ANTHONY NOLAN,623044,38645.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,30-Mar-20,Clinical Supplies and Services,Haematology OPD,ANTHONY NOLAN,622731,20982.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,24-Feb-20,Premises and Fixed Plant,Huntleigh,ARJO UK LTD,3392007103,50595.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,27-Jan-20,Premises and Fixed Plant,Huntleigh,ARJO UK LTD,3391955070,50595.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,31-Mar-20,Premises and Fixed Plant,Facilities Estates / Maintenance,ARTIC BUILDING SERVICES LTD,60946,29515.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,04-Jan-20,Professional and Technical,Cardiac Surgery & Perfusion Service,ASSURED PERFUSION & MEDICAL SERVICES,475,28675.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,17-Mar-20,Sub Contracted Healthcare - NHS bodies,Womens Central,BARTS AND THE LONDON NHS TRUST,400987,29500.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,09-Mar-20,Drugs,Drugs,BAYER PLC,824C268108,76562.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,16-Mar-20,Drugs,Drugs,BAYER PLC,824C269292,26220.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,22-Mar-20,Drugs,Drugs,BAYER PLC,824C271643,26220.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,23-Mar-20,Drugs,Drugs,BAYER PLC,824C71643,26220.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,03-Mar-20,Drugs,Drugs,BAYER PLC,824C267100,26220.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,15-Apr-20,COVID - 19,Facilities Estates / Maintenance,BESPOKE DETECTION SERVICES LTD,14923,46500.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,15-Apr-20,COVID - 19,Facilities Estates / Maintenance,BESPOKE DETECTION SERVICES LTD,14924,46500.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,21-Jan-20,Sub Contracted Healthcare - NHS bodies,General Surgery I,BMI HEALTHCARE,023_S1111_1219,44942.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,03-Apr-20,Clinical Supplies and Services,S&T A&E Management,BMI HEALTHCARE,030_S1101_0220,29927.0,KICO 01 - April.csv,1
