date,expensearea,expensetype,supplier,amount,file,negative
13/05/2020,Endoscopy N.P.H,Clinical Services Received,18 Week Support Llp,85000.0,LNWU 02 - May.csv,1
06/05/2020,Balance Sheet Lnwh,Salary Sacrifice White Goods,Akira Financial Limited,43653.0,LNWU 02 - May.csv,1
20/05/2020,Capital,Estates/Building Works,Kier Construction Limited,35256.0,LNWU 02 - May.csv,1
27/05/2020,Capital,Estates/Building Works,Kier Construction Limited,80394.0,LNWU 02 - May.csv,1
13/05/2020,Capital,Equipment,Siemens Healthcare,585960.0,LNWU 02 - May.csv,1
13/05/2020,Capital,Equipment,Siemens Healthcare,92970.0,LNWU 02 - May.csv,1
13/05/2020,Capital,Equipment,Siemens Healthcare,104898.0,LNWU 02 - May.csv,1
13/05/2020,Capital,Equipment,Siemens Healthcare,92970.0,LNWU 02 - May.csv,1
13/05/2020,Capital,Equipment,Siemens Healthcare,80664.0,LNWU 02 - May.csv,1
13/05/2020,Capital,Equipment,Siemens Healthcare,88986.0,LNWU 02 - May.csv,1
13/05/2020,Capital,Estates/Building Works,Siemens Healthcare,130972.0,LNWU 02 - May.csv,1
13/05/2020,Car Parking N.W.L,C.M.H. Car Parking Contract,Apcoa Parking ( Uk ) Limited,64953.0,LNWU 02 - May.csv,1
13/05/2020,Car Parking N.W.L,C.M.H. Car Parking Contract,Apcoa Parking ( Uk ) Limited,193694.0,LNWU 02 - May.csv,1
27/05/2020,Cardiology Investigationsn.W.L,General Instruments,Medtronic Ltd,568707.0,LNWU 02 - May.csv,1
06/05/2020,A&E Nursing E.H,General Instruments,Sccl-Nhs Supply Chain Roarp-Consumables,26941.0,LNWU 02 - May.csv,1
20/05/2020,I M & T Support Maintenance,Software Purchases \ Licences,Armadillo Managed Services Ltd,25549.0,LNWU 02 - May.csv,1
06/05/2020,Ibd Boost,Research Costs,Queen Mary University Of London,43403.0,LNWU 02 - May.csv,1
13/05/2020,Bed Hire Contract N.W.L,Bed Hire,Arjo Uk Ltd,78960.0,LNWU 02 - May.csv,1
06/05/2020,E.B.M.E.,E.B.M.E Contract,Bcas Bio Medical Services Ltd,210000.0,LNWU 02 - May.csv,1
20/05/2020,Post Room N.P.H,Postage,Pitney Bowes Limited - Franking,25000.0,LNWU 02 - May.csv,1
06/05/2020,I M & T Support Maintenance,Software Maintenance,Galtec Solutions Limited,55881.0,LNWU 02 - May.csv,1
27/05/2020,Point Of Care N.W.L,Reagents/Chemicals,Genmed.Me Ltd,30108.0,LNWU 02 - May.csv,1
06/05/2020,Endoscopy N.P.H,Clinical Services Received,Genmed.Me Ltd,56827.0,LNWU 02 - May.csv,1
06/05/2020,Managed Print,It Leases,Genmed.Me Ltd,136071.0,LNWU 02 - May.csv,1
27/05/2020,Point Of Care N.W.L,It Leases,Genmed.Me Ltd,54457.0,LNWU 02 - May.csv,1
27/05/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Baxter Healthcare Ltd,31730.0,LNWU 02 - May.csv,1
27/05/2020,E.B.M.E.,Medical Equip Repairs & Maint,Sccl-Nhs Supply Chain Maintenance,51755.0,LNWU 02 - May.csv,1
27/05/2020,Radiology C.M.H,Medical Equip Repairs & Maint,Sccl-Nhs Supply Chain Maintenance,93191.0,LNWU 02 - May.csv,1
27/05/2020,E.B.M.E.,Medical Equip Repairs & Maint,Sccl-Nhs Supply Chain Maintenance,58773.0,LNWU 02 - May.csv,1
20/05/2020,I M & T Support Maintenance,Software Maintenance,Hd Clinical Ltd,52800.0,LNWU 02 - May.csv,1
27/05/2020,Capital,Equipment,Stryker (Uk) Ltd,331179.0,LNWU 02 - May.csv,1
13/05/2020,Capital,Estates/Building Works,Seville Developments Ltd,51660.0,LNWU 02 - May.csv,1
20/05/2020,Year End Adjust,Medical Gases,Arjo Uk Ltd,27614.0,LNWU 02 - May.csv,1
20/05/2020,Bed Hire Contract N.W.L,Medical Equip Repairs & Maint,Arjo Uk Ltd,78960.0,LNWU 02 - May.csv,1
06/05/2020,Bed Hire Contract N.W.L,Medical Equip Repairs & Maint,Arjo Uk Ltd,43329.0,LNWU 02 - May.csv,1
11/05/2020,Capital,Software,Nuance Communications Ireland Limited,45000.0,LNWU 02 - May.csv,1
20/05/2020,Capital,Equipment,Fileder Filter Systems Limited,35694.0,LNWU 02 - May.csv,1
13/05/2020,Capital,Equipment,Carl Zeiss Ltd,126853.0,LNWU 02 - May.csv,1
27/05/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Aah Pharmaceuticals Limited,68208.0,LNWU 02 - May.csv,1
06/05/2020,Medicine Management,Clinical Services Received,Central And North West London,73858.0,LNWU 02 - May.csv,1
13/05/2020,Id Screening,Uniforms,Matz Medical Ltd,52200.0,LNWU 02 - May.csv,1
06/05/2020,Capital,Estates/Building Works,Atos It Services Uk Ltd,39446.0,LNWU 02 - May.csv,1
27/05/2020,Id Screening,Uniforms,Matz Medical Ltd,33000.0,LNWU 02 - May.csv,1
20/05/2020,Gynaecology Outpatients N.P.H,Other Medical Consumables,Karl Storz Endoscopy (Uk) Ltd,26430.0,LNWU 02 - May.csv,1
06/05/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Mawdsleys-Brookes & Co Ltd,50679.0,LNWU 02 - May.csv,1
06/05/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Mawdsleys-Brookes & Co Ltd,47976.0,LNWU 02 - May.csv,1
27/05/2020,Procurement,Uniforms,Merlin Developments Ltd,37980.0,LNWU 02 - May.csv,1
05/05/2020,Mattock Lne Health Cntrestates,Rates,Ealing London Borough Council,44954.0,LNWU 02 - May.csv,1
05/05/2020,Acton Health Centre Estates,Rates,Ealing London Borough Council,41230.0,LNWU 02 - May.csv,1
05/05/2020,Featherstone Road Estates,Rates,Ealing London Borough Council,28672.0,LNWU 02 - May.csv,1
06/05/2020,Capital,I.C.T Hardware,Dell Computer Corporation Ltd,247080.0,LNWU 02 - May.csv,1
20/05/2020,I M & T Support Maintenance,Computer Equipment,Dell Computer Corporation Ltd,139044.0,LNWU 02 - May.csv,1
11/05/2020,Capital,Estates/Building Works,Medical Imaging Systems Ltd,140541.0,LNWU 02 - May.csv,1
11/05/2020,Capital,Estates/Building Works,Medical Imaging Systems Ltd,49560.0,LNWU 02 - May.csv,1
21/05/2020,Blood Products N.W.L,Blood Products,Nhs Blood And Transplant,214579.0,LNWU 02 - May.csv,1
21/05/2020,Blood Products E.H,Blood Products,Nhs Blood And Transplant,45849.0,LNWU 02 - May.csv,1
21/05/2020,Blood Products N.W.L,Blood Products,Nhs Blood And Transplant,212436.0,LNWU 02 - May.csv,1
21/05/2020,Blood Products E.H,Blood Products,Nhs Blood And Transplant,42824.0,LNWU 02 - May.csv,1
28/05/2020,Blood Products N.W.L,Blood Products,Nhs Blood And Transplant,212436.0,LNWU 02 - May.csv,1
28/05/2020,Blood Products E.H,Blood Products,Nhs Blood And Transplant,42824.0,LNWU 02 - May.csv,1
27/05/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Celgene Limited,41909.0,LNWU 02 - May.csv,1
20/05/2020,Capital,Equipment,Sccl-Nhs Supply Chain Capital,383296.0,LNWU 02 - May.csv,1
20/05/2020,Capital,Equipment,Sccl-Nhs Supply Chain Capital,628351.0,LNWU 02 - May.csv,1
20/05/2020,Capital,Equipment,Draeger Medical Uk Ltd,42987.0,LNWU 02 - May.csv,1
20/05/2020,Capital,Equipment,Fujifilm Uk Limited,83994.0,LNWU 02 - May.csv,1
06/05/2020,Radiology N.P.H,Medical Equip Repairs & Maint,Philips Respironics Uk,50545.0,LNWU 02 - May.csv,1
27/05/2020,Capital,Equipment,Nihon Kohden Uk Limited,184381.0,LNWU 02 - May.csv,1
27/05/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Csl Behring Uk Ltd,33600.0,LNWU 02 - May.csv,1
06/05/2020,Southall Bdway Health Estates,Rent Payable,Messers Mohammad & Rahman,82500.0,LNWU 02 - May.csv,1
13/05/2020,I.B.D Nursing,Clinical Services Received,Lloyds Pharmacy Clinical Homecare,59223.0,LNWU 02 - May.csv,1
20/05/2020,I M & T Support Maintenance,Project Management,Cgi It Uk Limited,62005.0,LNWU 02 - May.csv,1
20/05/2020,Pathology Contract N.W.L,Pathology Contract T.D.L.,Nwlht Analytical Llp,1110215.0,LNWU 02 - May.csv,1
20/05/2020,Pathology Contract N.W.L,Pathology Contract T.D.L.,Nwlht Facilities Llp,650980.0,LNWU 02 - May.csv,1
27/05/2020,Payroll,Lease Cars,Ensure Uk Limited,294109.0,LNWU 02 - May.csv,1
06/05/2020,I M & T Support Maintenance,Software Maintenance,Softcat Ltd,33896.0,LNWU 02 - May.csv,1
20/05/2020,Capital,I.C.T Hardware,Softcat Ltd,61232.0,LNWU 02 - May.csv,1
27/05/2020,Radiology N.P.H,General Instruments,Agito Medical A/S,60000.0,LNWU 02 - May.csv,1
06/05/2020,Radiology N.P.H,General Instruments,Agito Medical A/S,48000.0,LNWU 02 - May.csv,1
27/05/2020,Capital,Equipment,Arthrex Ltd,40120.0,LNWU 02 - May.csv,1
13/05/2020,Information E.H,Software Maintenance,Phoenix Software Ltd,71789.0,LNWU 02 - May.csv,1
27/05/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Healthcare At Home Limited,47272.0,LNWU 02 - May.csv,1
27/05/2020,I M & T Support Maintenance,Software Maintenance,Teleologic Ltd,25872.0,LNWU 02 - May.csv,1
20/05/2020,Finance Directorate Mgmt,Liability To 3rd Party Ins,Nhs Resolution,1893806.0,LNWU 02 - May.csv,1
27/05/2020,Finance Directorate Mgmt,Liability To 3rd Party Ins,Nhs Resolution,1893806.0,LNWU 02 - May.csv,1
06/05/2020,P.A.C.S N.W.L,P.A.C.S,Sectra Limited,73630.0,LNWU 02 - May.csv,1
06/05/2020,P.A.C.S N.W.L,P.A.C.S,Sectra Limited,73630.0,LNWU 02 - May.csv,1
06/05/2020,Point Of Care N.W.L,Laboratory Service Contracts,Radiometer Limited,69698.0,LNWU 02 - May.csv,1
18/06/2020,Capital,Equipment,Omnicell Ltd,109080.0,LNWU 03 - June.csv,1
18/06/2020,Theatres N.P.H,Uniforms,The Age Of Aquarius Ltd,26400.0,LNWU 03 - June.csv,1
10/06/2020,Id Screening,Medical Equipment,The Income Generation Company (Tig Ltd),98582.0,LNWU 03 - June.csv,1
03/06/2020,Balance Sheet Lnwh,Salary Sacrifice White Goods,Akira Financial Limited,45990.0,LNWU 03 - June.csv,1
24/06/2020,Id Screening,General Instruments,Sccl-Nhs Supply Chain Roarp-Consumables,37840.0,LNWU 03 - June.csv,1
10/06/2020,Id Screening,General Instruments,Whi Safeguard Limited,40320.0,LNWU 03 - June.csv,1
18/06/2020,Car Parking N.W.L,C.M.H. Car Parking Contract,Apcoa Facilities Management (Uk) Limited,193694.0,LNWU 03 - June.csv,1
24/06/2020,Capital,Equipment,Medtronic Ltd,83154.0,LNWU 03 - June.csv,1
10/06/2020,Cardiology Investigationsn.W.L,General Instruments,Medtronic Ltd,289290.0,LNWU 03 - June.csv,1
10/06/2020,Cardiology Investigationsn.W.L,Pacemakers,Medtronic Ltd,279417.0,LNWU 03 - June.csv,1
18/06/2020,I M & T Support Maintenance,Software Purchases \ Licences,Armadillo Managed Services Ltd,25333.0,LNWU 03 - June.csv,1
10/06/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Roche Products Ltd,49094.0,LNWU 03 - June.csv,1
10/06/2020,I M & T Support Maintenance,Software Purchases \ Licences,Made Tech Limited,35999.0,LNWU 03 - June.csv,1
18/06/2020,Post Room N.P.H,Postage,Pitney Bowes Limited - Franking,25000.0,LNWU 03 - June.csv,1
04/06/2020,E.B.M.E.,E.B.M.E Contract,Bcas Bio Medical Services Ltd,210000.0,LNWU 03 - June.csv,1
10/06/2020,Id Screening,General Instruments,Whi Safeguard Limited,33600.0,LNWU 03 - June.csv,1
10/06/2020,Id Screening,Patients' Clothing,Specialist Door Solutions Ltd,64950.0,LNWU 03 - June.csv,1
10/06/2020,Id Screening,Patients' Clothing,Specialist Door Solutions Ltd,32475.0,LNWU 03 - June.csv,1
24/06/2020,Id Screening,Patients' Clothing,Specialist Door Solutions Ltd,48712.0,LNWU 03 - June.csv,1
04/06/2020,Endoscopy N.P.H,Clinical Services Received,Genmed.Me Ltd,56827.0,LNWU 03 - June.csv,1
10/06/2020,Procurement,It Leases,Genmed.Me Ltd,138711.0,LNWU 03 - June.csv,1
04/06/2020,Capital,Equipment,Baxter Healthcare Ltd,29520.0,LNWU 03 - June.csv,1
18/06/2020,Radiology N.P.H,Medical Equip Repairs & Maint,Sccl-Nhs Supply Chain Maintenance,51587.0,LNWU 03 - June.csv,1
10/06/2020,Radiology E.H,Medical Equip Repairs & Maint,Sccl-Nhs Supply Chain Maintenance,53980.0,LNWU 03 - June.csv,1
10/06/2020,Radiology N.P.H,Medical Equip Repairs & Maint,Sccl-Nhs Supply Chain Maintenance,66317.0,LNWU 03 - June.csv,1
24/06/2020,Urology C.M.H,Medical Equip Repairs & Maint,Sccl-Nhs Supply Chain Maintenance,68465.0,LNWU 03 - June.csv,1
24/06/2020,Theatres N.P.H,Medical Equip Repairs & Maint,Sccl-Nhs Supply Chain Maintenance,92691.0,LNWU 03 - June.csv,1
24/06/2020,Radiology E.H,Medical Equip Repairs & Maint,Sccl-Nhs Supply Chain Maintenance,63256.0,LNWU 03 - June.csv,1
10/06/2020,Estates\Facilities Management,Legal Fees,Trowers & Hamlins Llp,32646.0,LNWU 03 - June.csv,1
24/06/2020,Capital,Equipment,Maquet Limited,92999.0,LNWU 03 - June.csv,1
18/06/2020,I M & T Support Maintenance,Hardware Maintenance,Daisy Corporate Services Trading Limited,26930.0,LNWU 03 - June.csv,1
10/06/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Dialachemist Ltd T/A Springmed Solutions,29160.0,LNWU 03 - June.csv,1
24/06/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Boehringer Ingelheim Ltd,36828.0,LNWU 03 - June.csv,1
10/06/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Boehringer Ingelheim Ltd,32004.0,LNWU 03 - June.csv,1
24/06/2020,Id Screening,General Instruments,Toffeln Limited,186600.0,LNWU 03 - June.csv,1
04/06/2020,Communications (Phones),Mobile Phone Call Chgs\Rental,Bt Global Services,25670.0,LNWU 03 - June.csv,1
04/06/2020,Communications (Phones),Mobile Phone Call Chgs\Rental,Bt Global Services,25670.0,LNWU 03 - June.csv,1
10/06/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Aah Pharmaceuticals Limited,48523.0,LNWU 03 - June.csv,1
24/06/2020,Cardiology Investigationsn.W.L,Uniforms,Toffeln Limited,148262.0,LNWU 03 - June.csv,1
24/06/2020,Id Screening,Protective Clothing,Toffeln Limited,102999.0,LNWU 03 - June.csv,1
24/06/2020,Id Screening,Protective Clothing,Toffeln Limited,102999.0,LNWU 03 - June.csv,1
04/06/2020,Id Screening,Uniforms,Matz Medical Ltd,78000.0,LNWU 03 - June.csv,1
