date,expensetype,expensearea,supplier,transactionnumber,amount,file,negative
7/31/2020,C&M-GMS IT Comm Servs -GP Practices,PRIMARY CARE IT,KCOM GROUP PLC,32415419,17701.0,NEBD 04 - July.csv,1
7/31/2020,C&M-GMS IT Comm Servs -GP Practices,PRIMARY CARE IT,KCOM GROUP PLC,32415419,3540.0,NEBD 04 - July.csv,1
7/31/2020,NHS Recbles <1Yr-Srvc Recd-PCSS(L9),BALANCE SHEET,KCOM GROUP PLC,32415419,2948.0,NEBD 04 - July.csv,1
7/31/2020,NHS Recbles <1Yr-Srvc Recd-PCSS(L9),BALANCE SHEET,KCOM GROUP PLC,32415419,-4707.0,NEBD 04 - July.csv,-1
7/31/2020,Telecoms-Phone Instal & Maint,PRIMARY CARE IT,KCOM GROUP PLC,32415419,5834.0,NEBD 04 - July.csv,1
7/31/2020,Telecoms-Phone Instal & Maint,PRIMARY CARE IT,KCOM GROUP PLC,32415419,1166.0,NEBD 04 - July.csv,1
7/31/2020,Clinical&Medical- Non NHS LES,COMMISSIONING SCHEMES,TOGETHER FIRST LTD,32704682,477449.0,NEBD 04 - July.csv,1
7/31/2020,Hcare Srv Rec Fdtn Trust-Prior Year,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,32989806,-64807.0,NEBD 04 - July.csv,-1
7/31/2020,Hcare Srv Rec Fdtn Trust-Prior Year,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,32989816,-54245.0,NEBD 04 - July.csv,-1
7/31/2020,Hcare Srv Rec Fdtn Trust-Prior Year,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,32989822,-72820.0,NEBD 04 - July.csv,-1
7/31/2020,Hcare Srv Rec Fdtn Trust-Prior Year,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,32989826,-46984.0,NEBD 04 - July.csv,-1
7/31/2020,Hcare Srv Rec Fdtn Trust-Prior Year,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,32989832,-36455.0,NEBD 04 - July.csv,-1
7/31/2020,Hcare Srv Rec Fdtn Trust-Prior Year,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,32989839,36455.0,NEBD 04 - July.csv,1
7/31/2020,Clinical&Medical-Serv Recd-F Trsts,MENTAL HEALTH SERVICES - OTHER,NORTH EAST LONDON NHS FOUNDATION TRUST,32989848,39383.0,NEBD 04 - July.csv,1
7/31/2020,Hcare Srv Rec Fdtn Trust-Prior Year,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,32989853,-32987.0,NEBD 04 - July.csv,-1
