date,expensetype,expensearea,supplier,transactionnumber,amount,file,negative
30/09/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718365,40186.0,NENW 06 - September.pdf.csv,1
30/09/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718407,46495.0,NENW 06 - September.pdf.csv,1
30/09/2020,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BPAS,33718454,54247.0,NENW 06 - September.pdf.csv,1
30/09/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,NEWHAM GP CO-OPERATIVE LTD,33726237,72876.0,NENW 06 - September.pdf.csv,1
30/09/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,NEWHAM GP CO-OPERATIVE LTD,33726241,72876.0,NENW 06 - September.pdf.csv,1
30/09/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,NEWHAM GP CO-OPERATIVE LTD,33726243,72876.0,NENW 06 - September.pdf.csv,1
30/09/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,NEWHAM GP CO-OPERATIVE LTD,33726246,-101996.0,NENW 06 - September.pdf.csv,-1
30/09/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,NEWHAM GP CO-OPERATIVE LTD,33726247,-107418.0,NENW 06 - September.pdf.csv,-1
30/09/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,NEWHAM GP CO-OPERATIVE LTD,33726248,-101996.0,NENW 06 - September.pdf.csv,-1
30/09/2020,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,LONDON BOROUGH OF NEWHAM,33726249,43107.0,NENW 06 - September.pdf.csv,1
30/09/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,NEWHAM GP CO-OPERATIVE LTD,33726250,48137.0,NENW 06 - September.pdf.csv,1
30/09/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,NEWHAM GP CO-OPERATIVE LTD,33726251,48137.0,NENW 06 - September.pdf.csv,1
30/09/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,NEWHAM GP CO-OPERATIVE LTD,33726252,48137.0,NENW 06 - September.pdf.csv,1
30/09/2020,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,LONDONWIDE LMCS,33726253,66819.0,NENW 06 - September.pdf.csv,1
30/09/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,NEWHAM GP CO-OPERATIVE LTD,33726254,48137.0,NENW 06 - September.pdf.csv,1
30/09/2020,Clinical&Medical-Voluntary Sector,HOSPICES,ST JOSEPHS HOSPICE,33736772,65844.0,NENW 06 - September.pdf.csv,1
30/09/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33744385,-30135.0,NENW 06 - September.pdf.csv,-1
30/09/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33744567,35005.0,NENW 06 - September.pdf.csv,1
30/09/2020,Programme Support Costs,PROGRAMME PROJECTS,NHS PROFESSIONALS LTD,33748394,43750.0,NENW 06 - September.pdf.csv,1
30/09/2020,Computer Software/License,PRESCRIBING,OPTUM HEALTH SOLUTIONS (UK) LTD,33753155,66277.0,NENW 06 - September.pdf.csv,1
30/09/2020,Computer Software/License,PRESCRIBING,OPTUM HEALTH SOLUTIONS (UK) LTD,33753155,13255.0,NENW 06 - September.pdf.csv,1
30/09/2020,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,NORTH EAST LONDON NHS FOUNDATION TRUST,33754664,-116000.0,NENW 06 - September.pdf.csv,-1
30/09/2020,Legal / Prof Fees,ESTATES AND FACILITIES,FREEMAN ANKERMAN PARTNERSHIP LTD,33769789,27151.0,NENW 06 - September.pdf.csv,1
30/09/2020,Legal / Prof Fees,ESTATES AND FACILITIES,FREEMAN ANKERMAN PARTNERSHIP LTD,33769789,5430.0,NENW 06 - September.pdf.csv,1
30/09/2020,Legal / Prof Fees,PROGRAMME PROJECTS,FREEMAN ANKERMAN PARTNERSHIP LTD,33769789,7849.0,NENW 06 - September.pdf.csv,1
30/09/2020,Legal / Prof Fees,PROGRAMME PROJECTS,FREEMAN ANKERMAN PARTNERSHIP LTD,33769789,1569.0,NENW 06 - September.pdf.csv,1
30/09/2020,Voids and Subsidies,PROGRAMME PROJECTS,COMMUNITY HEALTH PARTNERSHIPS LTD,33802225,30785.0,NENW 06 - September.pdf.csv,1
