date,expensetype,expensearea,supplier,transactionnumber,amount,file,negative
2020-04-01 00:00:00,IT Support and Maintenance,Finance,B-Plan Information Systems Ltd,762906,50773.0,NMID 01 - April.xlsx,1
2020-04-01 00:00:00,Hire of Storage Facilities,Mortuary,Floyd & Son Ltd,764851,37800.0,NMID 01 - April.xlsx,1
2020-04-03 00:00:00,Consultancy,Trust Headquarters,Linea Partners Ltd,772656,104940.0,NMID 01 - April.xlsx,1
2020-04-09 00:00:00,Procurement Service,Procurement,Whittington Hosp Nhst,722975,34190.0,NMID 01 - April.xlsx,1
2020-04-09 00:00:00,Medical Staff Recharge,Various Medical Specialties,Royal Free London Nhs Ft,754368,153692.0,NMID 01 - April.xlsx,1
2020-04-09 00:00:00,Send Out Tests,Pathology,University College London Hospital Nhs Ft,754452,29141.0,NMID 01 - April.xlsx,1
2020-04-09 00:00:00,Medical Staff Recharge,Various Medical Specialties,Royal Free London Nhs Ft,760475,154389.0,NMID 01 - April.xlsx,1
2020-04-09 00:00:00,Medical Staff Recharge,Various Medical Specialties,Royal Free London Nhs Ft,760477,160190.0,NMID 01 - April.xlsx,1
2020-04-09 00:00:00,Common Services Charge,Histopathology,Royal Free London Nhs Ft,761350,84500.0,NMID 01 - April.xlsx,1
2020-04-09 00:00:00,Drugs,Pharmacy,Bayer Plc,761726,31464.0,NMID 01 - April.xlsx,1
2020-04-09 00:00:00,Drugs,Pharmacy,Roche Products Ltd,761962,42868.0,NMID 01 - April.xlsx,1
2020-04-09 00:00:00,Drugs,Pharmacy,Aah Pharmaceutical Ltd,761965,32349.0,NMID 01 - April.xlsx,1
2020-04-09 00:00:00,Drugs,Pharmacy,Janssen-Cilag Ltd,762185,25464.0,NMID 01 - April.xlsx,1
2020-04-09 00:00:00,Drugs,Pharmacy,Novartis Pharma Uk Ltd,762204,34312.0,NMID 01 - April.xlsx,1
2020-04-09 00:00:00,Drugs,Pharmacy,Aah Pharmaceutical Ltd,762308,32349.0,NMID 01 - April.xlsx,1
