ccg,date,expensearea,expensetype,supplier,transactionnumber,amount,file,negative,expensetypoe
NHS Central London CCG,30-Apr-20,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,WESTBOURNE GREEN SURGERY (THE),31793842,18330.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,WELLINGTON HEALTH CENTRE (THE),31793842,45382.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,WELLINGTON HEALTH CENTRE (THE),31793844,4830.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,WELLINGTON HEALTH CENTRE (THE),31793844,878.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,WELLINGTON HEALTH CENTRE (THE),31793844,6676.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HOMELESS HEALTH CIC,31793844,34662.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HOMELESS HEALTH CIC,31793846,65.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,CENTRAL & NORTH WEST LONDON NHS FOUNDATION TRUST,31793846,1674000.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,LISSON GROVE HEALTH CENTRE,31809407,64736.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,LISSON GROVE HEALTH CENTRE,31813038,8106.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,LISSON GROVE HEALTH CENTRE,31813038,3927.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-PMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,LISSON GROVE HEALTH CENTRE,31813038,11071.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,LISSON GROVE HEALTH CENTRE,31813038,4036.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,LISSON GROVE HEALTH CENTRE,31813038,8386.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,LISSON GROVE HEALTH CENTRE,31813038,1269.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,AT MEDICS STREATHAM PLACE,31813038,67979.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,AT MEDICS STREATHAM PLACE,31813041,1179.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,AT MEDICS STREATHAM PLACE,31813041,4254.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,AT MEDICS STREATHAM PLACE,31813041,3718.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Programme Support Costs,NON RECURRENT PROGRAMMES,ROYAL TRINITY HOSPICE,31813041,39331.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Computer Software/License,THIRD PARTY HOSTED SERVICE 7,INSIGHT DIRECT (UK) LTD,31835503,169314.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,31851237,114682.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,CAMDEN & ISLINGTON NHS FOUNDATION TRUST,31853095,132844.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,CENTRAL & NORTH WEST LONDON NHS FOUNDATION TRUST,31853096,4411905.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,31853097,1548670.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,31853098,2039497.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,31853099,1627828.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,31853101,5512982.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,31853103,113311.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,LONDON AMBULANCE SERVICE NHS TRUST,31853104,1122152.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,LONDON NORTH WEST HEALTHCARE NHS TRUST,31853106,96589.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,31853107,107029.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,EAST LONDON NHS FOUNDATION TRUST,31853108,44091.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,31853109,56542.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,31853110,397848.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,31853111,28556.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,31853112,58255.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,31853113,56770.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,HILLINGDON HOSPITALS NHS FOUNDATION TRUST,31853114,54257.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL MARSDEN NHS FOUNDATION TRUST (THE),31853115,88639.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION,31853116,1815750.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,WHITTINGTON HOSPITAL NHS TRUST (THE),31853118,36438.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Apprenticeship Levy Payable,BALANCE SHEET,HMRC,31853119,2315.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Income tax <1Yr,BALANCE SHEET,HMRC,31868906,118115.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Income tax <1Yr-Student Loans,BALANCE SHEET,HMRC,31868906,3007.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,National Insurance < 1 yr-NI- ERS,BALANCE SHEET,HMRC,31868906,80156.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,National Insurance < 1 yr-NI-EES,BALANCE SHEET,HMRC,31868906,57519.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Post Graduate Loan Payable,BALANCE SHEET,HMRC,31868906,117.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Statutory Adoption Pay < 1 yr,BALANCE SHEET,HMRC,31868906,-273.0,NWCL 01 -  April.pdf.csv,-1,
NHS Central London CCG,30-Apr-20,Statutory Mat Pay < 1 yr,BALANCE SHEET,HMRC,31868906,-8531.0,NWCL 01 -  April.pdf.csv,-1,
NHS Central London CCG,30-Apr-20,Computer Software/License,THIRD PARTY HOSTED SERVICE 2,MJOG LTD,31868906,30991.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Computer Software/License,THIRD PARTY HOSTED SERVICE 2,MJOG LTD,31876486,29673.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Computer Software/License,THIRD PARTY HOSTED SERVICE 2,MJOG LTD,31876488,36926.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Computer Software/License,THIRD PARTY HOSTED SERVICE 2,MJOG LTD,31876489,49455.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,31876493,103104.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Cont Care- Children,CHC CHILDREN,CITY OF WESTMINSTER,31876547,78000.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Clinical&Medical-Voluntary Sector,MENTAL HEALTH SERVICES - OLDER PEOPLE,HOSPITAL OF ST JOHN & ST ELIZABETH,31888829,98380.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Cont Care-Learning Disab(<65),LEARNING DIFFICULTIES,WESTMINSTER SOCIETY FOR PEOPLE WITH LEARNING DISABILITIES,31888840,48371.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Hcare Srv Rec NHS Trust-Contract Baseline,LONG TERM CONDITIONS,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,31888845,299278.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Hcare Srv Rec NHS Trust-Contract Baseline,LONG TERM CONDITIONS,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,31888848,299278.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Cont Care-Learning Disab(<65),LEARNING DIFFICULTIES,WESTMINSTER SOCIETY FOR PEOPLE WITH LEARNING DISABILITIES,31888852,59682.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BELGRAVIA SURGERY,31888853,60907.0,NWCL 01 -  April.pdf.csv,1,
