ccg,date,expensetype,expensearea,supplier,transactionnumber,amount,file,negative
NHS Harrow CCG,30-Apr-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,HILLINGDON HOSPITALS NHS FOUNDATION TRUST,32031747,-548788.0,NWHA 01 - April.pdf.csv,-1
NHS Harrow CCG,30-Apr-20,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,ROYAL MARSDEN NHS FOUNDATION TRUST (THE),32031657,-27316.0,NWHA 01 - April.pdf.csv,-1
NHS Harrow CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR MD PANDYA,31972189,24.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-APMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,RIDGEWAY SURGERY,31972199,56.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR KK VARA,31951236,62.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,SHAFTESBURY MEDICAL CENTRE,31951256,64.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,HEADSTONE ROAD SURGERY,31972195,113.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,RIDGEWAY SURGERY,31972199,115.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR K M AMIN & DR P K AMIN,31972187,136.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,ADO THE ENTERPRISE PRACTICE,31951222,142.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,V RAVIKUMAR,31972198,142.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR GA GOLDEN & PARTNER,31951230,148.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR MD PANDYA,31972189,151.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR RV RAJA,31951245,182.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR MP EDDINGTON & PARTNERS,31951243,242.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR C JENNER & PARTNERS,31972183,295.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-APMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR VYAS & PNTERS,31972196,308.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR J WIJERATNE & PTNRS,31951232,322.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,RIDGEWAY SURGERY,31972199,324.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR D C PATEL & PARTNERS HARROW,31972185,328.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR F MCCLOGHRY & PARTNERS,31951227,337.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR VYAS & PNTERS,31972196,366.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR H MISTRY & PTNRS,31972186,378.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR SEYAN & PARTNERS,31951247,401.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR L PETERS & PARTNERS,31972192,424.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR MP EDDINGTON & PARTNERS,31951243,440.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR MD PANDYA,31972189,446.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-APMS Other Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,MOLLISON WAY SURGERY (AT MEDICS LTD),31972200,454.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,V RAVIKUMAR,31972198,455.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DRS R DAWOOD & R RUDD,31951251,468.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR SMA FAROOQI & PARTNERS,31972194,475.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR P J DAVID,31951241,482.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR KK VARA,31951236,502.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR KK VARA,31951232,515.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,HEADSTONE ROAD SURGERY,31972195,516.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR L HOMMEL & PARTNERS,31972189,517.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,DR VYAS & PNTERS,31972196,527.0,NWHA 01 - April.pdf.csv,1
