ccg,date,expensetype,expensearea,supplier,transactionnumber,amount,file,negative,expsenearea
NHS Hounslow CCG,31/10/2020,Hcare Srv Rec NHS Trust-Non Contract,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,WEST LONDON NHS TRUST,34130013,44000.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,Hcare Srv Rec NHS Trust,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,WEST LONDON NHS TRUST,34130021,28000.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,CARE UK COMMUNITY PARTNERSHIPS LTD,34130132,85140.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,OMNES HEALTHCARE LTD,34131875,47920.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,Clinical&Medical-Commercial Sector,OUT OF HOURS,LONDON CENTRAL & WEST UNSCHEDULED CARE,34132091,43499.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,Clinical&Medical-Commercial Sector,OUT OF HOURS,"COLLABORATIVE
LONDON CENTRAL & WEST UNSCHEDULED CARE",34132105,43499.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,Hcare Srv Rec NHS Trust-Non Contract,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,"COLLABORATIVE
WEST LONDON NHS TRUST",34132177,-44000.0,NWHO 07 - October.pdf.csv,-1,
NHS Hounslow CCG,31/10/2020,Hcare Srv Rec NHS Trust-Non Contract,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,WEST LONDON NHS TRUST,34132180,-28000.0,NWHO 07 - October.pdf.csv,-1,
NHS Hounslow CCG,31/10/2020,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,ADVINIA CARE HOME LTD,34133364,50310.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,Cont Care-Mental Health (65+),CHC ADULT FULLY FUNDED,RAMSAY NEUROLOGICAL SERVICES,34133402,26217.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,HOUNSLOW CONSORTIUM LTD,34142441,510685.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR DJ MENDEL,34167016,58798.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR DJ MENDEL,34167016,1136.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS PCO Doctors Ret Scheme,PRC DELEGATED CO-COMMISSIONING,DR DJ MENDEL,34167016,2999.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR DJ MENDEL,34167016,3086.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR DJ MENDEL,34167016,1548.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR DJ MENDEL,34167016,4659.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR GM WILLIAMS,34167018,26364.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DR GM WILLIAMS,34167018,12088.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,DR GM WILLIAMS,34167018,1824.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR GM WILLIAMS,34167018,6006.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DR GM WILLIAMS,34167018,12496.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR GM WILLIAMS,34167018,496.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR GM WILLIAMS,34167018,3040.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR GM WILLIAMS,34167018,1855.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR MG ETMINAN,34167020,43311.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,DR MG ETMINAN,34167020,2375.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR MG ETMINAN,34167020,806.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,DR MG ETMINAN,34167020,5440.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR MG ETMINAN,34167020,2602.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR MG ETMINAN,34167020,3077.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR MG ETMINAN,34167020,3680.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR P GILL,34167022,50920.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR P GILL,34167022,904.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,DR P GILL,34167022,4006.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR P GILL,34167022,2385.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR P GILL,34167022,3588.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR VK WINAYAK,34167024,30236.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,DR VK WINAYAK,34167024,3020.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR VK WINAYAK,34167024,563.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR VK WINAYAK,34167024,4583.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR VK WINAYAK,34167024,833.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR VK WINAYAK,34167024,2776.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR VE KUMARAN,34167026,42752.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,DR VE KUMARAN,34167026,2370.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR VE KUMARAN,34167026,834.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR VE KUMARAN,34167026,3746.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,GROVE VILLAGE MEDICAL CENTRE,34167028,50928.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,GROVE VILLAGE MEDICAL CENTRE,34167028,3300.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,GROVE VILLAGE MEDICAL CENTRE,34167028,956.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,GROVE VILLAGE MEDICAL CENTRE,34167028,3933.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,GROVE VILLAGE MEDICAL CENTRE,34167028,584.0,NWHO 07 - October.pdf.csv,1,
