organisationname,date,transactionnumber,supplier,expensearea,expensetype,amount,file,negative,ideptfamily
Royal Free London NHS Foundation Trust,01/07/2020,1393741,University College London,Rf:Cardiology,Other Non-Clinical Services,224000.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/07/2020,1426530,Siemens Financial Services Ltd,Rf:Radiology,Radiology Equipment,31560.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/07/2020,1430664,Philips Healthcare (Surrey),Tw:Patient Systems,Other Non-Clinical Supplies,68358.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/07/2020,1440946,Insight Direct (Uk) Ltd,Tw:Telecommunications,Other Non-Clinical Supplies,103800.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/07/2020,1445750,Philips Healthcare (Surrey),Tw:Patient Systems,Other Non-Clinical Supplies,68358.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/07/2020,1448083,Dhl Supply Chain Ltd,Rf:Rfh Transport,Transport-Misc.Expenses,101717.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/07/2020,1457657,Dhl Supply Chain Ltd,Rf:Rfh Transport,Transport-Misc.Expenses,101717.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/07/2020,1463354,Utilyx Healthcare Energy Services Ltd,Rf:Energy,Rentals Operating Leases,93496.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/07/2020,1463355,Utilyx Healthcare Energy Services Ltd,Rf:Energy,Rentals Operating Leases,93496.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/07/2020,1464729,Dhl Supply Chain Ltd,Rf:Rfh Transport,Transport-Misc.Expenses,928470.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,01/07/2020,1464731,Dhl Supply Chain Ltd,Rf:Rfh Transport,Transport-Misc.Expenses,928470.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/07/2020,1385126,The Hillingdon Hospitals Nhs Ft,Rf:Mount Vernon,Other Non-Clinical Services,54073.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/07/2020,1411885,University College London,Tw:R+D Manager,Other Med - Recharge In,27597.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/07/2020,1412051,Synergy Health Managed Services Ltd,Bh:Bgh Linen,Catering Equipment,61716.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/07/2020,1438993,Siemens Financial Services Ltd,Rf:Itu 3/4,Rentals Operating Leases,89724.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/07/2020,1439214,Aquilant Endoscopy,Tw:Windfall Endoscopy Money,Med&Surg Equipment,35400.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/07/2020,1450044,Bevan Brittan Llp,Tw:Clinical Risk + Safety,Legal Costs,42857.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/07/2020,1450775,Leica Microsystems (Uk) Ltd,Rf:Mohs Lab Derma Ref No 287,Med&Surg Equipment,26953.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/07/2020,1452686,Keystream Healthcare Resources Ltd,Tw:Information Man And Tech,Other Non-Clinical Supplies,45281.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/07/2020,1453138,Castle Water Limited,Rf:Energy,Sewerage,40123.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/07/2020,1454973,Leica Microsystems (Uk) Ltd,Rf:Mohs Lab Derma Ref No 287,Med&Surg Equipment,29957.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/07/2020,1457356,Logan Construction (Se) Ltd,Rf:Nucmed Enabling Works,Consultancy Fees,29100.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/07/2020,1457499,Edf Energy Customers Plc,Rf:Energy,Electricity,209306.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/07/2020,1458316,Mace Group Limited,Tw:Nightingale Ward (Excel),Building Contracts,607065.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/07/2020,1458373,Supply Chain Coordination Ltd (Maintenance),Bh:Breast Screen,Radiology Equipment,31787.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/07/2020,1460852,Atalian Servest Security Limited,Rf:Covid-19 (Surge),Serv Other Nhs Non-Clinical,216427.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/07/2020,1460955,Logan Construction (Se) Ltd,Rf: Enabling Works - Mri Unit,Building Contracts,261900.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/07/2020,1461138,Nhs Providers,Tw:Financial Director,Subscriptions,25865.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/07/2020,1463857,Draper & Dash Ltd,Tw:Information Management,It Service Contracts,45862.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/07/2020,1464639,Rfl Property Services Limited,Rf:Ih Catering Patients,Ic Ih Catering Patients,334614.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/07/2020,1464751,W  & I Craig (Civil Engineering) Ltd,Rf:Corona Virus Assessment Pod,Building Contracts,51129.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/07/2020,1465585,Cfes Limited,Tw:Covid-19 Stp,Other Non-Clinical Supplies,118773.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/07/2020,1467628,Aah Pharmaceutical Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,48523.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/07/2020,1467714,Biotest Uk Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,39900.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/07/2020,1467734,Csl Behring,Tw:Balance Sheet,Pharmacy Issues & Receipts,88200.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/07/2020,1468161,Alliance Healthcare (Distribution) Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,33600.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/07/2020,1468166,Alliance Healthcare (Distribution) Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,28800.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/07/2020,1468273,Alliance Healthcare (Distribution) Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,57600.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/07/2020,1468737,Healthcare At Home Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,-244541.0,ROYF 04-06 - July - September.csv,-1,
Royal Free London NHS Foundation Trust,03/07/2020,1469445,Bevan Brittan Llp,Tw:Clinical Risk + Safety,Legal Costs,29869.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/07/2020,1469887,Specialist Computer Centres Plc,Tw:Patient Systems,Office Equipment,60012.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/07/2020,1469942,Mri - Devices Ltd,Rf:Mri Anaesthetic Monitor-336,Med&Surg Equipment,69000.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/07/2020,1470030,Cfes Limited,Tw:Nightingale Ward (Excel),Building Contracts,600000.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,03/07/2020,1470032,Cfes Limited,Tw:Nightingale Ward (Excel),Building Contracts,521396.0,ROYF 04-06 - July - September.csv,1,
