date,expensetype,expensearea,supplier,transactionnumber,amount,file,negative
30/09/2020,C&M-GMS Other Delivery,PRC DELEGATED CO-COMMISSIONING,NHS ENGLAND,33720319,166801.0,SEL 06 - September.pdf.csv,1
30/09/2020,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,BONDCARE LONDON,33734772,-25275.0,SEL 06 - September.pdf.csv,-1
30/09/2020,C&M-APMS LES Caretaking Payments,PRC DELEGATED CO-COMMISSIONING,BROMLEY GP ALLIANCE,33734792,81751.0,SEL 06 - September.pdf.csv,1
30/09/2020,Cont Care- Adult Joint Funded,ADULT JOINT FUNDED CONTINUING CARE,ROYAL HOSPITAL FOR NEURO DISABILITY,33734868,11526.0,SEL 06 - September.pdf.csv,1
30/09/2020,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,ROYAL HOSPITAL FOR NEURO DISABILITY,33734868,11613.0,SEL 06 - September.pdf.csv,1
30/09/2020,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,ROYAL HOSPITAL FOR NEURO DISABILITY,33734868,16722.0,SEL 06 - September.pdf.csv,1
30/09/2020,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,ROYAL HOSPITAL FOR NEURO DISABILITY,33734868,88689.0,SEL 06 - September.pdf.csv,1
30/09/2020,Cont Care-Physical Disab (<65),CLINICAL ASSESSMENT AND TREATMENT CENTRES,ROYAL HOSPITAL FOR NEURO DISABILITY,33734868,6566.0,SEL 06 - September.pdf.csv,1
30/09/2020,Clinical&Medical-Commercial Sector,MATERNITY SERVICES,MARIE STOPES INTERNATIONAL,33734879,46534.0,SEL 06 - September.pdf.csv,1
30/09/2020,Clinical&Medical-Voluntary Sector,CHILD AND ADOLESCENT MENTAL HEALTH,Y BROMLEY,33734922,100000.0,SEL 06 - September.pdf.csv,1
30/09/2020,Clinical&Medical-Voluntary Sector,CHILD AND ADOLESCENT MENTAL HEALTH,Y BROMLEY,33734924,91349.0,SEL 06 - September.pdf.csv,1
30/09/2020,Clinical&Medical-Voluntary Sector,CHILD AND ADOLESCENT MENTAL HEALTH,Y BROMLEY,33734925,96467.0,SEL 06 - September.pdf.csv,1
30/09/2020,Cont Care- Palliative Care,CLINICAL ASSESSMENT AND TREATMENT CENTRES,HC ONE LTD,33734964,13287.0,SEL 06 - September.pdf.csv,1
30/09/2020,Cont Care-Funded Nursing Care Allow,CLINICAL ASSESSMENT AND TREATMENT CENTRES,HC ONE LTD,33734964,15790.0,SEL 06 - September.pdf.csv,1
30/09/2020,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,HC ONE LTD,33734964,61743.0,SEL 06 - September.pdf.csv,1
30/09/2020,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,HC ONE LTD,33734964,8908.0,SEL 06 - September.pdf.csv,1
30/09/2020,Cont Care-Physical Disab (65+),CLINICAL ASSESSMENT AND TREATMENT CENTRES,HC ONE LTD,33734964,12752.0,SEL 06 - September.pdf.csv,1
30/09/2020,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NORTHWOOD GROUP PRACTICE,33735109,70062.0,SEL 06 - September.pdf.csv,1
30/09/2020,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,THORNBURY NURSING SERVICES,33735114,25523.0,SEL 06 - September.pdf.csv,1
30/09/2020,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NORTHWOOD GROUP PRACTICE,33735116,70062.0,SEL 06 - September.pdf.csv,1
30/09/2020,Soc Care-Community Equp&Adaptations,COMMUNITY SERVICES,ROYAL BOROUGH OF GREENWICH,33735125,126827.0,SEL 06 - September.pdf.csv,1
30/09/2020,Clinical&Medical-Independent Sector - Contract Baseline,COMMUNITY SERVICES,BRYMORE HOUSE,33737548,94889.0,SEL 06 - September.pdf.csv,1
30/09/2020,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,COLOMA COURT CARE HOME,33741397,32268.0,SEL 06 - September.pdf.csv,1
30/09/2020,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,MISSION CARE,33741485,33762.0,SEL 06 - September.pdf.csv,1
30/09/2020,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,MISSION CARE,33741487,34681.0,SEL 06 - September.pdf.csv,1
30/09/2020,Hcare Srv Rec NHS Trust-Prior Year,GENERAL RESERVE - PROGRAMME,LEWISHAM & GREENWICH NHS TRUST,33743179,47627.0,SEL 06 - September.pdf.csv,1
30/09/2020,Hcare Srv Rec NHS Trust-Prior Year,GENERAL RESERVE - PROGRAMME,LEWISHAM & GREENWICH NHS TRUST,33743188,42846.0,SEL 06 - September.pdf.csv,1
30/09/2020,Clinical&Medical-Independent Sector - Prior Year,PROGRAMME PROJECTS,ST JOHN AMBULANCE,33746225,-46280.0,SEL 06 - September.pdf.csv,-1
30/09/2020,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,CYGNET HEALTHCARE LTD,33746245,36224.0,SEL 06 - September.pdf.csv,1
30/09/2020,Clinical&Medical-Othe Public Sector,REABLEMENT,LONDON BOROUGH OF LAMBETH,33746352,1531174.0,SEL 06 - September.pdf.csv,1
30/09/2020,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,DEVON & CORNWALL AUTISTIC COMMUNITY TRUST,33756649,35171.0,SEL 06 - September.pdf.csv,1
30/09/2020,Clinical&Medical-Independent Sector,LEARNING DIFFICULTIES,CYGNET (DH) LTD,33756715,30659.0,SEL 06 - September.pdf.csv,1
30/09/2020,Cont Care-Physical Disab (<65),CHC AD FULL FUND PERS HLTH BUD,VIBRANCE,33762841,200990.0,SEL 06 - September.pdf.csv,1
30/09/2020,Miscellaneous Expenditure (L9),CLINICAL ASSESSMENT AND TREATMENT CENTRES,BEXLEY HEALTH NEIGHBOURHOOD CARE CIC,33766529,41362.0,SEL 06 - September.pdf.csv,1
30/09/2020,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,BONDCARE LONDON,33766586,25275.0,SEL 06 - September.pdf.csv,1
30/09/2020,Hcare Srv Rec NHS Trust-Over/ Under Performance,AMBULANCE SERVICES,LONDON AMBULANCE SERVICE NHS TRUST,33766601,-101506.0,SEL 06 - September.pdf.csv,-1
30/09/2020,External Consultancy Fees,PROGRAMME PROJECTS,MOORHOUSE CONSULTING LTD,33766611,52380.0,SEL 06 - September.pdf.csv,1
30/09/2020,Hcare Srv Rec Fdtn Trust-Prior Year,PROGRAMME PROJECTS,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,33766635,109217.0,SEL 06 - September.pdf.csv,1
30/09/2020,Clinical&Medical-Independent Sector,URGENT CARE,GREENBROOK HEALTHCARE (HOUNSLOW) LTD,33766689,242069.0,SEL 06 - September.pdf.csv,1
30/09/2020,Clinical&Medical-Independent Sector,URGENT CARE,GREENBROOK HEALTHCARE (HOUNSLOW) LTD,33766703,94039.0,SEL 06 - September.pdf.csv,1
30/09/2020,Clinical&Medical-Independent Sector,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,NELBRO GROUP,33766719,30991.0,SEL 06 - September.pdf.csv,1
30/09/2020,Clinical&Medical-Independent Sector,REABLEMENT,ATTAIN HEALTH MANAGEMENT SERVICES LTD,33766761,45072.0,SEL 06 - September.pdf.csv,1
30/09/2020,Hcare Srv Rec NHS Trust-Over/ Under Performance,AMBULANCE SERVICES,LONDON AMBULANCE SERVICE NHS TRUST,33766938,101506.0,SEL 06 - September.pdf.csv,1
30/09/2020,Miscellaneous Expenditure (L9),CLINICAL ASSESSMENT AND TREATMENT CENTRES,BEXLEY HEALTH NEIGHBOURHOOD CARE CIC,33766996,-41362.0,SEL 06 - September.pdf.csv,-1
30/09/2020,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,PHYSIOLOGICAL MEASUREMENTS LTD,33767145,51699.0,SEL 06 - September.pdf.csv,1
30/09/2020,Clinical&Medical-Independent Sector,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,ELYSIUM HEALTHCARE LTD,33779228,45360.0,SEL 06 - September.pdf.csv,1
