date,expensetype,expensearea,supplier,transactionnumber,amount,file,negative
28/02/2021,Cont Care- Children,CHILDREN'S CONTINUING CARE PERSONAL HEALTH BUDGETS,36L AARIAH TAYLOR,35770137,44655.0,SWl 11 - February.pdf.csv,1
28/02/2021,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,92 HIGHER DRIVE LTD,35713435,28104.0,SWl 11 - February.pdf.csv,1
28/02/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,A F FROLEY,35766156,40937.0,SWl 11 - February.pdf.csv,1
28/02/2021,C&M-GMS Other FDR Payment,PRC DELEGATED CO-COMMISSIONING,A F FROLEY,35766156,7997.0,SWl 11 - February.pdf.csv,1
28/02/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,A F FROLEY,35766156,1594.0,SWl 11 - February.pdf.csv,1
28/02/2021,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,A F FROLEY,35766156,3650.0,SWl 11 - February.pdf.csv,1
28/02/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,A F FROLEY,35766156,3108.0,SWl 11 - February.pdf.csv,1
28/02/2021,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,A F FROLEY,35766156,73.0,SWl 11 - February.pdf.csv,1
28/02/2021,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,A F FROLEY,35766156,47.0,SWl 11 - February.pdf.csv,1
28/02/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,A HAFEEZ,35590107,31697.0,SWl 11 - February.pdf.csv,1
28/02/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,A HAFEEZ,35590107,6639.0,SWl 11 - February.pdf.csv,1
28/02/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,A HAFEEZ,35590107,1216.0,SWl 11 - February.pdf.csv,1
28/02/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,A HAFEEZ,35590107,1883.0,SWl 11 - February.pdf.csv,1
28/02/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,A HAFEEZ,35590107,3023.0,SWl 11 - February.pdf.csv,1
28/02/2021,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,ACHIEVING FOR CHILDREN LTD,35481768,62500.0,SWl 11 - February.pdf.csv,1
