Department Family,Entity,Date Paid,Expense Type,Expense Area,Supplier Name,Transaction Reference,amount
Department of Health,Chelsea & Westminster NHS Foundation Trust,01/09/2020,Building Expenditure,Lift Services,Specialist Lift Services,1508213,"115,776.72"
Department of Health,Chelsea & Westminster NHS Foundation Trust,01/09/2020,Drugs,Hiv Drugs - Harlow,The Princess Alexandra Hospital Nhs Trust,1506492,"38,141.10"
Department of Health,Chelsea & Westminster NHS Foundation Trust,01/09/2020,Electricty,Trust-wide,Edf Energy 1 Ltd,1500760,"181,818.33"
Department of Health,Chelsea & Westminster NHS Foundation Trust,01/09/2020,Equipment Expenditure,Microbiology,Biomerieux Uk Limited,1508210,"65,625.60"
Department of Health,Chelsea & Westminster NHS Foundation Trust,01/09/2020,Gas,Trust-wide,Total Gas & Power Ltd,1505171,"56,768.50"
Department of Health,Chelsea & Westminster NHS Foundation Trust,01/09/2020,Minor Works,Facilities Management,Bywest Ltd,1507335,"34,164.45"
Department of Health,Chelsea & Westminster NHS Foundation Trust,01/09/2020,Sterile Services Contract,Sterile Services Dept,Ihss Limited,1502891,"42,783.30"
Department of Health,Chelsea & Westminster NHS Foundation Trust,01/09/2020,Sterile Services Contract,Sterile Services Dept,Ihss Limited,1502894,"42,783.30"
Department of Health,Chelsea & Westminster NHS Foundation Trust,01/09/2020,Sterile Services Contract,Sterile Services Dept,Ihss Limited,1502897,"42,783.30"
Department of Health,Chelsea & Westminster NHS Foundation Trust,01/09/2020,Sterile Services Contract,Sterile Services Dept,Ihss Limited,1502901,"42,783.30"
Department of Health,Chelsea & Westminster NHS Foundation Trust,01/09/2020,Drugs,West Middlesex Pharmacy,Alloga Uk Limited,1507758,"36,000.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,01/09/2020,Clinical Supplies,Divisional Areas,Nhs Supply Chain Roarp (101),1508255,"111,680.05"
Department of Health,Chelsea & Westminster NHS Foundation Trust,01/09/2020,Clinical Supplies,Divisional Areas,Nhs Supply Chain Roarp (101),1508256,"64,818.78"
Department of Health,Chelsea & Westminster NHS Foundation Trust,01/09/2020,Typing&Transcription Services,Opd Admin Musculo Skeletal,Dscribe Ltd,1492035,"34,722.67"
Department of Health,Chelsea & Westminster NHS Foundation Trust,01/09/2020,Typing&Transcription Services,Opd Admin Musculo Skeletal,Dscribe Ltd,1501970,"29,506.87"
Department of Health,Chelsea & Westminster NHS Foundation Trust,03/09/2020,Computer Maintenance Contracts,Covid 19 Testing Software Licences and Support,Idox Health Ltd,1506458,"70,125.60"
Department of Health,Chelsea & Westminster NHS Foundation Trust,03/09/2020,Drugs,Chelsea Pharmacy,Boots Uk Ltd,1500965,"980,874.14"
Department of Health,Chelsea & Westminster NHS Foundation Trust,03/09/2020,Drugs,Chelsea Pharmacy,Boots Uk Ltd,1500969,"842,390.16"
Department of Health,Chelsea & Westminster NHS Foundation Trust,03/09/2020,Drugs,Hiv Drugs - Herts,West Hertfordshire Hospitals Nhs Trust,1494608,"168,008.14"
Department of Health,Chelsea & Westminster NHS Foundation Trust,03/09/2020,General Maintenance Contracts,Decontamination Services Dept,Nhs Supply Chain Maintenance (201),1499450,"45,419.30"
Department of Health,Chelsea & Westminster NHS Foundation Trust,03/09/2020,Hard FM,Trust-wide,Jca Engineering Limited,1509066,"376,665.60"
Department of Health,Chelsea & Westminster NHS Foundation Trust,03/09/2020,Acute Psychiatry, Therapies Eic,West London Mental Health Nhs Trust,1455330,"520,000.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,03/09/2020,Services From N.H.S. Bodies,Hiv Testing,The Princess Alexandra Hospital Nhs Trust,1492431,"52,906.25"
Department of Health,Chelsea & Westminster NHS Foundation Trust,03/09/2020,Services From Non Nhs Org,Medical Outliers,Medihome Ltd,1461907,"64,358.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,03/09/2020,Services From Non Nhs Org,Medical Outliers,Medihome Ltd,1472221,"55,733.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,03/09/2020,Services From Non Nhs Org,Medical Outliers,Medihome Ltd,1481397,"55,733.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,03/09/2020,Services From Non Nhs Org,Medical Outliers,Medihome Ltd,1496670,"55,733.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,03/09/2020,Services From Non Nhs Org,Medical Outliers,Medihome Ltd,1500810,"55,733.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,03/09/2020,Pathology Services,Sexual Health - Sutton,The Doctors Laboratory,1491290,"51,801.40"
Department of Health,Chelsea & Westminster NHS Foundation Trust,03/09/2020,Drugs,Chelsea Pharmacy,Bayer Plc,1509070,"45,622.80"
Department of Health,Chelsea & Westminster NHS Foundation Trust,03/09/2020,Lab. Equipment - Routine Items,Respiratory - Management,Baywater Healthcare Uk Ltd,1489495,"26,746.54"
Department of Health,Chelsea & Westminster NHS Foundation Trust,08/09/2020,Agency A&C - Band 2,Epr Cross Site Project,Brook Street Bureau Plc,1510101,"37,754.62"
Department of Health,Chelsea & Westminster NHS Foundation Trust,08/09/2020,M.S.S.E. - Other,C-Virus - Preparatory Spend,Mi Hub Limited T/A Alexandra,1509118,"350,000.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,08/09/2020,Other Printing,I.T Management,Hp Inc. Uk Limited,1500966,"25,858.18"
Department of Health,Chelsea & Westminster NHS Foundation Trust,08/09/2020,Service Charge - Core Pfi,Pfi Unitary Payment,Bywest Ltd,1509714,"1,511,817.76"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/09/2020,Agency Nurse - Band 5,Chelsea Site,Care Providers Ltd,1509514,"90,254.52"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/09/2020,Building Expenditure,Upgarde of Marjory Warren Ward,Ensigna Construction Ltd,1511177,"156,930.12"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/09/2020,Building Expenditure,Nell Gwynne Ward Refurbishment,Ensigna Construction Ltd,1511178,"220,954.97"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/09/2020,Drugs,Hiv Drugs - Harlow,The Princess Alexandra Hospital Nhs Trust,1502297,"34,573.86"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/09/2020,Equipment Expenditure,Clinical Engineering Chelsea Site,Inspiration Healthcare,1492023,"125,730.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/09/2020,General Computer Hardware,Epr Cross Site Project,Cerner Limited,1508996,"33,267.19"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/09/2020,General Computer Software,Clinical Govnance & Corp Affairs,Datix  Ltd,1509303,"37,630.12"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/09/2020,General Maintenance Contracts,Anaesthetics Staff,Rotamap Ltd,1507372,"63,726.30"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/09/2020,M.S.S.E. - Other,C-Virus - Preparatory Spend,Mi Hub Limited T/A Alexandra,1511110,"175,000.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/09/2020,M.S.S.E. - Routine Purchases,General Theatres,Sigmacon (U.K) Ltd,1508464,"28,800.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/09/2020,Non-Nhs Contracts,Cardiac Cath Lab,Medtronic Limited,1508846,"128,866.80"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/09/2020,Dispensing Fee,Pharmacy Outpatients,Boots Uk Ltd,1509537,"46,834.32"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/09/2020,Drugs,West Middlesex Pharmacy,Dialachemist Ltd T/A Springmed Solutions,1510041,"34,020.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/09/2020,It Shared Service,Ict - Shared Services Project,Sphere Systems Powering Healthcare Ltd,1499305,"63,367.10"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/09/2020,It Shared Service,Ict - Shared Services Project,Sphere Systems Powering Healthcare Ltd,1499306,"48,712.61"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/09/2020,It Shared Service,Ict - Shared Services Project,Sphere Systems Powering Healthcare Ltd,1499307,"48,848.39"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/09/2020,X-Ray Equipment Contracts,Radiology Department,Hologic Ltd,1508230,"45,420.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/09/2020,Recharges – Pay and non-pay costs,Clinical Trial Facility,Imperial College London,1364310,"54,571.39"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/09/2020,Service Charge - Variation Pfi,Pfi Unitary Payment,Bywest Ltd,1509715,"584,658.69"
Department of Health,Chelsea & Westminster NHS Foundation Trust,11/09/2020,M.S.S.E. - Other,C-Virus - Preparatory Spend,Emmo Holdings Ltd,1482737,"1,432,500.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,11/09/2020,Other Consultancy,Strategy And Marketing,Advisory Board Company,1508409,"25,302.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,15/09/2020,Agency Nurse - Band 5,Chelsea Site,Care Providers Ltd,1512227,"70,172.75"
Department of Health,Chelsea & Westminster NHS Foundation Trust,15/09/2020,Building Expenditure,Nell Gwynne Ward Refurbishment,Ensigna Construction Ltd,1511213,"303,695.88"
Department of Health,Chelsea & Westminster NHS Foundation Trust,15/09/2020,Building Expenditure,St Mary Abbots Ward Refurbishment,Jca Engineering Limited,1509843,"329,672.98"
Department of Health,Chelsea & Westminster NHS Foundation Trust,15/09/2020,Building Expenditure,Transformer Replacement and Upgrade ,Jca Engineering Limited,1510543,"434,876.68"
Department of Health,Chelsea & Westminster NHS Foundation Trust,15/09/2020,Soft Services,Trust-wide,Iss Mediclean Limited,1510192,"2,356,792.68"
Department of Health,Chelsea & Westminster NHS Foundation Trust,15/09/2020,It Shared Service,Ict - Shared Services Project,Sphere Systems Powering Healthcare Ltd,1510002,"574,587.80"
Department of Health,Chelsea & Westminster NHS Foundation Trust,17/09/2020,Drugs,Chelsea Pharmacy,Boots Uk Ltd,1509541,"797,723.69"
Department of Health,Chelsea & Westminster NHS Foundation Trust,17/09/2020,Rent Rates & Service Charge,Chelsea Harbour,Chelsea Harbour Ltd,1508370,"48,990.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,17/09/2020,Rent Rates & Service Charge,Chelsea Harbour,Chelsea Harbour Ltd,1508372,"31,404.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,17/09/2020,Rent Rates & Service Charge,Chelsea Harbour,Chelsea Harbour Ltd,1508389,"40,425.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,17/09/2020,Research & Development Exp,Prep Study,The Newcastle Upon Tyne Hospitals Nhs Ft,1512921,"39,852.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,17/09/2020,Drugs,Chelsea Pharmacy,Aah Pharmaceuticals Ltd,1511840,"32,728.99"
Department of Health,Chelsea & Westminster NHS Foundation Trust,17/09/2020,Clinical Supplies,Divisional Areas,Nhs Supply Chain Roarp (101),1510055,"65,629.76"
Department of Health,Chelsea & Westminster NHS Foundation Trust,17/09/2020,Clinical Supplies,Divisional Areas,Nhs Supply Chain Roarp (101),1510056,"103,051.02"
Department of Health,Chelsea & Westminster NHS Foundation Trust,17/09/2020,Clinical Supplies,Divisional Areas,Nhs Supply Chain Roarp (101),1512186,"68,396.48"
Department of Health,Chelsea & Westminster NHS Foundation Trust,17/09/2020,Clinical Supplies,Divisional Areas,Nhs Supply Chain Roarp (101),1512188,"123,209.02"
Department of Health,Chelsea & Westminster NHS Foundation Trust,17/09/2020,Commercial Rents and Service Charge,Dean Street Facilities,Amas Ltd,1508684,"173,790.90"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/09/2020,Agency Nurse - Band 5,Chelsea Site,Care Providers Ltd,1513368,"59,129.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/09/2020,Building Expenditure,Upgarde of Marjory Warren Ward,Ensigna Construction Ltd,1513130,"299,592.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/09/2020,Drugs,Hiv Drugs - Herts,West Hertfordshire Hospitals Nhs Trust,1505129,"244,198.32"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/09/2020,Drugs,Hiv Drugs - Herts,West Hertfordshire Hospitals Nhs Trust,1513808,"107,288.64"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/09/2020,Drugs,Hiv Drugs - Harlow,The Princess Alexandra Hospital Nhs Trust,1501358,"57,678.16"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/09/2020,Drugs,Hiv Drugs - Harlow,The Princess Alexandra Hospital Nhs Trust,1513330,"54,665.24"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/09/2020,I.T. Expenditure,NWL Collaborative Bank Project (NHSi Programme),Locum Tap Ltd T/A Patchwork Health,1506509,"42,000.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/09/2020,Pathology Services,Sexual Health - Sutton,The Doctors Laboratory,1501021,"85,439.90"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/09/2020,Nhs Blood Products,Haematology Department,Nhs Blood Transplant,1484233,"57,939.41"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/09/2020,Nhs Blood Products,Pathology And Blood,Nhs Blood Transplant,1484232,"74,548.95"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/09/2020,Nw London Pathology Contract,Imperial Pathology (Central),North West London Pathology,1508841,"178,520.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/09/2020,Nw London Pathology Contract,Imperial Pathology (Central),North West London Pathology,1508843,"1,808,593.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/09/2020,Pathology - Contract W.M.U.H.,Path Central Purchasing,Beckman Coulter United Kingdom Ltd,1512201,"65,425.48"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/09/2020,Rates & Council Tax,West Middlesex site,London Borough Of Hounslow,1514950,"90,972.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/09/2020,Rates & Council Tax,Dean St Facilities,Westminster City Council,1514937,"26,866.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/09/2020,Rates & Council Tax,Chelsea Site,Royal Borough Of Kensington And Chelsea,1514934,"223,972.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/09/2020,Research & Development Exp,Pioneer,Research Organisation (Kc) Ltd,1511682,"177,600.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/09/2020,Sbs Service Charge,Hr Directorate Team - Executiv,Nhs Shared Business Services,1514969,"36,699.10"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/09/2020,Services From N.H.S. Bodies,Imperial Gum Contract,Imperial College Healthcare Nhs Trust,1510224,"89,734.93"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/09/2020,Staff Flow Central Account,Trust-wide,Liaison Financial Services Ltd,1514942,"26,461.96"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/09/2020,Staff Flow Central Account,Trust-wide,Liaison Financial Services Ltd,1514945,"46,604.63"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/09/2020,Staff Flow Central Account,Trust-wide,Liaison Financial Services Ltd,1514947,"36,852.02"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/09/2020,Staff Flow Central Account,Trust-wide,Liaison Financial Services Ltd,1514949,"61,594.47"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/09/2020,Drugs,Chelsea Pharmacy,Alloga Uk Limited,1514251,"27,000.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/09/2020,Drugs,Chelsea Pharmacy,Bayer Plc,1513461,"45,622.80"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/09/2020,Drugs,West Middlesex Pharmacy,Alloga Uk Limited,1514464,"41,400.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/09/2020,Drugs,West Middlesex Pharmacy,Roche Products Ltd,1514215,"46,763.69"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/09/2020,Clinical Supplies,Divisional Areas,Nhs Supply Chain Roarp (101),1514019,"118,067.36"
