Department Family,Entity,Date Paid,Expense Type,Expense Area,Supplier Name,Transaction Reference,amount
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/01/2021,Agency Nurse - Band 5,Chelsea Site,Care Providers Ltd,CH1032,"89,709.17"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/01/2021,Appliances - Other,Orthopaedic Medical Staff,Opcare Ltd,OP-SI-036854,"34,008.80"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/01/2021,Appliances - Other,Orthopaedic Medical Staff,Opcare Ltd,OP-SI-037634,"34,008.80"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/01/2021,Appliances - Other,Surgical Appliances Department,Opcare Ltd,OP-SI-030726,"55,955.67"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/01/2021,Building Expenditure,C&W LV Infrastructure Upgrade - Sub Station 2,Jca Engineering Limited,INV28890,"213,410.40"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/01/2021,Annual License (IP),Trust-wide,Baxter Healthcare Ltd,20295118,"77,168.40"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/01/2021,Professional Services,Trust-wide,Baxter Healthcare Ltd,20295117,"44,928.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/01/2021,General Maintenance Contracts,Trust-wide,Jca Engineering Limited,INV-N10081,"94,171.10"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/01/2021,General Maintenance Contracts,Trust-wide,Jca Engineering Limited,INV-N10084,"424,347.80"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/01/2021,M.S.S.E. - Routine Purchases,Radiology,Curium Pharma Uk Ltd,RI10077434,"25,436.40"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/01/2021,Drugs,Chelsea Pharmacy,Aah Pharmaceuticals Ltd,53280314W,"49,680.53"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/01/2021,Drugs,West Middlesex Pharmacy,Alloga Uk Limited,SIN103068139,"43,200.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/01/2021,Clinical Supplies,Divisional Areas,Nhs Supply Chain Roarp (101),1121168550,"140,944.51"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/01/2021,Clinical Supplies,Divisional Areas,Nhs Supply Chain Roarp (101),1121165717,"123,935.59"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/01/2021,Clinical Supplies,Divisional Areas,Nhs Supply Chain Roarp (101),1121170563,"73,118.48"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/01/2021,Clinical Supplies,Divisional Areas,Nhs Supply Chain Roarp (101),1121168960,"39,678.08"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/01/2021,Typing&Transcription Services,Opd Admin Musculo Skeletal,Dscribe Ltd,C201174,"27,124.27"
Department of Health,Chelsea & Westminster NHS Foundation Trust,07/01/2021,Soft Services,Trust-wide,Iss Mediclean Limited,SI3538127,"131,924.02"
Department of Health,Chelsea & Westminster NHS Foundation Trust,07/01/2021,General Computer Hardware,Epr Cross Site Project,Cerner Limited,101860326,"33,267.19"
Department of Health,Chelsea & Westminster NHS Foundation Trust,07/01/2021,Internal Audit Fees,Professional Advice,Kpmg Llp Fees Account,5502179169,"32,611.50"
Department of Health,Chelsea & Westminster NHS Foundation Trust,07/01/2021,M.R.I. Scans,Radiology:- Other Scanning,Alliance Medical Limited,AML-166288,"172,554.12"
Department of Health,Chelsea & Westminster NHS Foundation Trust,07/01/2021,Other Consultancy,Procurement,Lifecycle Managment Group Limited,10410,"47,339.98"
Department of Health,Chelsea & Westminster NHS Foundation Trust,07/01/2021,Soft Services,Trust-wide,Bywest Ltd,SIN000226,"389,555.95"
Department of Health,Chelsea & Westminster NHS Foundation Trust,07/01/2021,HIV Clinical Services,Hiv Ð Herts,Central London Community Healthcare Nhs Trust,1000019504,"35,478.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,07/01/2021,It Shared Service,Ict - Shared Services Project,Sphere Systems Powering Healthcare Ltd,INV_S000950,"574,587.80"
Department of Health,Chelsea & Westminster NHS Foundation Trust,12/01/2021,Minor Works,C-Virus - Preparatory Spend,Bywest Ltd,SIN000308,"36,747.06"
Department of Health,Chelsea & Westminster NHS Foundation Trust,12/01/2021,Cardiology Managed Services,Cardiac Cath Lab,Medtronic Limited,1204428374,"140,127.24"
Department of Health,Chelsea & Westminster NHS Foundation Trust,12/01/2021,Transport ,Trust-wide,Hats Group Ltd,213998,"30,618.97"
Department of Health,Chelsea & Westminster NHS Foundation Trust,12/01/2021,Transport ,Trust-wide,Hats Group Ltd,214096,"34,800.00"
