Department Family,Entity,Date Paid,Expense Type ,Expense Area,Supplier Name,Their Reference,amount
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/02/2021,Agency Nurse - Band 5,Chelsea Site,Care Providers Ltd,CH1048A,"75,532.73"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/02/2021,Books & Publications,I.T Management,Intersystems,2101-002-000057,"30,282.53"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/02/2021,Computer Maintenance Contracts,Management - Hiv/Gum,Idox Health Ltd,7001493,"31,602.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/02/2021,Computer Maintenance Contracts,Management - Hiv/Gum,Idox Health Ltd,7001494,"48,087.60"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/02/2021,Computer Maintenance Contracts,Management - Hiv/Gum,Idox Health Ltd,7001495,"57,600.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/02/2021,Computer Maintenance Contracts,Womens & Childrens Management,Hd Clinical Limited,3110,"69,000.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/02/2021,Drugs,Hiv Drugs - Herts,West Hertfordshire Hospitals Nhs Trust,269062,"132,716.84"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/02/2021,Equipment Expenditure,Eye Clinic First Floor MM,Heidelberg Engineering Limited,HE16225,"90,732.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/02/2021,General Computer Hardware,Epr Cross Site Project,Cerner Limited,101872144,"33,267.19"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/02/2021,General Maintenance Contracts,Trust-wide,Jca Engineering Limited,INV-N10085,"424,347.80"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/02/2021,Drugs,Chelsea Pharmacy,Aah Pharmaceuticals Ltd,54297736X,"46,282.25"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/02/2021,Drugs,Chelsea Pharmacy,Bayer Plc,824C326588,"45,622.80"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/02/2021,Drugs,West Middlesex Pharmacy,Alloga Uk Limited,SIN103088564,"27,000.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/02/2021,Clinical Supplies,Divisional Areas,Nhs Supply Chain Roarp (101),1121181102,"75,748.46"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/02/2021,Clinical Supplies,Divisional Areas,Nhs Supply Chain Roarp (101),1121184017,"114,431.40"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/02/2021,Lab. Equipment - Major Items,Pathology 1st Floor,Nhs Supply Chain Maintenance (201),2121005512,"83,414.19"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/02/2021,Agency Nurse - Band 5,Chelsea Site,Care Providers Ltd,CH1052A,"76,077.61"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/02/2021,Computer Maintenance Contracts,Management - Hiv/Gum,Somerset Nhs Foundation Trust,1400000680,"30,295.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/02/2021,I.T. Expenditure,NWL Collaborative Bank Project (NHSi Programme),Locum Tap Ltd T/A Patchwork Health,INV-0363,"48,000.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/02/2021,Drugs,Chelsea Pharmacy,Alliance Healthcare (Distribution ) Ltd,A11S07010,"30,221.45"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/02/2021,Drugs,Chelsea Pharmacy,Gilead Sciences Ltd,4410199223,"25,281.66"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/02/2021,Clinical Supplies,Divisional Areas,Nhs Supply Chain Roarp (101),1121185239,"87,960.53"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/02/2021,Clinical Supplies,Divisional Areas,Nhs Supply Chain Roarp (101),1121188267,"120,817.21"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/02/2021,Typing&Transcription Services,General Medicine Management,Scribetech Uk Ltd,2053,"32,159.95"
Department of Health,Chelsea & Westminster NHS Foundation Trust,09/02/2021,Building Expenditure,ACU,Jca Engineering Limited,INV28877,"58,637.52"
Department of Health,Chelsea & Westminster NHS Foundation Trust,09/02/2021,Building Expenditure,Extension to NICU and ICU,Mclaughlin & Harvey Ltd,23502,"685,596.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,09/02/2021,Drugs,Hiv Drugs - Harlow,The Princess Alexandra Hospital Nhs Trust,122748,"45,911.37"
Department of Health,Chelsea & Westminster NHS Foundation Trust,09/02/2021,Pathology Services,Sexual Health - Sutton,The Doctors Laboratory,IN031258,"89,091.25"
Department of Health,Chelsea & Westminster NHS Foundation Trust,09/02/2021,Non-Nhs Contracts,Radiology Department,Medica Reporting Ltd (Medica Group),15667,"45,211.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,09/02/2021,Soft Services,Trust-wide,Iss Mediclean Limited,SI3538379,"45,141.91"
Department of Health,Chelsea & Westminster NHS Foundation Trust,09/02/2021,Recharges – Pay and non-pay costs,Imperial Gum Contract,Imperial College Healthcare Nhs Trust,H0187231,"119,434.24"
Department of Health,Chelsea & Westminster NHS Foundation Trust,09/02/2021,Dispensing Fee,Pharmacy Outpatients,Boots Uk Ltd,9224-1800049637,"25,502.75"
