Department Family,Entity,Date Paid,Expense Type,Expense Area,Supplier Name,Transaction Reference,amount
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/03/2021,Agency Nurse - Band 5,Chelsea Site,Care Providers Ltd,CH1064A,"64,226.95"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/03/2021,Building Expenditure,ITU Surge Variation - VE564B - Phase 2,Bywest Ltd,SIN000351,"126,523.11"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/03/2021,Building Expenditure,Air handling plant and material for Marjory Warren Scheme,Ensigna Construction Ltd,3943,"176,985.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/03/2021,Building Expenditure,Facilities Directorate - Chelsea Calorifier Refurbishment,Jca Engineering Limited,INV29283,"35,955.54"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/03/2021,Building Expenditure,Plant Room ,Metromec Services And Maintenance Limited,4027,"31,944.44"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/03/2021,Equipment Expenditure,Radiology,Siemens Healthcare Ltd,1051095242,"671,280.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/03/2021,Equipment Expenditure,Radiology,Siemens Healthcare Ltd,1051094732,"687,276.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/03/2021,Equipment Expenditure,Radiology,Siemens Healthcare Ltd,1051094733,"778,260.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/03/2021,General Maintenance Contracts,Trust-wide,Jca Engineering Limited,INV-N10088,"424,347.80"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/03/2021,General Maintenance Contracts,Management - Hiv/Gum,Genmed Me Ltd,18455,"64,057.85"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/03/2021,M.S.S.E. - Maintenance,Day Theatres,Nhs Supply Chain Maintenance (201),2121001458,"47,047.78"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/03/2021,M.S.S.E. - Routine Purchases,Itu/Hdu,Baxter Healthcare Ltd,21025003,"29,470.37"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/03/2021,M.S.S.E. - Routine Purchases,Skin Bank,Joint Operations (Uk) Llp,INV15654,"31,500.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/03/2021,Professional Fees,Employee Relations,Hempsons,75002670,"29,891.71"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/03/2021,Transport ,Trust-wide,Hats Group Ltd,213110,"199,946.58"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/03/2021,Typing&Transcription Services,Paediatric Secretaries,Scribetech Uk Ltd,2056,"30,526.10"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/03/2021,Equipment Expenditure,WM Clinical Engineering LG Floor,Lubron Uk Ltd,INV-6077,"27,517.39"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/03/2021,General Maintenance Contracts,Clinical Engineering,Nhs Supply Chain Maintenance (201),2121006835,"30,153.60"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/03/2021,General Maintenance Contracts,Radiology Department,Nhs Supply Chain Maintenance (201),2121006668,"94,222.69"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/03/2021,General Maintenance Contracts,Radiology Department,Nhs Supply Chain Maintenance (201),2121006837,"113,165.26"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/03/2021,M.S.S.E. - Routine Purchases,Trust-wide,Hats Group Ltd,214703,"58,622.40"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/03/2021,M.S.S.E. - Routine Purchases,Vaccination Community Hubs,Event Hire London Ltd,129471,"65,832.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/03/2021,Non-Nhs Contracts,Cardiac Cath Lab,Medtronic Limited,1204479161,"122,216.16"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/03/2021,Nwl Pathology Pass Through Cos,Imperial Pathology (Central),North West London Pathology,H0191289,"1,928,953.04"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/03/2021,Transport ,Trust-wide,Hats Group Ltd,214701,"142,595.59"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/03/2021,Rent Rates & Service Charge,Chelsea Harbour,Chelsea Harbour Ltd,16816,"31,404.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/03/2021,Dispensing Fee,Medical Outliers,Medihome Ltd,42234,"55,733.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/03/2021,Dispensing Fee,Pharmacy Outpatients,Boots Uk Ltd,9224-1800000795,"58,427.67"
