Supplier,Department family,Date,Expense area,Expense type,Transaction Number,amount
3m United Kingdom Plc,It,27/05/2020,Application Support,Medicode Licenses,1417389,"64,201"
British Red Cross,Corporate Directors,01/05/2020,General Operations Admin,Professional Fees,1413163,"44,089"
Castle Water Ltd,Facilities,01/05/2020,Energy - Cuh,Water,1417220,"47,972"
Cerner Ltd,It,01/05/2020,Application Support,Cerner Millenium Ann Support,1420036,"210,316"
Cerner Ltd,It,07/05/2020,Application Support,Cerner Millenium Ann Support,1422820,"210,316"
Corps Security(Uk) Ltd,Facilities,01/05/2020,Security,Contract - Security Services,1409669,"41,586"
Corps Security(Uk) Ltd,Facilities,01/05/2020,Security,Contract - Security Services,1415234,"44,031"
Corps Security(Uk) Ltd,Facilities,01/05/2020,Security,Contract - Security Services,1421637,"38,921"
Croydon Council,Clinical Support Service,27/05/2020,D.R.S.S.,Referral Tests,1414616,"25,819"
Croydon Council,Facilities,21/05/2020,Purley Hospital E&F,Rates,1424670,"52,934"
Croydon Gp Collaborative Ltd,Clinical Support Service,21/05/2020,Anti Coagulation,Contract External,1417320,"44,654"
Croydon Gp Collaborative Ltd,Clinical Support Service,21/05/2020,Anti Coagulation,Contract External,1424666,"44,654"
Croydon Gp Collaborative Ltd,Emergency Services,21/05/2020,Adult Ucc,Gp Collaborative,1414624,"118,581"
Croydon Gp Collaborative Ltd,Emergency Services,21/05/2020,Adult Ucc,Gp Collaborative,1419976,"114,282"
Croydon Gp Collaborative Ltd,Planned Care,27/05/2020,Dermatology,Contract External,1406214,"33,293"
Croydon Gp Collaborative Ltd,Planned Care,27/05/2020,Dermatology,Contract External,1414619,"33,293"
Croydon Gp Collaborative Ltd,Planned Care,27/05/2020,Dermatology,Contract External,1417322,"33,293"
Elis Uk Ltd,Facilities,14/05/2020,Linen & Laundry Services,Bedding & Linen,1422385,"66,530"
Elis Uk Ltd,Facilities,14/05/2020,Linen & Laundry Services,Contract - Laundry,1422384,"53,951"
Foley Ltd,Corporate Directors,07/05/2020,Corona Virus,Building External Contract,1421800,"29,310"
G4s Facilities Management (Uk) Ltd,Facilities,21/05/2020,Domestic Contract,Contract - Domestic,1423548,"554,519"
Gama Healthcare Ltd,Corporate Directors,21/05/2020,Corona Virus,Medical & Surgical Equip Gen,1424926,"30,000"
Hats Group Ltd,Facilities,21/05/2020,Patient Transport,Patient Non Emerg. Transport,1424662,"151,000"
Keystream Healthcare Resources Limited,Balance Sheet,01/05/2020,Balance Sheet,Additions - Information Techno,1421622,"27,456"
Keystream Healthcare Resources Limited,Corporate Directors,07/05/2020,Corona Virus,Professional Fees,1422879,"25,620"
Kinetic-Id Ltd,Balance Sheet,01/05/2020,Balance Sheet,Additions - Information Techno,1421191,"186,403"
Kingsfield Computer Products Ltd,Corporate Directors,14/05/2020,Corona Virus,Carriage Charge,1417996,"42,768"
Lloyds Pharmacy Ltd,Clinical Support Service,01/05/2020,Pharmacy- Drugs Issues,Drugs,1419031,"261,858"
