Supplier,Department family,Date,Expense area,Expense type,Transaction Number,amount
Aeither Medical Gases Ltd,Balance Sheet,04/06/2020,Balance Sheet,Additions - Assets Under Const,1426957,"34,312"
At Medics Ltd - Headley Drive Surgery,Emergency Services,19/06/2020,Adult Ucc,At Medics,1424709,"245,489"
At Medics Ltd - Headley Drive Surgery,Emergency Services,25/06/2020,Adult Ucc,At Medics,1427889,"34,047"
Bayer Plc,Clinical Support Service,04/06/2020,Pharmacy- Drugs Issues,Drugs,1427127,"78,660"
Bayer Plc,Clinical Support Service,04/06/2020,Pharmacy- Drugs Issues,Drugs,1427330,"78,660"
Bencroft Holding Corporation,Facilities,25/06/2020,Leander Road,Nhs Property Rental Charge,1430981,"42,480"
Cerner Ltd,It,11/06/2020,Application Support,Cerner Millenium Ann Support,1428296,"210,316"
Charterhouse Voice & Data Ltd,It,19/06/2020,It System Support,Networks,1425139,"82,223"
Communitas Clinics Ltd,Planned Care,11/06/2020,Ent - Medical,Contract External,1417326,"45,256"
Communitas Clinics Ltd,Planned Care,11/06/2020,Ent - Medical,Contract External,1419988,"39,874"
Croydon Gp Collaborative Ltd,Clinical Support Service,04/06/2020,Anti Coagulation,Travelling - Patients Escorts,1419977,"33,293"
Croydon Gp Collaborative Ltd,Clinical Support Service,04/06/2020,Anti Coagulation,Travelling - Patients Escorts,1424694,"33,293"
Croydon Gp Collaborative Ltd,Emergency Services,11/06/2020,Adult Ucc,Gp Collaborative,1424692,"114,282"
Daisy Corporate Services Trading Limited,It,25/06/2020,It System Support,Firewall Maintenance,1422179,"55,417"
Daisy Corporate Services Trading Limited,It,25/06/2020,It System Support,Firewall Maintenance,1431350,"54,066"
De Lage Landen Leasing Ltd,Facilities,04/06/2020,Bed & Mattress Maint (Hil-Rom),Med & Surg Equipment - Maint,1421790,"50,916"
De Lage Landen Leasing Ltd,Facilities,04/06/2020,Bed & Mattress Maint (Hil-Rom),Med & Surg Equipment - Maint,1423401,"50,916"
Egton Medical Information Systems Ltd,It,04/06/2020,Application Support,Emis / Epex Support Contract,1423284,"67,352"
