Supplier,Department family,Date,Expense area,Expense type,Transaction Number,amount
Adb(Uk) Limited,It,02/07/2020,"It Hardware,Software&Licensing",Computer - Maint & Licences,1419924,"27,600"
Aeither Medical Gases Ltd,Corporate Directors,23/07/2020,Corona Virus,Medical & Surgical Equip Gen,1420059,"25,460"
Aeither Medical Gases Ltd,Corporate Directors,28/07/2020,Corona Virus,Medical & Surgical Equip Gen,1435057,"72,000"
Apogee Corporation,It,28/07/2020,It System Support,Photocopying/Xerox,1434478,"49,752"
At Medics Ltd - Headley Drive Surgery,Emergency Services,02/07/2020,Adult Ucc,At Medics,1427888,"211,442"
Bayer Plc,Clinical Support Service,02/07/2020,Pharmacy- Drugs Issues,Drugs,1432154,"68,434"
Bayer Plc,Clinical Support Service,02/07/2020,Pharmacy- Drugs Issues,Drugs,1432222,"68,434"
Bayer Plc,Clinical Support Service,28/07/2020,Pharmacy- Drugs Issues,Drugs,1435202,"65,697"
Bayer Plc,Clinical Support Service,28/07/2020,Pharmacy- Drugs Issues,Drugs,1435203,"65,697"
"Becton, Dickinson U.K. Limited",Corporate Directors,02/07/2020,Corona Virus,Medical & Surgical Equip Gen,1431925,"39,494"
"Becton, Dickinson U.K. Limited",Corporate Directors,16/07/2020,Corona Virus,Medical & Surgical Equip Gen,1433205,"27,994"
B & K Medical (Uk),Balance Sheet,02/07/2020,Balance Sheet,Additions - Plant & Machinery,1429799,"79,998"
Bunzl Healthcare,Corporate Directors,09/07/2020,Corona Virus,Medical & Surgical Equip Gen,1430435,"25,425"
Care Quality Commission,Corporate Directors,02/07/2020,Medical Director,Professional Fees,51347,"218,141"
Cerner Ltd,It,28/07/2020,Application Support,Cerner Millenium Ann Support,1434132,"168,406"
Communitas Clinics Ltd,Planned Care,02/07/2020,Ent - Medical,Contract External,1423288,"51,664"
Communitas Clinics Ltd,Planned Care,02/07/2020,Ent - Medical,Contract External,1430583,"51,664"
Croydon Gp Collaborative Ltd,Emergency Services,09/07/2020,Adult Ucc,Gp Collaborative,1430573,"114,282"
Croydon Gp Collaborative Ltd,Emergency Services,23/07/2020,Adult Ucc,Gp Collaborative,1434451,"119,237"
Daisy Corporate Services Trading Limited,It,28/07/2020,It System Support,Computer - Maint & Licences,1428360,"43,417"
Daisy Corporate Services Trading Limited,It,28/07/2020,It System Support,Micc-It Hdesk Telephony-Daisy,1436045,"42,537"
De Lage Landen Leasing Ltd,Facilities,02/07/2020,Bed & Mattress Maint (Hil-Rom),Med & Surg Equipment - Maint,1426853,"50,916"
De Lage Landen Leasing Ltd,Facilities,16/07/2020,Bed & Mattress Maint (Hil-Rom),Med & Surg Equipment - Maint,1432205,"50,916"
Edf Energy,Facilities,08/07/2020,Energy - Cuh,Electricity,1425902,"65,004"
Edf Energy,Facilities,23/07/2020,Energy - Cuh,Electricity,1429954,"30,591"
Edf Energy,Facilities,23/07/2020,Energy - Cuh,Electricity,1435047,"37,769"
Elis Uk Ltd,Facilities,16/07/2020,Linen & Laundry Services,Contract - Laundry,1433812,"55,821"
Energy Conservation Solutions Limited,Balance Sheet,02/07/2020,Balance Sheet,Additions - Assets Under Const,1430982,"52,355"
Energy Conservation Solutions Limited,Balance Sheet,02/07/2020,Balance Sheet,Additions - Assets Under Const,1430983,"50,559"
Esteem Systems Ltd,It,02/07/2020,It System Support,Citrix Licences,1429426,"34,176"
Foley Ltd,Balance Sheet,23/07/2020,Balance Sheet,Additions - Assets Under Const,1434888,"74,601"
G4s Facilities Management (Uk) Ltd,Facilities,16/07/2020,Domestic Contract,Contract - Domestic,1429446,"534,213"
G4s Facilities Management (Uk) Ltd,Facilities,28/07/2020,Domestic Contract,Contract - Domestic,1435067,"539,821"
G4s Facilities Management (Uk) Ltd,Facilities,28/07/2020,Domestic Contract,Contract - Domestic,1435793,"526,040"
Hats Group Ltd,Facilities,10/07/2020,Patient Transport,Patient Non Emerg. Transport,1433513,"151,000"
Hats Group Ltd,Facilities,23/07/2020,Patient Transport,Patient Non Emerg. Transport,1435069,"156,767"
Huntleigh Healthcare Ltd,Balance Sheet,02/07/2020,Balance Sheet,Additions - Plant & Machinery,1421843,"27,613"
Icts Uk Ltd,Facilities,02/07/2020,Security,Contract - Security Services,1429210,"48,733"
Icts Uk Ltd,Facilities,02/07/2020,Security,Contract - Security Services,1429213,"47,868"
Icts Uk Ltd,Facilities,02/07/2020,Security,Contract - Security Services,1432280,"49,468"
Insight Direct Uk Ltd,It,02/07/2020,It System Support,Computer - Maint & Licences,1427959,"28,985"
Insight Direct Uk Ltd,It,02/07/2020,It System Support,Computer - Maint & Licences,1427961,"398,470"
Keystream Healthcare Resources Limited,Corporate Directors,16/07/2020,Corona Virus,Professional Fees,1431386,"37,620"
Keystream Healthcare Resources Limited,It,23/07/2020,It Management,Professional Fees,1434932,"38,220"
Lloyds Pharmacy Ltd,Clinical Support Service,09/07/2020,Pharmacy,Drugs,1424374,"233,726"
Lloyds Pharmacy Ltd,Clinical Support Service,09/07/2020,Pharmacy,Drugs,1429205,"199,263"
Lloyds Pharmacy Ltd,Clinical Support Service,28/07/2020,Pharmacy,Drugs,1433992,"182,852"
Morgan Law Partners Llp,Corporate Directors,28/07/2020,Corona Virus,Agency Senior Manager,1435865,"29,580"
Nhs Professionals Ltd,Corporate Directors,02/07/2020,Day Surgery Unit,Agency Odp Band 6,1431762,316
Nhs Professionals Ltd,Emergency Services,02/07/2020,Day Surgery Unit,Agency Odp Band 6,1431762,"24,293"
Nhs Professionals Ltd,Anaesthetic/Theatres,02/07/2020,Day Surgery Unit,Agency Odp Band 6,1431762,"7,821"
Nhs Professionals Ltd,Community,02/07/2020,Day Surgery Unit,Agency Odp Band 6,1431762,"3,298"
Nhs Professionals Ltd,Childrens,02/07/2020,Day Surgery Unit,Agency Odp Band 6,1431762,"1,293"
Nhs Professionals Ltd,Planned Care,02/07/2020,Day Surgery Unit,Agency Odp Band 6,1431762,"6,346"
Nhs Professionals Ltd,Womens,02/07/2020,Day Surgery Unit,Agency Odp Band 6,1431762,"8,382"
Nhs Professionals Ltd,Medical,02/07/2020,Day Surgery Unit,Agency Odp Band 6,1431762,"8,892"
Nhs Professionals Ltd,Corporate Directors,02/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1432329,"20,364"
Nhs Professionals Ltd,Facilities,02/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1432329,"6,931"
Nhs Professionals Ltd,Emergency Services,02/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1432329,"52,589"
Nhs Professionals Ltd,Anaesthetic/Theatres,02/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1432329,"2,617"
Nhs Professionals Ltd,Community,02/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1432329,"11,558"
