Supplier,Department family,Date,Expense area,Expense type,Transaction Number,amount
Alloga Uk Ltd,Clinical Support Service,25/09/2020,Pharmacy- Drugs Issues,Drugs,1444916,"29,700"
At Medics Ltd - Headley Drive Surgery,Income & Reserves,03/09/2020,General Reserves,At Medics,1429828,"30,719"
Bencroft Holding Corporation,Facilities,25/09/2020,Leander Road,Nhs Property Rental Charge,1443211,"42,480"
Bender Uk Ltd,Balance Sheet,03/09/2020,Balance Sheet,Additions - Plant & Machinery,1438193,"46,696"
Carl Zeiss Ltd,Balance Sheet,03/09/2020,Balance Sheet,Additions - Plant & Machinery,1439611,"106,411"
Cerner Ltd,It,10/09/2020,Application Support,Cerner Millenium Ann Support,1441556,"209,483"
Communitas Clinics Ltd,Planned Care,17/09/2020,Ent - Medical,Contract External,1441066,"51,664"
Datix Ltd,It,28/09/2020,"It Hardware,Software&Licensing",Computer - Maint & Licences,1433171,"40,519"
Edf Energy,Facilities,10/09/2020,Energy - Cuh,Electricity,1439700,"30,600"
Edf Energy,Facilities,10/09/2020,Energy - Cuh,Electricity,1442012,"36,843"
G4s Facilities Management (Uk) Ltd,Facilities,25/09/2020,Domestic Contract,Contract - Domestic,1442402,"551,127"
Hats Group Ltd,Facilities,25/09/2020,Patient Transport,Patient Non Emerg. Transport,1444544,"156,767"
Icts Uk Ltd,Facilities,25/09/2020,Security,Contract - Security Services,1437051,"50,493"
Icts Uk Ltd,Facilities,25/09/2020,Security,Contract - Security Services,1444545,"54,314"
Inhealth Ltd,Clinical Support Service,25/09/2020,Mri'S & Other Scans,Mri Contract - In Health,1421845,"205,498"
Inhealth Ltd,Clinical Support Service,25/09/2020,Mri'S & Other Scans,Mri Contract - In Health,1426745,"205,498"
Insight Direct Uk Ltd,Balance Sheet,03/09/2020,Balance Sheet,Additions - Information Techno,1441266,"25,034"
Insight Direct Uk Ltd,Balance Sheet,17/09/2020,Balance Sheet,Additions - Information Techno,1442798,"38,160"
Insight Direct Uk Ltd,It,17/09/2020,"It Hardware,Software&Licensing",Computer Hardware Purchases,1442801,"40,572"
Lc Jackson Ltd,Balance Sheet,03/09/2020,Balance Sheet,Additions - Assets Under Const,1439567,"69,190"
Lloyds Bank Commercial Banking,Balance Sheet,03/09/2020,Balance Sheet,Additions - Assets Under Const,1438454,"80,205"
Nhs Professionals Ltd,Corporate Directors,03/09/2020,Day Surgery Unit,Agency Nurse - Band 6,1440992,316
Nhs Professionals Ltd,Emergency Services,03/09/2020,Day Surgery Unit,Agency Nurse - Band 6,1440992,"37,228"
Nhs Professionals Ltd,Anaesthetic/Theatres,03/09/2020,Day Surgery Unit,Agency Nurse - Band 6,1440992,"10,772"
Nhs Professionals Ltd,Community,03/09/2020,Day Surgery Unit,Agency Nurse - Band 6,1440992,"5,650"
Nhs Professionals Ltd,Childrens,03/09/2020,Day Surgery Unit,Agency Nurse - Band 6,1440992,"2,277"
Nhs Professionals Ltd,Planned Care,03/09/2020,Day Surgery Unit,Agency Nurse - Band 6,1440992,"4,345"
Nhs Professionals Ltd,Womens,03/09/2020,Day Surgery Unit,Agency Nurse - Band 6,1440992,"10,827"
Nhs Professionals Ltd,Medical,03/09/2020,Day Surgery Unit,Agency Nurse - Band 6,1440992,"22,286"
Nhs Professionals Ltd,Corporate Directors,03/09/2020,Day Surgery Unit,Bank Nurse - Band 2,1441452,"16,068"
Nhs Professionals Ltd,Facilities,03/09/2020,Day Surgery Unit,Bank Nurse - Band 2,1441452,"3,225"
Nhs Professionals Ltd,Emergency Services,03/09/2020,Day Surgery Unit,Bank Nurse - Band 2,1441452,"28,996"
Nhs Professionals Ltd,Anaesthetic/Theatres,03/09/2020,Day Surgery Unit,Bank Nurse - Band 2,1441452,"8,139"
Nhs Professionals Ltd,Community,03/09/2020,Day Surgery Unit,Bank Nurse - Band 2,1441452,"8,142"
Nhs Professionals Ltd,Clinical Support Service,03/09/2020,Day Surgery Unit,Bank Nurse - Band 2,1441452,"4,807"
Nhs Professionals Ltd,Childrens,03/09/2020,Day Surgery Unit,Bank Nurse - Band 2,1441452,"4,563"
Nhs Professionals Ltd,Planned Care,03/09/2020,Day Surgery Unit,Bank Nurse - Band 2,1441452,"17,731"
Nhs Professionals Ltd,Womens,03/09/2020,Day Surgery Unit,Bank Nurse - Band 2,1441452,"17,983"
Nhs Professionals Ltd,Medical,03/09/2020,Day Surgery Unit,Bank Nurse - Band 2,1441452,"49,583"
Nhs Professionals Ltd,Emergency Services,10/09/2020,Day Surgery Unit,Agency Nurse - Band 6,1442288,"38,494"
Nhs Professionals Ltd,Anaesthetic/Theatres,10/09/2020,Day Surgery Unit,Agency Nurse - Band 6,1442288,"85,653"
Nhs Professionals Ltd,Community,10/09/2020,Day Surgery Unit,Agency Nurse - Band 6,1442288,"3,365"
Nhs Professionals Ltd,Childrens,10/09/2020,Day Surgery Unit,Agency Nurse - Band 6,1442288,702
Nhs Professionals Ltd,Planned Care,10/09/2020,Day Surgery Unit,Agency Nurse - Band 6,1442288,"7,221"
Nhs Professionals Ltd,Womens,10/09/2020,Day Surgery Unit,Agency Nurse - Band 6,1442288,"21,527"
Nhs Professionals Ltd,Medical,10/09/2020,Day Surgery Unit,Agency Nurse - Band 6,1442288,"14,893"
Nhs Professionals Ltd,Corporate Directors,10/09/2020,Day Surgery Unit,Bank A&C - Band 2,1442424,"48,053"
Nhs Professionals Ltd,Facilities,10/09/2020,Day Surgery Unit,Bank A&C - Band 2,1442424,"13,657"
Nhs Professionals Ltd,Emergency Services,10/09/2020,Day Surgery Unit,Bank A&C - Band 2,1442424,"76,851"
Nhs Professionals Ltd,Anaesthetic/Theatres,10/09/2020,Day Surgery Unit,Bank A&C - Band 2,1442424,"16,928"
Nhs Professionals Ltd,Community,10/09/2020,Day Surgery Unit,Bank A&C - Band 2,1442424,"20,744"
Nhs Professionals Ltd,Clinical Support Service,10/09/2020,Day Surgery Unit,Bank A&C - Band 2,1442424,"10,775"
Nhs Professionals Ltd,Childrens,10/09/2020,Day Surgery Unit,Bank A&C - Band 2,1442424,"11,795"
Nhs Professionals Ltd,Planned Care,10/09/2020,Day Surgery Unit,Bank A&C - Band 2,1442424,"39,241"
