Supplier,Department family,Date,Expense area,Expense type,Transaction Number,amount
Advanced Business Solutions,Corporate Directors,01/02/2021,Financial Systems,Pc Software Maintenance,1468213,"266,891"
Advanced Business Solutions,Corporate Directors,01/02/2021,Financial Systems,Pc Software Maintenance,1468214,"49,704"
Apogee Corporation,It,24/02/2021,It System Support,Photocopying/Xerox,1466204,"49,752"
Bac Enterprises Ltd,Corona Virus,18/02/2021,Swl Vaccine Programme,Building External Contract,1469485,"50,526"
Bovingdons Catering Ltd - Nonsuch Mansion,Corona Virus,11/02/2021,Swl Vaccine Programme,Building External Contract,1469637,"81,095"
Carrier Rental Systems T/A Watkins Hire Ltd,Corona Virus,04/02/2021,Swl Vaccine Programme,Building External Contract,1467866,"27,060"
Cerner Ltd,It,11/02/2021,Application Support,Cerner Millenium Ann Support,1468340,"209,483"
Cinos Ltd,Corona Virus,24/02/2021,Corona Virus,Carriage Charge,1457236,"43,600"
Communitas Clinics Ltd,Planned Care,24/02/2021,Ent - Medical,Contract External,1472011,"51,664"
Edf Energy,Facilities,18/02/2021,Energy - Cuh,Electricity,1470226,"37,484"
Esteem Systems Ltd,It,24/02/2021,It System Support,Computer - Maint & Licences,1471967,"36,116"
Exponential-E Limited,It,11/02/2021,It System Support,Computer - Maint & Licences,1452242,"29,328"
Exponential-E Limited,It,11/02/2021,It System Support,Computer - Maint & Licences,1468752,"29,328"
G4s Facilities Management (Uk) Ltd,Facilities,18/02/2021,Domestic Contract,Contract - Domestic,1467218,"578,255"
Gray Dungate Poole Ltd,Balance Sheet,04/02/2021,Balance Sheet,Additions - Assets Under Const,1465881,"36,912"
Hats Group Ltd,Facilities,11/02/2021,Patient Transport,Patient Non Emerg. Transport,1469486,"81,330"
Huntleigh Healthcare Ltd,Balance Sheet,18/02/2021,Balance Sheet,Additions - Plant & Machinery,1468029,"99,790"
Huntleigh Healthcare Ltd,Balance Sheet,18/02/2021,Balance Sheet,Additions - Plant & Machinery,1468195,"64,930"
Igloos Ltd,Corona Virus,04/02/2021,Swl Vaccine Programme,Building External Contract,1468150,"39,324"
Keystream Healthcare Resources Limited,Corona Virus,04/02/2021,Corona Virus,Staff Consultancy & Support,1458776,"25,650"
Keystream Healthcare Resources Limited,Corona Virus,04/02/2021,Corona Virus,Staff Consultancy & Support,1459894,"37,800"
Komfort Services,Corona Virus,18/02/2021,Swl Vaccine Programme,Medical & Surgical Equip Gen,1470784,"27,842"
Laborie Medical Tech Europe Ltd,Balance Sheet,18/02/2021,Balance Sheet,Additions - Plant & Machinery,1469189,"39,474"
Lloyds Pharmacy Ltd,Clinical Support Service,04/02/2021,Pharmacy- Drugs Issues,Rates,1447035,"149,081"
Lloyds Pharmacy Ltd,Clinical Support Service,18/02/2021,Pharmacy- Drugs Issues,Drugs,1468756,"258,514"
"Logan Construction (South-East ) Limited			",Balance Sheet,24/02/2021,Balance Sheet,Additions - Assets Under Const,1471632,"68,549"
Maguire Brothers,Balance Sheet,04/02/2021,Balance Sheet,Additions - Assets Under Const,1467182,"35,654"
Medica Reporting Ltd (Medica Group),Clinical Support Service,18/02/2021,Radiology - Medical,Fees For Medical Reports,1464093,"36,091"
Medilink Consulting Ltd,Medical,18/02/2021,Cardiology - Medical-Cbu2,Agency Consultant (Medical),1470919,"30,503"
Multitone Electronics Plc,It,11/02/2021,It System Support,Telephone / Pager,1458941,"45,353"
Nhs Professionals Ltd,Emergency Services,04/02/2021,Day Surgery Unit,Agency Nurse - Band 6,1467678,"21,416"
Nhs Professionals Ltd,Anaesthetic/Theatres,04/02/2021,Day Surgery Unit,Agency Nurse - Band 6,1467678,"36,366"
Nhs Professionals Ltd,Community,04/02/2021,Day Surgery Unit,Agency Nurse - Band 6,1467678,"2,905"
Nhs Professionals Ltd,Childrens,04/02/2021,Day Surgery Unit,Agency Nurse - Band 6,1467678,"1,680"
Nhs Professionals Ltd,Planned Care,04/02/2021,Day Surgery Unit,Agency Nurse - Band 6,1467678,"6,145"
Nhs Professionals Ltd,Womens,04/02/2021,Day Surgery Unit,Agency Nurse - Band 6,1467678,"15,060"
Nhs Professionals Ltd,Medical,04/02/2021,Day Surgery Unit,Agency Nurse - Band 6,1467678,"31,992"
Nhs Professionals Ltd,Corporate Directors,04/02/2021,Day Surgery Unit,Bank A&C - Band 2,1467498,"26,882"
Nhs Professionals Ltd,Facilities,04/02/2021,Day Surgery Unit,Bank A&C - Band 2,1467498,"26,508"
Nhs Professionals Ltd,Emergency Services,04/02/2021,Day Surgery Unit,Bank A&C - Band 2,1467498,"47,066"
Nhs Professionals Ltd,Anaesthetic/Theatres,04/02/2021,Day Surgery Unit,Bank A&C - Band 2,1467498,"14,674"
Nhs Professionals Ltd,Community,04/02/2021,Day Surgery Unit,Bank A&C - Band 2,1467498,"27,320"
Nhs Professionals Ltd,Clinical Support Service,04/02/2021,Day Surgery Unit,Bank A&C - Band 2,1467498,"10,908"
Nhs Professionals Ltd,Childrens,04/02/2021,Day Surgery Unit,Bank A&C - Band 2,1467498,"10,486"
Nhs Professionals Ltd,Planned Care,04/02/2021,Day Surgery Unit,Bank A&C - Band 2,1467498,"47,408"
Nhs Professionals Ltd,Womens,04/02/2021,Day Surgery Unit,Bank A&C - Band 2,1467498,"38,353"
Nhs Professionals Ltd,Medical,04/02/2021,Day Surgery Unit,Bank A&C - Band 2,1467498,"96,737"
Nhs Professionals Ltd,Corporate Directors,04/02/2021,Day Surgery Unit,Bank A&C - Band 2,1468588,"35,732"
Nhs Professionals Ltd,Facilities,04/02/2021,Day Surgery Unit,Bank A&C - Band 2,1468588,"30,504"
Nhs Professionals Ltd,Emergency Services,04/02/2021,Day Surgery Unit,Bank A&C - Band 2,1468588,"51,732"
Nhs Professionals Ltd,Anaesthetic/Theatres,04/02/2021,Day Surgery Unit,Bank A&C - Band 2,1468588,"19,726"
Nhs Professionals Ltd,Community,04/02/2021,Day Surgery Unit,Bank A&C - Band 2,1468588,"21,924"
Nhs Professionals Ltd,Clinical Support Service,04/02/2021,Day Surgery Unit,Bank A&C - Band 2,1468588,"7,081"
Nhs Professionals Ltd,Childrens,04/02/2021,Day Surgery Unit,Bank A&C - Band 2,1468588,"11,281"
Nhs Professionals Ltd,Planned Care,04/02/2021,Day Surgery Unit,Bank A&C - Band 2,1468588,"45,538"
Nhs Professionals Ltd,Womens,04/02/2021,Day Surgery Unit,Bank A&C - Band 2,1468588,"41,328"
Nhs Professionals Ltd,Medical,04/02/2021,Day Surgery Unit,Bank A&C - Band 2,1468588,"109,166"
Nhs Professionals Ltd,Emergency Services,11/02/2021,Day Surgery Unit,Agency Nurse - Band 6,1469502,"34,803"
Nhs Professionals Ltd,Anaesthetic/Theatres,11/02/2021,Day Surgery Unit,Agency Nurse - Band 6,1469502,"40,751"
Nhs Professionals Ltd,Community,11/02/2021,Day Surgery Unit,Agency Nurse - Band 6,1469502,"4,499"
Nhs Professionals Ltd,Childrens,11/02/2021,Day Surgery Unit,Agency Nurse - Band 6,1469502,952
Nhs Professionals Ltd,Planned Care,11/02/2021,Day Surgery Unit,Agency Nurse - Band 6,1469502,"6,140"
Nhs Professionals Ltd,Womens,11/02/2021,Day Surgery Unit,Agency Nurse - Band 6,1469502,"24,117"
