Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,amount
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,Fleet Vehicle Leases,Patient Transport In House,ESSEX EMERGENCY AMBULANCE HIRE LTD,32757985,"-85,260.00"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,Other Transport Costs,Staff Travel,QUALITY LINE TRANSPORT LTD,33177869,"30,750.00"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,Contr Premises Security,Security Trustwide,ICTS UK LTD,33443425,"89,568.15"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,Other Transport Costs,Staff Travel,QUALITY LINE TRANSPORT LTD,33687342,"30,750.00"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,Contr Premises Security,Security Trustwide,ICTS UK LTD,33735974,"125,923.16"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,Purch Tang FA Addns Gr,Balance Sheet,PCS BUSINESS SYSTEMS LTD,33872010,"35,760.00"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,Purch Tang FA Addns Gr,Balance Sheet,PCS BUSINESS SYSTEMS LTD,33872017,"81,475.20"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,Purch Tang FA Addns Gr,Balance Sheet,PCS BUSINESS SYSTEMS LTD,33872021,"108,633.60"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,Computer Hardware Purch,IT Bureau,MARXTAR LTD,33882660,"55,466.40"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,Consultant,EOC - Surgeons (EPS),KINGSTON HOSPITAL NHS FOUNDATION TRUST,33900455,"64,363.00"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,Senior Manager Band 8D,Clincal Services Mgmt,NHS TRUST DEVELOPMENT AUTHORITY,33900539,"30,208.47"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,Consultant,EOC - Surgeons (EPS),KINGSTON HOSPITAL NHS FOUNDATION TRUST,33900542,"64,363.03"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,Purch Tang FA Addns Gr,Balance Sheet,PCS BUSINESS SYSTEMS LTD,33902402,"54,316.80"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,Purch Tang FA Addns Gr,Balance Sheet,BURREN & WHITAKER CONSTRUCTION LTD,33904474,"74,730.16"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,Purch Tang FA Addns Gr,Balance Sheet,ITC CONCEPTS LTD,33904484,"733,170.30"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,P&M Additions,Balance Sheet,AGITO MEDICAL,33904510,"820,050.00"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,Purch Tang FA Addns Gr,Balance Sheet,OCURA HEALTHCARE FURNITURE,33904513,"94,289.10"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,Purch Tang FA Addns Gr,Balance Sheet,360 CIVIL ENGINEERING LTD,33904514,"174,117.24"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,Ext Contr Domestics,Cleaning Services (STH),MITIE CLEANING & ENVIRONMENTAL SERVICES LTD,33925153,"-25,579.73"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,FM Computer Contracts,Business Intelligence,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,33925373,"28,000.00"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,Purch Tang FA Addns Gr,Balance Sheet,PCS BUSINESS SYSTEMS LTD,33926435,"27,158.40"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,Purch Tang FA Addns Gr,Balance Sheet,WILLMOTT DIXON INTERIORS LTD,33926661,"115,632.13"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,Purch Tang FA Addns Gr,Balance Sheet,BREATHE ENERGY LTD,33929806,"573,944.72"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,Purch Tang FA Addns Gr,Balance Sheet,MCGEE ENVIRONMENTAL SERVICES LTD,33929808,"63,168.00"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,Purch Tang FA Addns Gr,Balance Sheet,BREATHE ENERGY LTD,33929824,"292,561.34"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,External Consultancy Fees,Project Services (STH),ARTELIA PROJECTS UK LTD,33929825,"23,874.50"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,Laboratory Reagents,Microbiology (STH),BIOMERIEUX UK LTD,33932315,"65,176.43"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,Purch Tang FA Addns Gr,Balance Sheet,PCS BUSINESS SYSTEMS LTD,33947841,"79,441.20"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,Computer Software/License,IT Bureau,INSIGHT DIRECT (UK) LTD,33947997,"122,579.34"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,Purch Tang FA Addns Gr,Balance Sheet,ARTELIA PROJECTS UK LTD,33948001,"32,895.00"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,Purch Tang FA Addns Gr,Balance Sheet,DRIVE DEVILBISS HEALTHCARE LTD,33960469,"84,178.80"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,Purch Tang FA Addns Gr,Balance Sheet,PCS BUSINESS SYSTEMS LTD,33960478,"39,720.60"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,Purch Tang FA Addns Gr,Balance Sheet,FREEWAY MEDICAL,33960634,"40,622.00"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,CCG Income,SLAM Income,NHS WANDSWORTH CCG,33981566,"625,000.00"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,CCG Income,SLAM Income,NHS WANDSWORTH CCG,33981739,"-625,000.00"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,Other recvables - Current,Balance Sheet,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,33981763,"106,070.90"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,Purch Tang FA Addns Gr,Balance Sheet,STORM BUILDING LTD,33982427,"207,923.20"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,Purch Tang FA Addns Gr,Balance Sheet,KHIPU NETWORKS LTD,33992713,"74,753.98"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,Other Transport Costs,Patient Transport In House,SOFTCAT PLC,33996775,"52,587.63"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,Postage & Carriage,Postage Trustwide,NEOPOST LTD,34002073,"42,999.17"
Department of Health,Epsom & ST Helier University Hospital,4/30/2020,Lab Equip Maint / Repairs,MSC Contract,ABBOTT LABORATORIES LTD,34002170,"30,018.28"
