Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,amount
Department of Health,Epsom & ST Helier University Hospital,08/01/2020,Trade Local Debtors Adj,Balance Sheet,ASTERAL (MANAGED HEALTHCARE) LTD,34412297,"148,201.95"
Department of Health,Epsom & ST Helier University Hospital,08/01/2020,Ext Contr Catering,Catering (STH),MITIE CLEANING & ENVIRONMENTAL SERVICES LTD,35039828,"189,206.28"
Department of Health,Epsom & ST Helier University Hospital,08/01/2020,Bldg/Eng Equip Maint Cont,Clincal Services Mgmt,GENMED ME LTD,35040333,"-67,323.80"
Department of Health,Epsom & ST Helier University Hospital,08/01/2020,Med & Surg Equip General,EOC - Theatres (EPS),GENMED ME LTD,35040333,"336,619.00"
Department of Health,Epsom & ST Helier University Hospital,08/01/2020,Med & Surg Equip General,EOC - Theatres (EPS),GENMED ME LTD,35040333,"67,323.80"
Department of Health,Epsom & ST Helier University Hospital,08/01/2020,Purch Tang FA Addns Gr,Balance Sheet,EMIS HEALTH,35131972,"52,280.00"
Department of Health,Epsom & ST Helier University Hospital,08/01/2020,Purch Tang FA Addns Gr,Balance Sheet,EMIS HEALTH,35131972,"10,456.00"
Department of Health,Epsom & ST Helier University Hospital,08/01/2020,Purch Tang FA Addns Gr,Balance Sheet,EMIS HEALTH,35131975,"65,250.00"
Department of Health,Epsom & ST Helier University Hospital,08/01/2020,Purch Tang FA Addns Gr,Balance Sheet,EMIS HEALTH,35131975,"13,050.00"
Department of Health,Epsom & ST Helier University Hospital,08/01/2020,Purch Tang FA Addns Gr,Balance Sheet,STORM BUILDING LTD,35141816,"48,035.15"
Department of Health,Epsom & ST Helier University Hospital,08/03/2020,Purch Tang FA Addns Gr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,35159537,"53,167.04"
Department of Health,Epsom & ST Helier University Hospital,08/03/2020,Purch Tang FA Addns Gr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,35159537,"10,633.41"
Department of Health,Epsom & ST Helier University Hospital,08/03/2020,Purch Tang FA Addns Gr,Balance Sheet,RJ DANCE CONTRACTORS LTD,35161190,"9,620.00"
Department of Health,Epsom & ST Helier University Hospital,08/03/2020,Purch Tang FA Addns Gr,Balance Sheet,RJ DANCE CONTRACTORS LTD,35161190,"9,620.00"
Department of Health,Epsom & ST Helier University Hospital,08/03/2020,Purch Tang FA Addns Gr,Balance Sheet,RJ DANCE CONTRACTORS LTD,35161190,"7,600.00"
Department of Health,Epsom & ST Helier University Hospital,08/03/2020,Purch Tang FA Addns Gr,Balance Sheet,RJ DANCE CONTRACTORS LTD,35161190,"7,600.00"
Department of Health,Epsom & ST Helier University Hospital,08/04/2020,Fleet Vehicle Leases,Patient Transport In House,TRIPLE POINT LEASE PARTNERS,35173709,"22,805.53"
Department of Health,Epsom & ST Helier University Hospital,08/04/2020,Purch Tang FA Addns Gr,Balance Sheet,AT TECHNOLOGY SERVICES LTD,35175092,"50,000.00"
Department of Health,Epsom & ST Helier University Hospital,08/04/2020,Purch Tang FA Addns Gr,Balance Sheet,AT TECHNOLOGY SERVICES LTD,35175092,"10,000.00"
Department of Health,Epsom & ST Helier University Hospital,08/01/2020,Consultant,EOC - Surgeons (EPS),ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,35180428,"38,831.81"
Department of Health,Epsom & ST Helier University Hospital,08/01/2020,Locum Consultant,Med Staff Derm (STH),SKINDOCUK LTD,35180437,"30,550.00"
Department of Health,Epsom & ST Helier University Hospital,08/01/2020,Lab Equip Maint / Repairs,Clinical Services COVID19,VIAPATH ANALYTICS LLP,35180439,"46,602.99"
Department of Health,Epsom & ST Helier University Hospital,08/01/2020,Lab Equip Maint / Repairs,Clinical Services COVID19,VIAPATH ANALYTICS LLP,35180442,"46,602.99"
Department of Health,Epsom & ST Helier University Hospital,08/01/2020,Consultant,EOC - Surgeons (EPS),KINGSTON HOSPITAL NHS FOUNDATION TRUST,35180452,"65,119.91"
Department of Health,Epsom & ST Helier University Hospital,08/01/2020,Rent,SH and C - Rent Rates and Licences,COMMUNITY HEALTH PARTNERSHIPS LTD,35180513,"48,086.36"
Department of Health,Epsom & ST Helier University Hospital,08/05/2020,Computer Software/License,Clinical Coding,IQVIA TECHNOLOGY SERVICES LTD,35183050,"55,935.50"
Department of Health,Epsom & ST Helier University Hospital,08/05/2020,Computer Software/License,Clinical Coding,IQVIA TECHNOLOGY SERVICES LTD,35183050,"11,187.10"
Department of Health,Epsom & ST Helier University Hospital,08/05/2020,X-Ray Equipment Purchase,Radiology (STH),GE MEDICAL SYSTEMS LTD,35183064,"21,646.00"
Department of Health,Epsom & ST Helier University Hospital,08/05/2020,X-Ray Equipment Purchase,Radiology (STH),GE MEDICAL SYSTEMS LTD,35183064,"4,329.20"
Department of Health,Epsom & ST Helier University Hospital,08/01/2020,Contractual Clinical Srv,Renal Capd (STH),BAXTER HEALTHCARE LTD,35195977,"-103,312.00"
Department of Health,Epsom & ST Helier University Hospital,08/01/2020,Contractual Clinical Srv,Renal Capd (STH),BAXTER HEALTHCARE LTD,35195980,"-105,387.84"
Department of Health,Epsom & ST Helier University Hospital,08/01/2020,Contractual Clinical Srv,Renal Capd (STH),BAXTER HEALTHCARE LTD,35195981,"-97,491.40"
Department of Health,Epsom & ST Helier University Hospital,08/01/2020,Contractual Clinical Srv,Renal Capd (STH),BAXTER HEALTHCARE LTD,35195984,"-108,147.05"
Department of Health,Epsom & ST Helier University Hospital,08/06/2020,Other Transport Costs,Patient Transport In House,DE LAGE LANDEN LEASING LTD,35198053,"24,372.14"
Department of Health,Epsom & ST Helier University Hospital,08/06/2020,Taxi & Other Vehicle Hire,Staff Travel,QUALITY LINE TRANSPORT LTD,35198054,"30,750.00"
Department of Health,Epsom & ST Helier University Hospital,08/06/2020,Purch Tang FA Addns Gr,Balance Sheet,PA CONSULTING SERVICES LTD,35198554,"39,253.00"
Department of Health,Epsom & ST Helier University Hospital,08/06/2020,Purch Tang FA Addns Gr,Balance Sheet,PA CONSULTING SERVICES LTD,35198557,"60,000.00"
Department of Health,Epsom & ST Helier University Hospital,08/06/2020,Purch Tang FA Addns Gr,Balance Sheet,PA CONSULTING SERVICES LTD,35198557,"40,000.00"
Department of Health,Epsom & ST Helier University Hospital,08/06/2020,Ext Contr Catering,E And F COVID19,MITIE CLEANING & ENVIRONMENTAL SERVICES LTD,35200106,"83,256.00"
Department of Health,Epsom & ST Helier University Hospital,08/07/2020,Drugs,Balance Sheet,CELGENE LTD,35204217,"19,595.52"
Department of Health,Epsom & ST Helier University Hospital,08/07/2020,Drugs,Balance Sheet,CELGENE LTD,35204217,"15,431.47"
