Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,amount
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,Contr Other External,Car Park Visitors EPS,NATIONAL CAR PARKS LTD,34735204,"26,774.27"
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,Other Transport Costs,Patient Transport In House,PATIENT TRANSPORT (UK) LTD,34831493,"14,200.00"
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,Other Transport Costs,Patient Transport In House,PATIENT TRANSPORT (UK) LTD,34831493,"21,250.00"
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,Med & Surg Equip General,Critical Care: ITU HDU,SIEMENS FINANCIAL SERVICES LTD,35053498,"26,200.51"
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,Purch Tang FA Addns Gr,Balance Sheet,BRIDON HEALTHCARE FURNITURE LTD,35089343,"1,760.00"
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,Purch Tang FA Addns Gr,Balance Sheet,BRIDON HEALTHCARE FURNITURE LTD,35089343,528
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,Ext Contr Domestics,E And F COVID19,MITIE CLEANING & ENVIRONMENTAL SERVICES LTD,35099479,"150,000.00"
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,Ext Contr Domestics,E And F COVID19,MITIE CLEANING & ENVIRONMENTAL SERVICES LTD,35099479,"42,300.85"
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,Ext Contr Catering,Catering (STH),MITIE CLEANING & ENVIRONMENTAL SERVICES LTD,35316656,"189,206.29"
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,Ext Contr Catering,Catering (STH),MITIE CLEANING & ENVIRONMENTAL SERVICES LTD,35316656,"37,841.26"
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,Ext Contr Domestics,Cleaning Services (STH),MITIE CLEANING & ENVIRONMENTAL SERVICES LTD,35316672,"329,874.65"
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,Ext Contr Domestics,Cleaning Services (STH),MITIE CLEANING & ENVIRONMENTAL SERVICES LTD,35316672,"65,974.93"
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,Other Transport Costs,Patient Transport In House,WOKING TAXIS & WOKING CARS,35372007,"25,289.62"
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,Lab Equip Maint / Repairs,MSC Contract,ABBOTT LABORATORIES LTD,35372082,"-23,191.00"
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,Laboratory Reagents,Microbiology (STH),BIOMERIEUX UK LTD,35389017,"46,736.21"
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,Laboratory Reagents,Microbiology (STH),BIOMERIEUX UK LTD,35389017,"12,332.70"
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,Laboratory Reagents,Microbiology (STH),BIOMERIEUX UK LTD,35389019,"46,736.21"
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,Laboratory Reagents,Microbiology (STH),BIOMERIEUX UK LTD,35389019,"12,332.70"
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,Contr Other External,Sterile Services (STH),SYNERGY HEALTH (UK) LTD,35407116,"75,684.00"
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,Contr Other External,Sterile Services (STH),SYNERGY HEALTH (UK) LTD,35407116,"15,136.80"
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,External Consultancy Fees,Project Services (STH),ARTELIA PROJECTS UK LTD,35412289,"41,039.06"
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,External Consultancy Fees,Project Services (STH),ARTELIA PROJECTS UK LTD,35412289,"8,207.81"
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,Managed Service,HC - Facilities,MITIE CLEANING & ENVIRONMENTAL SERVICES LTD,35412344,"67,601.84"
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,Managed Service,HC - Facilities,MITIE CLEANING & ENVIRONMENTAL SERVICES LTD,35412345,"67,601.84"
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,Extrnl Rehrge : Recivd,Epsom Health and Care Recharges,GP HEALTH PARTNERS LTD,35422770,"38,452.23"
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,Continence Products,SH and C - Continence Team,ONTEX HEALTHCARE UK LTD,35431296,"-38,557.03"
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,External Consultancy Fees,Corporate COVID19,KINGSGATE INTERIM ADVISORY & INVESTMENT,35437147,"52,225.00"
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,Other Transport Costs,Patient Transport In House,PATIENT TRANSPORT (UK) LTD,35444543,"60,500.00"
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,Fleet Vehicle Leases,Patient Transport In House,TRIPLE POINT LEASE PARTNERS,35459218,"23,061.52"
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,Fleet Vehicle Leases,Patient Transport In House,TRIPLE POINT LEASE PARTNERS,35459221,"25,086.29"
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,Purch Tang FA Addns Gr,Balance Sheet,SOFTWARE BOX LTD,35460216,"16,398.56"
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,Purch Tang FA Addns Gr,Balance Sheet,SOFTWARE BOX LTD,35460216,"14,020.60"
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,Purch Tang FA Addns Gr,Balance Sheet,SOFTWARE BOX LTD,35460216,"6,083.83"
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,Purch Tang FA Addns Gr,Balance Sheet,BREATHE ENERGY LTD,35465158,"559,584.59"
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,Purch Tang FA Addns Gr,Balance Sheet,BREATHE ENERGY LTD,35466858,"938,879.14"
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,Purch Tang FA Addns Gr,Balance Sheet,BREATHE ENERGY LTD,35466858,"187,775.83"
Department of Health,Epsom & ST Helier University Hospital,9/30/2020,Drugs,Balance Sheet,CELGENE LTD,35467162,"19,595.52"
