Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,amount
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Contr Other External,Sterile Services (STH),SYNERGY HEALTH (UK) LTD,35141814,"74,829.69"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Contr Other External,Sterile Services (STH),SYNERGY HEALTH (UK) LTD,35141814,854.31
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Contr Other External,Sterile Services (STH),SYNERGY HEALTH (UK) LTD,35141814,"15,136.80"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Agency Medical Consultant,Finance Management,GARDINER & THEOBALD LLP,35665772,"80,300.00"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Agency Medical Consultant,Finance Management,GARDINER & THEOBALD LLP,35778644,"33,648.41"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Agency Medical Consultant,Finance Management,GARDINER & THEOBALD LLP,35778644,"-6,729.68"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Ext Contr Catering,Catering (STH),MITIE CLEANING & ENVIRONMENTAL SERVICES LTD,35870761,"189,206.29"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Purch Tang FA Addns Gr,Balance Sheet,RUSSELL CAWBERRY LTD,35979914,"128,340.23"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Purch Tang FA Addns Gr,Balance Sheet,RUSSELL CAWBERRY LTD,35979914,"25,668.05"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Printing Design Costs,Finance Management,GARDINER & THEOBALD LLP,36051274,"-281,737.03"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Taxi & Other Vehicle Hire,Staff Travel,QUALITY LINE TRANSPORT LTD,36069011,"30,750.00"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Rent,SH and C - Rent Rates and Licences,COMMUNITY HEALTH PARTNERSHIPS LTD,36070583,"48,086.36"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Other Transport Costs,Patient Transport In House,WOKING TAXIS & WOKING CARS,36073663,"32,702.60"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Other Operatg Rev Non NHS,Sterile Services (STH),SYNERGY HEALTH (UK) LTD,36088451,"-89,195.06"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Contr Other External,Sterile Services (STH),SYNERGY HEALTH (UK) LTD,36088457,"-64,893.55"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,FM Computer Contracts,Business Intelligence,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,36088903,"28,000.00"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,External Consultancy Fees,Project Services (STH),ARTELIA PROJECTS UK LTD,36090378,"44,586.56"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,External Consultancy Fees,Project Services (STH),ARTELIA PROJECTS UK LTD,36090378,"8,917.31"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Postage & Carriage,Postage Trustwide,QUADIENT UK LTD,36096775,"39,213.96"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Contr Other External,Rent and Rates (STH),CAPSTICKS SOLICITORS,36096776,"112,111.00"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Drugs,Balance Sheet,BAYER PLC,36100584,"36,498.24"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Purch Tang FA Addns Gr,Balance Sheet,MEDICAL SOLUTION PROVIDERS LIMITED,36101619,"42,500.00"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Purch Tang FA Addns Gr,Balance Sheet,MEDICAL SOLUTION PROVIDERS LIMITED,36101619,"8,500.00"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Printing Design Costs,Finance Management,GARDINER & THEOBALD LLP,36101621,"165,912.96"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Purch Tang FA Addns Gr,Balance Sheet,STORM BUILDING LTD,36101638,"40,483.19"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Purch Tang FA Addns Gr,Balance Sheet,PHOENIX PARTNERSHIP (LEEDS) LTD,36119467,"22,575.64"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Purch Tang FA Addns Gr,Balance Sheet,PHOENIX PARTNERSHIP (LEEDS) LTD,36119467,"4,515.13"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Med & Surg Equip Repair,A2/B4 Theatre (STH),VERATHON MEDICAL (UK) LTD,36119484,"19,450.00"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Med & Surg Equip Repair,A2/B4 Theatre (STH),VERATHON MEDICAL (UK) LTD,36119484,"3,250.00"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Med & Surg Equip Repair,A2/B4 Theatre (STH),VERATHON MEDICAL (UK) LTD,36119484,164
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Purch Tang FA Addns Gr,Balance Sheet,EMIS HEALTH,36119501,"1,220.00"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Purch Tang FA Addns Gr,Balance Sheet,EMIS HEALTH,36119501,"48,780.00"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Purch Tang FA Addns Gr,Balance Sheet,EMIS HEALTH,36119501,"10,000.00"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Purch Tang FA Addns Gr,Balance Sheet,GSS PILING LTD,36120972,"46,397.56"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Purch Tang FA Addns Gr,Balance Sheet,GSS PILING LTD,36120972,"9,279.51"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Ext Contr Catering,E And F COVID19,MITIE CLEANING & ENVIRONMENTAL SERVICES LTD,36121423,"58,297.00"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Fleet Vehicle Leases,Patient Transport In House,TRIPLE POINT LEASE PARTNERS,36126019,"22,805.53"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Taxi & Other Vehicle Hire,Staff Travel,QUALITY LINE TRANSPORT LTD,36126087,"30,750.00"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Contr Premises Security,Security Trustwide,ICTS UK LTD,36128198,"83,991.81"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Purch Tang FA Addns Gr,Balance Sheet,VERATHON MEDICAL (UK) LTD,36133029,"7,200.00"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Purch Tang FA Addns Gr,Balance Sheet,VERATHON MEDICAL (UK) LTD,36133029,"1,196.01"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Purch Tang FA Addns Gr,Balance Sheet,VERATHON MEDICAL (UK) LTD,36133029,"19,803.99"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Purch Tang FA Addns Gr,Balance Sheet,VERATHON MEDICAL (UK) LTD,36133029,"5,640.00"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Lease Rents,Accommodation Temple Road EPS,WOODCOTE ESTATES LTD,36142917,"27,585.00"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Purch Tang FA Addns Gr,Balance Sheet,PHOENIX PARTNERSHIP (LEEDS) LTD,36146865,"-22,575.64"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Purch Tang FA Addns Gr,Balance Sheet,PHOENIX PARTNERSHIP (LEEDS) LTD,36146865,"-4,515.13"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Purch Tang FA Addns Gr,Balance Sheet,PHOENIX PARTNERSHIP (LEEDS) LTD,36146866,"23,611.85"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Purch Tang FA Addns Gr,Balance Sheet,PHOENIX PARTNERSHIP (LEEDS) LTD,36146866,"4,722.37"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Med & Surg Maint Contract,Urology Centre,STORZ MEDICAL UK,36146868,"22,800.00"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Med & Surg Maint Contract,Urology Centre,STORZ MEDICAL UK,36146868,"4,560.00"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,36172463,"121,103.16"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Independent Sector,SDH and C - Central Surrey Health - Services Provided,CENTRAL SURREY HEALTH LTD,36191261,"159,976.00"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Independent Sector,SDH and C - Central Surrey Health - Services Provided,CENTRAL SURREY HEALTH LTD,36191261,"30,328.60"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Other recvables - Current,Balance Sheet,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,36191289,"93,966.03"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Independent Sector,SDH and C - Central Surrey Health - Services Provided,CENTRAL SURREY HEALTH LTD,36191373,"1,036,794.34"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Computer Maintenance,Procurement,ELCOM SYSTEMS LTD,36191640,"38,333.00"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Computer Maintenance,Procurement,ELCOM SYSTEMS LTD,36191640,"7,666.60"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Purch Tang FA Addns Gr,Balance Sheet,BURREN & WHITAKER CONSTRUCTION LTD,36191945,"142,500.00"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Purch Tang FA Addns Gr,Balance Sheet,BURREN & WHITAKER CONSTRUCTION LTD,36191945,"28,500.00"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Trade Local Debtors Adj,Balance Sheet,ASTERAL (MANAGED HEALTHCARE) LTD,36193046,"148,201.95"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Consultant,Renal Medical Staff (STH),ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,36197918,"27,000.00"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Med & Surg Equip General,EOC - Theatres (EPS),GENMED ME LTD,36200357,"-35,860.24"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Med & Surg Equip General,EOC - Theatres (EPS),GENMED ME LTD,36200357,"-179,301.22"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Purch Tang FA Addns Gr,Balance Sheet,THERMO FISHER DIAGNOSTIC LTD,36200380,135
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Purch Tang FA Addns Gr,Balance Sheet,THERMO FISHER DIAGNOSTIC LTD,36200380,"56,664.69"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Purch Tang FA Addns Gr,Balance Sheet,THERMO FISHER DIAGNOSTIC LTD,36200380,"11,359.94"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Purch Tang FA Addns Gr,Balance Sheet,CLOUD 21,36200399,"25,000.00"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Purch Tang FA Addns Gr,Balance Sheet,CLOUD 21,36200399,"5,000.00"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Purch Tang FA Addns Gr,Balance Sheet,WILLMOTT DIXON INTERIORS LTD,36201214,"25,309.03"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Purch Tang FA Addns Gr,Balance Sheet,WILLMOTT DIXON INTERIORS LTD,36201214,"5,061.81"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Drugs,Balance Sheet,BAYER PLC,36206361,"36,498.24"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Med & Surg Maint Contract,Colposcopy Lhead (EPS),SUPPLY CHAIN COORDINATION LIMITED,36208101,"-3,139.32"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Med & Surg Maint Contract,Midwifery Management,SUPPLY CHAIN COORDINATION LIMITED,36208101,"-57,753.46"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Extrnl Rehrge : Recivd,Epsom Health and Care Recharges,SURREY COUNTY COUNCIL,36212943,"41,760.89"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Contractual Clinical Srv,S Unit West Byfleet (STH),FRESENIUS MEDICAL CARE RENAL SERVICES LTD,36212983,"115,451.30"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Contractual Clinical Srv,S Unit Sutton (STH),FRESENIUS MEDICAL CARE RENAL SERVICES LTD,36212985,"127,596.28"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Contractual Clinical Srv,S Unit Farnborough (STH),FRESENIUS MEDICAL CARE RENAL SERVICES LTD,36212989,"57,286.32"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Contractual Clinical Srv,S Unit Sutton (STH),FRESENIUS MEDICAL CARE RENAL SERVICES LTD,36212991,"57,343.72"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Contractual Clinical Srv,S Unit Epsom (STH),FRESENIUS MEDICAL CARE RENAL SERVICES LTD,36212993,"38,309.46"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Contractual Clinical Srv,S Unit Epsom (STH),FRESENIUS MEDICAL CARE RENAL SERVICES LTD,36212995,"66,405.78"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Contractual Clinical Srv,S Unit Farnborough (STH),FRESENIUS MEDICAL CARE RENAL SERVICES LTD,36212997,"106,057.60"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Purch Tang FA Addns Gr,Balance Sheet,ITC CONCEPTS LTD,36215262,"43,002.22"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Purch Tang FA Addns Gr,Balance Sheet,ITC CONCEPTS LTD,36215262,"8,600.44"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Med & Surg Equip General,EOC - Theatres (EPS),GENMED ME LTD,36215442,"42,323.45"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Med & Surg Equip General,EOC - Theatres (EPS),GENMED ME LTD,36215442,"8,464.69"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Med & Surg Equip General,EOC - Theatres (EPS),GENMED ME LTD,36215446,"869,417.68"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Med & Surg Equip General,EOC - Theatres (EPS),GENMED ME LTD,36215446,"173,883.54"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Purch Tang FA Addns Gr,Balance Sheet,ITC CONCEPTS LTD,36215468,"5,379.22"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Purch Tang FA Addns Gr,Balance Sheet,ITC CONCEPTS LTD,36215468,"26,896.09"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Drugs,Balance Sheet,BAYER PLC,36220662,"36,498.24"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Drugs,Balance Sheet,CSL BEHRING UK LTD,36220689,"50,820.00"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,Income tax - Current,Balance Sheet,INLAND REVENUE CIS,36220728,"3,524,175.73"
Department of Health,Epsom & ST Helier University Hospital,11/30/2020,National Insurance - Curr,Balance Sheet,INLAND REVENUE CIS,36220728,"4,074,429.57"
