Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,amount
Department of Health,Epsom & ST Helier University Hospital,12/31/2020,Lab Equip Maint / Repairs,MSC Contract,ABBOTT LABORATORIES LTD,34628866,"-56,332.18"
Department of Health,Epsom & ST Helier University Hospital,12/31/2020,Contr Other External,Sterile Services (STH),SYNERGY HEALTH (UK) LTD,34782774,"75,684.00"
Department of Health,Epsom & ST Helier University Hospital,12/31/2020,Contr Other External,Sterile Services (STH),SYNERGY HEALTH (UK) LTD,34782774,"15,136.80"
Department of Health,Epsom & ST Helier University Hospital,12/31/2020,Ext Contr Catering,Catering (STH),MITIE CLEANING & ENVIRONMENTAL SERVICES LTD,36294186,"189,206.28"
Department of Health,Epsom & ST Helier University Hospital,12/31/2020,Purch Tang FA Addns Gr,Balance Sheet,BURREN & WHITAKER CONSTRUCTION LTD,36398861,"160,846.60"
Department of Health,Epsom & ST Helier University Hospital,12/31/2020,Lab Equip Maint / Repairs,MSC Contract,ABBOTT LABORATORIES LTD,36416994,"78,186.04"
Department of Health,Epsom & ST Helier University Hospital,12/31/2020,Contractual Clinical Srv,S Unit Sutton (STH),FRESENIUS MEDICAL CARE RENAL SERVICES LTD,36437584,"136,254.30"
Department of Health,Epsom & ST Helier University Hospital,12/31/2020,Computer Software/License,Human Resources Mgmt,FIRST CARE LTD,36437590,"36,709.27"
Department of Health,Epsom & ST Helier University Hospital,12/31/2020,Service Charge,SDH and C - Estates,NHS PROPERTY SERVICES LTD,36437651,"54,869.27"
Department of Health,Epsom & ST Helier University Hospital,12/31/2020,Service Charge,SDH and C - Estates,NHS PROPERTY SERVICES LTD,36437653,"-54,869.27"
Department of Health,Epsom & ST Helier University Hospital,12/31/2020,Service Charge,SDH and C - Estates,NHS PROPERTY SERVICES LTD,36437654,"-35,720.94"
Department of Health,Epsom & ST Helier University Hospital,12/31/2020,Agency Medical Consultant,Finance Management,GARDINER & THEOBALD LLP,36438037,"79,040.00"
Department of Health,Epsom & ST Helier University Hospital,12/31/2020,Purch Tang FA Addns Gr,Balance Sheet,RUSSELL CAWBERRY LTD,36438042,"243,090.77"
Department of Health,Epsom & ST Helier University Hospital,12/31/2020,Purch Tang FA Addns Gr,Balance Sheet,RUSSELL CAWBERRY LTD,36438042,"48,618.13"
Department of Health,Epsom & ST Helier University Hospital,12/31/2020,Purch Tang FA Addns Gr,Balance Sheet,IAC ACOUSTIC COMPANY UK LTD,36439155,"28,236.60"
Department of Health,Epsom & ST Helier University Hospital,12/31/2020,External Consultancy Fees,Project Services (STH),ARTELIA PROJECTS UK LTD,36439177,"44,586.56"
Department of Health,Epsom & ST Helier University Hospital,12/31/2020,External Consultancy Fees,Project Services (STH),ARTELIA PROJECTS UK LTD,36439177,"8,917.31"
Department of Health,Epsom & ST Helier University Hospital,12/31/2020,Printing Design Costs,Finance Management,GARDINER & THEOBALD LLP,36440123,"114,419.78"
Department of Health,Epsom & ST Helier University Hospital,12/31/2020,Bldg/Eng Equip Maint Cont,Accommodation Birches STH,FAILSAFE SECURITY SERVICES LTD,36448147,"1,270.00"
