Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,amount
Department of Health,Epsom & ST Helier University Hospital,2/28/2021,Purch Tang FA Addns Gr,Balance Sheet,APC CARDIOVASCULAR LTD,34217885,279.13
Department of Health,Epsom & ST Helier University Hospital,2/28/2021,Purch Tang FA Addns Gr,Balance Sheet,APC CARDIOVASCULAR LTD,34217885,"22,081.00"
Department of Health,Epsom & ST Helier University Hospital,2/28/2021,Purch Tang FA Addns Gr,Balance Sheet,PHOENIX PARTNERSHIP (LEEDS) LTD,36146866,"1,036.21"
Department of Health,Epsom & ST Helier University Hospital,2/28/2021,Purch Tang FA Addns Gr,Balance Sheet,PHOENIX PARTNERSHIP (LEEDS) LTD,36146866,"19,303.60"
Department of Health,Epsom & ST Helier University Hospital,2/28/2021,Purch Tang FA Addns Gr,Balance Sheet,PHOENIX PARTNERSHIP (LEEDS) LTD,36146866,"3,272.04"
Department of Health,Epsom & ST Helier University Hospital,2/28/2021,Computer Maintenance,IT Bureau,CIVICA UK LTD,36615900,"59,300.53"
Department of Health,Epsom & ST Helier University Hospital,2/28/2021,Laboratory Reagents,Microbiology (STH),BIOMERIEUX UK LTD,36882514,"46,736.21"
Department of Health,Epsom & ST Helier University Hospital,2/28/2021,Laboratory Reagents,Microbiology (STH),BIOMERIEUX UK LTD,36882514,"12,332.70"
Department of Health,Epsom & ST Helier University Hospital,2/28/2021,Ext Contr Domestics,Cleaning Services (STH),MITIE CLEANING & ENVIRONMENTAL SERVICES LTD,36942571,"324,603.30"
Department of Health,Epsom & ST Helier University Hospital,2/28/2021,Ext Contr Domestics,Cleaning Services (STH),MITIE CLEANING & ENVIRONMENTAL SERVICES LTD,36942571,"64,920.66"
Department of Health,Epsom & ST Helier University Hospital,2/28/2021,Purch Tang FA Addns Gr,Balance Sheet,RUSSELL CAWBERRY LTD,37029152,"457,860.36"
Department of Health,Epsom & ST Helier University Hospital,2/28/2021,Purch Tang FA Addns Gr,Balance Sheet,BURREN & WHITAKER CONSTRUCTION LTD,37082355,"281,364.88"
Department of Health,Epsom & ST Helier University Hospital,2/28/2021,Purch Tang FA Addns Gr,Balance Sheet,BURREN & WHITAKER CONSTRUCTION LTD,37082355,"56,272.96"
Department of Health,Epsom & ST Helier University Hospital,2/28/2021,Purch Tang FA Addns Gr,Balance Sheet,RUSSELL CAWBERRY LTD,37082356,"143,999.03"
Department of Health,Epsom & ST Helier University Hospital,2/28/2021,Purch Tang FA Addns Gr,Balance Sheet,GARDINER & THEOBALD LLP,37091938,"23,472.75"
Department of Health,Epsom & ST Helier University Hospital,2/28/2021,Purch Tang FA Addns Gr,Balance Sheet,GARDINER & THEOBALD LLP,37091938,"4,694.55"
Department of Health,Epsom & ST Helier University Hospital,2/28/2021,Audit Fees: Statutory,Finance Management,KPMG LLP,37102997,"25,000.00"
Department of Health,Epsom & ST Helier University Hospital,2/28/2021,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,37103008,"166,436.36"
Department of Health,Epsom & ST Helier University Hospital,2/28/2021,External Consultancy Fees,18 Week Target,MBI HEALTHCARE TECHNOLOGIES LTD,37110894,"41,135.00"
Department of Health,Epsom & ST Helier University Hospital,2/28/2021,Computer Software/License,IT Bureau,ALLSCRIPTS HEALTHCARE (IT) UK LTD,37112210,"30,000.00"
Department of Health,Epsom & ST Helier University Hospital,2/28/2021,External Consultancy Fees,18 Week Target,MBI HEALTHCARE TECHNOLOGIES LTD,37113512,"60,000.00"
