Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,amount
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Purch Tang FA Addns Gr,Balance Sheet,B BRAUN MEDICAL LTD,35831201,"8,864.00"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Purch Tang FA Addns Gr,Balance Sheet,B BRAUN MEDICAL LTD,35831201,"19,172.00"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Med & Surg Equip General,Medicine COVID19,GB (UK) LTD,36536134,-600
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Med & Surg Equip General,Medicine COVID19,GB (UK) LTD,36536134,"-20,550.00"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Med & Surg Equip General,Medicine COVID19,GB (UK) LTD,36536134,"-34,250.00"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Med & Surg Equip General,Medicine COVID19,GB (UK) LTD,36536134,"-27,400.00"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Ext Contr Laundry,Linen Laundry (STH),SYNERGY HEALTH (UK) LTD,36822898,"58,330.91"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,External Consultancy Fees,Joint Recovery PMO,KINGSGATE INTERIM ADVISORY & INVESTMENT,37273864,"50,150.00"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Consultant,Paed Dentistry Med Staff (STH),GUYS&ST THOMAS NHS FOUNDATION TRUST,37407820,"81,276.48"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Lease Rents,Accommodation Temple Road EPS,WOODCOTE ESTATES LTD,37407851,"27,052.50"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Purch Tang FA Addns Gr,Balance Sheet,BREATHE ENERGY LTD,37408082,"608,536.76"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Purch Tang FA Addns Gr,Balance Sheet,BREATHE ENERGY LTD,37408082,"121,707.35"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Purch Tang FA Addns Gr,Balance Sheet,BREATHE ENERGY LTD,37408219,"684,789.55"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Purch Tang FA Addns Gr,Balance Sheet,BREATHE ENERGY LTD,37408219,"136,957.91"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Purch Tang FA Addns Gr,Balance Sheet,PLOWMAN CRAVEN,37409384,"21,175.00"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Purch Tang FA Addns Gr,Balance Sheet,ELAN LIFTS LTD,37431930,"34,328.00"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Purch Tang FA Addns Gr,Balance Sheet,FRIARGREEN CONSTRUCTION LTD,37431943,"96,085.15"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Bldg/Eng Equip Maint Cont,Clincal Services Mgmt,GENMED ME LTD,37431949,"5,228.27"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Bldg/Eng Equip Maint Cont,Clincal Services Mgmt,GENMED ME LTD,37431949,"26,141.37"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,External Consultancy Fees,Joint Recovery PMO,KINGSGATE INTERIM ADVISORY & INVESTMENT,37432086,"98,075.00"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,External Consultancy Fees,Joint Recovery PMO,KINGSGATE INTERIM ADVISORY & INVESTMENT,37432087,"98,075.00"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Drugs,Balance Sheet,SHIRE PHARMACEUTICALS LTD,37437711,"28,680.00"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Med & Surg Equip Repair,Theatres (EPS),GENMED ME LTD,37445515,"24,271.30"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Med & Surg Equip Repair,Theatres (EPS),GENMED ME LTD,37445517,"24,271.30"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Purch Tang FA Addns Gr,Balance Sheet,MEDTRONIC LTD,37445534,"23,362.00"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Purch Tang FA Addns Gr,Balance Sheet,MEDTRONIC LTD,37445534,"4,672.40"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Staff Consultancy & Suppt,Project Services (STH),ARTELIA PROJECTS UK LTD,37451416,"25,800.00"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Staff Consultancy & Suppt,Project Services (STH),ARTELIA PROJECTS UK LTD,37451416,"5,160.00"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Staff Consultancy & Suppt,Project Services (STH),ARTELIA PROJECTS UK LTD,37451425,"24,799.80"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Purch Tang FA Addns Gr,Balance Sheet,ARTELIA PROJECTS UK LTD,37451429,"24,650.00"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Purch Tang FA Addns Gr,Balance Sheet,ARTELIA PROJECTS UK LTD,37451429,"4,930.00"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,External Consultancy Fees,Project Services (STH),ARTELIA PROJECTS UK LTD,37451433,"54,584.06"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,External Consultancy Fees,Project Services (STH),ARTELIA PROJECTS UK LTD,37451433,"10,916.81"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Purch Tang FA Addns Gr,Balance Sheet,CHARLWOOD ELECTRICAL LTD,37451441,"34,099.38"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Computer Software/License,IT Bureau,EUROPEAN ELECTRONIQUE LTD,37453209,"44,948.00"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Computer Software/License,IT Bureau,EUROPEAN ELECTRONIQUE LTD,37453209,"14,520.00"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Computer Software/License,IT Bureau,EUROPEAN ELECTRONIQUE LTD,37453209,"52,404.00"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Computer Software/License,IT Bureau,EUROPEAN ELECTRONIQUE LTD,37453209,"2,400.00"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Computer Software/License,IT Bureau,EUROPEAN ELECTRONIQUE LTD,37453209,"22,854.40"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Purch Tang FA Addns Gr,Balance Sheet,LENVAL LTD,37453214,"50,730.00"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Purch Tang FA Addns Gr,Balance Sheet,LENVAL LTD,37453214,"10,146.00"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Other Gen Supplies & Srv,Radiology Medical (STH),MEDICA REPORTING LTD,37457300,"71,506.08"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Contractual Clinical Srv,S Unit Farnborough (STH),FRESENIUS MEDICAL CARE RENAL SERVICES LTD,37457442,"60,392.64"
Department of Health,Epsom & ST Helier University Hospital,3/31/2021,Contractual Clinical Srv,S Unit Epsom (STH),FRESENIUS MEDICAL CARE RENAL SERVICES LTD,37457449,"58,410.34"
