Department family,Entity,Date of payment,Expense type,Expense area,Supplier,Transaction number,amount
Department of Health,Guys and St Thomas NHS Foundation Trust,24/04/2020,(55040) Admin & Clerical,(id:2002419) Cancer Supportive Services and R&D,KINGS COLLEGE LONDON:03529700,id:12941989   ,2998.48
Department of Health,Guys and St Thomas NHS Foundation Trust,24/04/2020,(55040) Admin & Clerical,(id:2002419) Cancer Supportive Services and R&D,KINGS COLLEGE LONDON:03529700,id:12913633   ,3014.9
Department of Health,Guys and St Thomas NHS Foundation Trust,24/04/2020,(80200) Drug Costs,(id:42276) Cancer Supportive Services and R&D,VIAPATH SERVICES LLP,id:12363151,675
Department of Health,Guys and St Thomas NHS Foundation Trust,24/04/2020,(80200) Drug Costs,(id:42276) Cancer Supportive Services and R&D,VIAPATH SERVICES LLP,id:12363292,675
Department of Health,Guys and St Thomas NHS Foundation Trust,03/04/2020,(89440) Research and Development,(id:42279) Cancer Supportive Services and R&D,KINGS COLLEGE LONDON:03529700,id:12946095  ,12000
Department of Health,Guys and St Thomas NHS Foundation Trust,03/04/2020,(81100) Dressings,(id:42270) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:12891174 ,124.31
Department of Health,Guys and St Thomas NHS Foundation Trust,03/04/2020,(83400) Office Equipment,(id:42270) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:12912734    ,184.14
Department of Health,Guys and St Thomas NHS Foundation Trust,03/04/2020,(83400) Office Equipment,(id:42270) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:12891174    ,70.02
Department of Health,Guys and St Thomas NHS Foundation Trust,03/04/2020,(82000) Provisions & Kitchens,(id:42270) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:12912734    ,23.4
Department of Health,Guys and St Thomas NHS Foundation Trust,17/04/2020,(81000) Surgical Appliances,(id:42268) Haematology,TALAR MADE ORTHOTICS LTD,id:12968777,247.44
Department of Health,Guys and St Thomas NHS Foundation Trust,29/04/2020,(50202) Consultants,(id:42267) Haematology,PRICEWATERHOUSECOOPERS LLP,id:12999514 ,1043.83
Department of Health,Guys and St Thomas NHS Foundation Trust,03/04/2020,(82700) Uniforms & Clothing,(id:42265) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:12912734 ,31.68
Department of Health,Guys and St Thomas NHS Foundation Trust,03/04/2020,(82000) Provisions & Kitchens,(id:42265) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:12912734    ,38.58
Department of Health,Guys and St Thomas NHS Foundation Trust,03/04/2020,(82600) Uniforms & Clothing,(id:42265) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:12912734 ,209.89
Department of Health,Guys and St Thomas NHS Foundation Trust,03/04/2020,(50522) Unqualified Nursing Staff,(id:42265) Haematology,MSI GROUP LTD,id:12952767,245.37
Department of Health,Guys and St Thomas NHS Foundation Trust,24/04/2020,(50522) Unqualified Nursing Staff,(id:42265) Haematology,MSI GROUP LTD,id:12989161,283.09
Department of Health,Guys and St Thomas NHS Foundation Trust,03/04/2020,(81000) Surgical Appliances,(id:42272) Haematology,MEDI UK LTD,id:12940514   ,130.08
Department of Health,Guys and St Thomas NHS Foundation Trust,09/04/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:12958059 ,3750
Department of Health,Guys and St Thomas NHS Foundation Trust,09/04/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:12958070 ,3875
Department of Health,Guys and St Thomas NHS Foundation Trust,24/04/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:12990723 ,1553.7
Department of Health,Guys and St Thomas NHS Foundation Trust,24/04/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:12990583 ,3875
Department of Health,Guys and St Thomas NHS Foundation Trust,24/04/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:12990580 ,4925
Department of Health,Guys and St Thomas NHS Foundation Trust,24/04/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:12990679 ,5525
Department of Health,Guys and St Thomas NHS Foundation Trust,24/04/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:12990669 ,6687.5
Department of Health,Guys and St Thomas NHS Foundation Trust,24/04/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:12990752 ,9095
Department of Health,Guys and St Thomas NHS Foundation Trust,03/04/2020,(80205) Drug Costs,(id:42273) Haematology,BAXALTA UK LTD,id:12935325    ,3237.2
Department of Health,Guys and St Thomas NHS Foundation Trust,03/04/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:12945295 ,3875
Department of Health,Guys and St Thomas NHS Foundation Trust,03/04/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:12945229 ,3975
Department of Health,Guys and St Thomas NHS Foundation Trust,03/04/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:12945294 ,6125
Department of Health,Guys and St Thomas NHS Foundation Trust,03/04/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:12945237 ,7625
Department of Health,Guys and St Thomas NHS Foundation Trust,03/04/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:12945238 ,8225
Department of Health,Guys and St Thomas NHS Foundation Trust,17/04/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:12969001 ,1883.4
Department of Health,Guys and St Thomas NHS Foundation Trust,17/04/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:12969114 ,2125
Department of Health,Guys and St Thomas NHS Foundation Trust,17/04/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:12969008 ,3625
Department of Health,Guys and St Thomas NHS Foundation Trust,17/04/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:12969015 ,19525
Department of Health,Guys and St Thomas NHS Foundation Trust,24/04/2020,(89200) Other - Patient travel,(id:42130) Haematology,F A ALBIN & SONS,id:12985876,860
Department of Health,Guys and St Thomas NHS Foundation Trust,09/04/2020,(54052) Technical Officers,(id:42128) Haematology,TOTAL ASSIST RECRUITMENT LTD,id:12956655  ,1161.17
Department of Health,Guys and St Thomas NHS Foundation Trust,24/04/2020,(54052) Technical Officers,(id:42128) Haematology,TOTAL ASSIST RECRUITMENT LTD,id:12989225  ,1280.7
Department of Health,Guys and St Thomas NHS Foundation Trust,03/04/2020,(54052) Technical Officers,(id:42128) Haematology,TOTAL ASSIST RECRUITMENT LTD,id:12952479  ,1280.7
