Department family,Entity,Date of payment,Expense type,Expense area,Supplier,Transaction number,amount
Department of Health,Guys and St Thomas NHS Foundation Trust,14/08/2020,(81700) Lab Equipment Purchase,(id:861419) Cancer Supportive Services and R&D,VIAPATH ANALYTICS LLP,id:13084826 ,565.25
Department of Health,Guys and St Thomas NHS Foundation Trust,14/08/2020,(84400) Transport,(id:42276) Cancer Supportive Services and R&D,CITYSPRINT (UK) LTD,id:13238514  ,938.45
Department of Health,Guys and St Thomas NHS Foundation Trust,21/08/2020,(81700) Lab Equipment Purchase,(id:42270) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13150574   ,77.6
Department of Health,Guys and St Thomas NHS Foundation Trust,07/08/2020,(81000) Surgical Appliances,(id:42268) Haematology,MEDI UK LTD,id:13227635   ,76.7
Department of Health,Guys and St Thomas NHS Foundation Trust,21/08/2020,(83500) Furniture & Fittings,(id:42265) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13150574,478.8
Department of Health,Guys and St Thomas NHS Foundation Trust,21/08/2020,(81255) Medical Surgical Supplies & Equipment,(id:42265) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13162263   ,3.41
Department of Health,Guys and St Thomas NHS Foundation Trust,21/08/2020,(81900) Lab Equipment Purchase,(id:42272) Haematology,VIAPATH ANALYTICS LLP,id:13090555,2213.59
Department of Health,Guys and St Thomas NHS Foundation Trust,07/08/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:13229841 ,1725
Department of Health,Guys and St Thomas NHS Foundation Trust,07/08/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:13229634 ,3875
Department of Health,Guys and St Thomas NHS Foundation Trust,07/08/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:13229825 ,4125
Department of Health,Guys and St Thomas NHS Foundation Trust,07/08/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:13236295 ,4313
Department of Health,Guys and St Thomas NHS Foundation Trust,07/08/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:13236321 ,5125
