Department family,Entity,Date of payment,Expense type,Expense area,Supplier,Transaction number,amount
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(84400) Transport,(id:42276) Cancer Supportive Services and R&D,CITYSPRINT (UK) LTD,id:13312923  ,1805.86
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(81200) Medical Surgical Supplies & Equipment,(id:42276) Cancer Supportive Services and R&D,NHS SUPPLY CHAIN (MAIDSTONE),id:13325094,69.5
Department of Health,Guys and St Thomas NHS Foundation Trust,22/09/2020,(82800) Bedding & Linen,(id:42279) Cancer Supportive Services and R&D,NHS SUPPLY CHAIN (MAIDSTONE),id:13331277  ,60.26
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(83410) Office Equipment,(id:42277) Cancer Supportive Services and R&D,RICOH UK LTD,id:13342154  ,556.4
Department of Health,Guys and St Thomas NHS Foundation Trust,11/09/2020,(81200) Medical Surgical Supplies & Equipment,(id:42270) Haematology,TERUMO BCT EUROPE NV/SA  (PREVIOUSLY CARIDIAN),id:13312957,4169.38
Department of Health,Guys and St Thomas NHS Foundation Trust,11/09/2020,(81200) Medical Surgical Supplies & Equipment,(id:42270) Haematology,TERUMO BCT EUROPE NV/SA  (PREVIOUSLY CARIDIAN),id:13313923,4169.38
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81200) Medical Surgical Supplies & Equipment,(id:42270) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13291359   ,1203.26
Department of Health,Guys and St Thomas NHS Foundation Trust,11/09/2020,(81200) Medical Surgical Supplies & Equipment,(id:42270) Haematology,TERUMO BCT EUROPE NV/SA  (PREVIOUSLY CARIDIAN),id:13313921,4169.38
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(81200) Medical Surgical Supplies & Equipment,(id:42270) Haematology,TERUMO BCT EUROPE NV/SA  (PREVIOUSLY CARIDIAN),id:13341234,640.51
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(81100) Dressings,(id:42270) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13325094 ,59.26
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81100) Dressings,(id:42270) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13269121 ,185.25
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(83400) Office Equipment,(id:42270) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13287744    ,434.59
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(81700) Lab Equipment Purchase,(id:42270) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13325094   ,130.41
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81700) Lab Equipment Purchase,(id:42270) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13269121   ,184.12
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(82600) Uniforms & Clothing,(id:42270) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13269121 ,50.52
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(82800) Bedding & Linen,(id:42270) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13204335,39.03
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(82800) Bedding & Linen,(id:42270) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13269121,46.82
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81275) Medical Surgical Supplies & Equipment,(id:42270) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13268734   ,24.7
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(82700) Uniforms & Clothing,(id:42270) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13300894 ,52.97
Department of Health,Guys and St Thomas NHS Foundation Trust,11/09/2020,(80010) Drug Costs,(id:42270) Haematology,FRESENIUS KABI LTD,id:13313920,1122.05
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81230) Medical Surgical Supplies & Equipment,(id:42270) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13268734   ,2622
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81000) Surgical Appliances,(id:42268) Haematology,TALAR MADE ORTHOTICS LTD,id:13299108,252
Department of Health,Guys and St Thomas NHS Foundation Trust,11/09/2020,(89595) Non-Healthcare from Foundation Trusts,(id:42267) Haematology,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,id:10841855  ,2138
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(82000) Provisions & Kitchens,(id:42265) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13268734    ,606.77
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(82000) Provisions & Kitchens,(id:42265) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13312947    ,55.01
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(82800) Bedding & Linen,(id:42265) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13268734,236.71
Department of Health,Guys and St Thomas NHS Foundation Trust,22/09/2020,(81100) Dressings,(id:42265) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13331277 ,242.71
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81200) Medical Surgical Supplies & Equipment,(id:42265) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13287744   ,1635.7
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81200) Medical Surgical Supplies & Equipment,(id:42265) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13269121   ,1775.76
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(81200) Medical Surgical Supplies & Equipment,(id:42265) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13325094   ,1410.93
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(83400) Office Equipment,(id:42265) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13269121    ,256.44
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(83400) Office Equipment,(id:42265) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13268734    ,276.81
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(83400) Office Equipment,(id:42265) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13300894    ,60.07
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81225) Medical Surgical Supplies & Equipment,(id:42265) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13204335   ,3
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81225) Medical Surgical Supplies & Equipment,(id:42265) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13268734   ,33.93
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81700) Lab Equipment Purchase,(id:42265) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13204335   ,52.42
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(82000) Provisions & Kitchens,(id:42272) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13269121    ,15.6
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(82800) Bedding & Linen,(id:42272) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13269121,841.62
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(81200) Medical Surgical Supplies & Equipment,(id:42272) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13300894   ,144.96
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(83410) Office Equipment,(id:42272) Haematology,RICOH UK LTD,id:13342154,128.85
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81000) Surgical Appliances,(id:42272) Haematology,MEDI UK LTD,id:13299954   ,357.62
Department of Health,Guys and St Thomas NHS Foundation Trust,11/09/2020,(82600) Uniforms & Clothing,(id:42271) Haematology,COURIER SYSTEMS (ECOURIER),id:13312940   ,604.37
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(80205) Drug Costs,(id:42273) Haematology,SHIRE PHARMACEUTICALS LTD,id:13307215   ,1420
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:13307141 ,2127
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(80205) Drug Costs,(id:42273) Haematology,SHIRE PHARMACEUTICALS LTD,id:13307208   ,3940
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:13307126 ,4627
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:13307135 ,4927
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:13307197 ,5247
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:13307128 ,6127
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:13307124 ,6287
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:13307180 ,8127
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:13337894 ,773
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:13337934 ,4102
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:13338019 ,4127
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:13338005 ,4927
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:13337997 ,5762
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:13337990 ,6067
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:13337898 ,38997
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(54052) Technical Officers,(id:42128) Haematology,TOTAL ASSIST RECRUITMENT LTD,id:13343458  ,939.18
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(54052) Technical Officers,(id:42128) Haematology,TOTAL ASSIST RECRUITMENT LTD,id:13343566  ,1246.55
Department of Health,Guys and St Thomas NHS Foundation Trust,18/09/2020,(54052) Technical Officers,(id:42128) Haematology,TOTAL ASSIST RECRUITMENT LTD,id:13328992  ,1024.56
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81700) Lab Equipment Purchase,(id:42128) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13287744   ,133.18
