Department family,Entity,Date of payment,Expense type,Expense area,Supplier,Transaction number,amount
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(83400) Office Equipment,(id:850419) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13531623 ,207.43
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(83400) Office Equipment,(id:850419) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13543074 ,147.9
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(83400) Office Equipment,(id:850419) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13542894 ,20.14
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(81100) Dressings,(id:850419) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13543750   ,37.04
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(81100) Dressings,(id:850419) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13543516   ,71.28
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(82600) Uniforms & Clothing,(id:850419) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13543074   ,261.94
Department of Health,Guys and St Thomas NHS Foundation Trust,04/12/2020,(81200) Medical Surgical Supplies & Equipment,(id:41897) TAP,BUNZL HEALTHCARE,id:13532141   ,24
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(81200) Medical Surgical Supplies & Equipment,(id:41897) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13542894 ,2847.59
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(81200) Medical Surgical Supplies & Equipment,(id:41897) TAP,LOCAMED LTD,id:13455870   ,3652.2
Department of Health,Guys and St Thomas NHS Foundation Trust,18/12/2020,(81200) Medical Surgical Supplies & Equipment,(id:41897) TAP,JOHNSON & JOHNSON MEDICAL LTD,id:13518427,302.24
Department of Health,Guys and St Thomas NHS Foundation Trust,18/12/2020,(81200) Medical Surgical Supplies & Equipment,(id:41897) TAP,JOHNSON & JOHNSON MEDICAL LTD,id:13529332,2164.1
Department of Health,Guys and St Thomas NHS Foundation Trust,04/12/2020,(81200) Medical Surgical Supplies & Equipment,(id:41897) TAP,JOHNSON & JOHNSON MEDICAL LTD,id:13484732,145.09
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(81200) Medical Surgical Supplies & Equipment,(id:41897) TAP,OLYMPUS KEYMED,id:13500572,2316.92
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(81100) Dressings,(id:41897) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13543750    ,918.81
Department of Health,Guys and St Thomas NHS Foundation Trust,18/12/2020,(81100) Dressings,(id:41897) TAP,JOHNSON & JOHNSON MEDICAL LTD,id:13523908   ,678.78
Department of Health,Guys and St Thomas NHS Foundation Trust,22/12/2020,(81100) Dressings,(id:41897) TAP,ELIS UK LIMITED,id:13565258  ,468.79
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(82000) Provisions & Kitchens,(id:41897) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13543074  ,58.21
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(81230) Medical Surgical Supplies & Equipment,(id:41894) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13543074 ,533.64
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(82600) Uniforms & Clothing,(id:41894) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13543074    ,20.89
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(81200) Medical Surgical Supplies & Equipment,(id:41894) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13531623 ,914.38
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(81200) Medical Surgical Supplies & Equipment,(id:41894) TAP,ELIS UK LIMITED,id:13521894    ,81.12
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(81200) Medical Surgical Supplies & Equipment,(id:41893) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13542894 ,129.6
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(81200) Medical Surgical Supplies & Equipment,(id:41892) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13543516 ,4.2
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(83410) Office Equipment,(id:41890) TAP,RICOH UK LTD,id:13516172   ,419.05
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(81100) Dressings,(id:41888) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13543516    ,9.9
Department of Health,Guys and St Thomas NHS Foundation Trust,04/12/2020,(81200) Medical Surgical Supplies & Equipment,(id:41886) TAP,OLYMPUS KEYMED,id:13481924,2419.52
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(82800) Bedding & Linen,(id:41883) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13531623   ,294.82
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(81700) Lab Equipment Purchase,(id:41883) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13542894 ,1.32
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(81700) Lab Equipment Purchase,(id:41883) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13543074 ,15
Department of Health,Guys and St Thomas NHS Foundation Trust,18/12/2020,(81225) Medical Surgical Supplies & Equipment,(id:41883) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13535395 ,70.15
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(81225) Medical Surgical Supplies & Equipment,(id:41883) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13543750 ,24.25
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(81200) Medical Surgical Supplies & Equipment,(id:41883) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13543516 ,2099.08
Department of Health,Guys and St Thomas NHS Foundation Trust,18/12/2020,(81200) Medical Surgical Supplies & Equipment,(id:41883) TAP,JOHNSON & JOHNSON MEDICAL LTD,id:13529329,72.9
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(81200) Medical Surgical Supplies & Equipment,(id:41883) TAP,TPS HEALTHCARE GROUP,id:13537154    ,504
Department of Health,Guys and St Thomas NHS Foundation Trust,04/12/2020,(50552) Qualified Nursing Staff,(id:41883) TAP,CONTINENTAL NURSE LTD,id:13531103  ,1788.19
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(81255) Medical Surgical Supplies & Equipment,(id:41883) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13543516 ,28.15
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(83400) Office Equipment,(id:41883) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13543074  ,728.67
Department of Health,Guys and St Thomas NHS Foundation Trust,18/12/2020,(50562) Qualified Nursing Staff,(id:41883) TAP,CARE PROVIDERS HEALTHCARE,id:13571122   ,1151.28
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(81200) Medical Surgical Supplies & Equipment,(id:41907) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13543516 ,1572.34
Department of Health,Guys and St Thomas NHS Foundation Trust,18/12/2020,(81200) Medical Surgical Supplies & Equipment,(id:41907) TAP,JOHNSON & JOHNSON MEDICAL LTD,id:13523913,521.03
Department of Health,Guys and St Thomas NHS Foundation Trust,18/12/2020,(81200) Medical Surgical Supplies & Equipment,(id:41907) TAP,MEDTRONIC LTD,id:13571541 ,1122
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(81100) Dressings,(id:41907) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13531623    ,21.56
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(81230) Medical Surgical Supplies & Equipment,(id:41907) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13543516 ,926.86
Department of Health,Guys and St Thomas NHS Foundation Trust,18/12/2020,(83400) Office Equipment,(id:41907) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13535395  ,62.45
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(83400) Office Equipment,(id:41906) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13543074  ,185.35
Department of Health,Guys and St Thomas NHS Foundation Trust,18/12/2020,(82800) Bedding & Linen,(id:41906) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13535395   ,44.79
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(82800) Bedding & Linen,(id:41906) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13531623   ,61.65
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(81200) Medical Surgical Supplies & Equipment,(id:41906) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13543750 ,3013.3
Department of Health,Guys and St Thomas NHS Foundation Trust,18/12/2020,(81200) Medical Surgical Supplies & Equipment,(id:41906) TAP,LIVANOVA UK LTD,id:13557360    ,551.09
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(81100) Dressings,(id:41906) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13543750    ,84.09
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(81255) Medical Surgical Supplies & Equipment,(id:41906) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13543074 ,1.56
Department of Health,Guys and St Thomas NHS Foundation Trust,18/12/2020,(82800) Bedding & Linen,(id:41905) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13535395   ,7.44
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(82800) Bedding & Linen,(id:41905) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13542894   ,18.6
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(82800) Bedding & Linen,(id:41905) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13531623   ,756
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(83410) Office Equipment,(id:41905) TAP,RICOH UK LTD,id:13516172   ,113.99
Department of Health,Guys and St Thomas NHS Foundation Trust,22/12/2020,(81700) Lab Equipment Purchase,(id:41905) TAP,HAEMONETICS (UK) LTD,id:13575721    ,779.04
Department of Health,Guys and St Thomas NHS Foundation Trust,18/12/2020,(83400) Office Equipment,(id:41905) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13535395  ,270.42
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(83400) Office Equipment,(id:41905) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13542894  ,1292.85
Department of Health,Guys and St Thomas NHS Foundation Trust,18/12/2020,(81200) Medical Surgical Supplies & Equipment,(id:2549419) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13535395    ,218.4
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(81255) Medical Surgical Supplies & Equipment,(id:41913) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13543074 ,25.34
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(82700) Uniforms & Clothing,(id:41913) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13543074    ,10.56
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(81100) Dressings,(id:41913) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13543516    ,27.72
Department of Health,Guys and St Thomas NHS Foundation Trust,11/12/2020,(81200) Medical Surgical Supplies & Equipment,(id:41913) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13543074 ,1017.87
Department of Health,Guys and St Thomas NHS Foundation Trust,18/12/2020,(81230) Medical Surgical Supplies & Equipment,(id:41913) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13535395 ,228
