Department family,Entity,Date of payment,Expense type,Expense area,Supplier,Transaction number,amount
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:41897) TAP,ELIS UK LIMITED,id:13716744    ,56.1
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:41897) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13641574 ,516.58
Department of Health,Guys and St Thomas NHS Foundation Trust,05/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:41897) TAP,CRYOLIFE EUROPA LTD,id:13699536,1260
Department of Health,Guys and St Thomas NHS Foundation Trust,05/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:41897) TAP,ALCON EYE CARE UK LIMITED,id:13726654    ,5875.2
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(81100) Dressings,(id:41897) TAP,ELIS UK LIMITED,id:13697995  ,604.16
Department of Health,Guys and St Thomas NHS Foundation Trust,05/02/2021,(81100) Dressings,(id:41897) TAP,ELIS UK LIMITED,id:13728577  ,471.96
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(84501) Establishment,(id:41897) TAP,CDP  PRINT MANAGEMENT,id:13786276  ,2860
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(81100) Dressings,(id:41894) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13687498    ,21.04
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(82600) Uniforms & Clothing,(id:41894) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13633898    ,19.8
Department of Health,Guys and St Thomas NHS Foundation Trust,12/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:41894) TAP,CONMED LINVATEC UK,id:13480477 ,216
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:41894) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13709794 ,500.08
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(81100) Dressings,(id:41892) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13641574    ,15.96
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(82800) Bedding & Linen,(id:41883) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13709794   ,266.03
