Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,Homerton University Hospital NHS,6/30/2020,National Insurance - Curr,Balance Sheet,INLAND REVENUE CIS,34667731,"2,825,584.35"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Income tax - Current,Balance Sheet,INLAND REVENUE CIS,34667731,"2,426,111.82"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Med & Surg Equip Hire,Integrated Comm Equip,LONDON BOROUGH OF HACKNEY,34547849,"571,417.00"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Med & Surg Equip Hire,Integrated Comm Equip,LONDON BOROUGH OF HACKNEY,34547856,"478,132.00"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,AUC Additions,Balance Sheet,SUPPLY CHAIN COORDINATION,34504148,"389,144.50"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Vaccines,COVID-19,"LIMITED
ISS MEDICLEAN LTD",34592622,"313,732.15"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Vaccines,COVID-19,ISS MEDICLEAN LTD,34747762,"297,465.55"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Bldg/Eng Equip Maint Cont,St. Leonards - Estates,NHS PROPERTY SERVICES LTD,34563416,"219,983.09"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Ext Contr Catering,Domestic Contract,ISS MEDICLEAN LTD,34592658,"197,901.73"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Ext Contr Catering,Domestic Contract,ISS MEDICLEAN LTD,34592660,"197,901.73"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Ext Contr Catering,Domestic Contract,ISS MEDICLEAN LTD,34760645,"197,901.73"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Ext Contr Domestics,Domestic Contract,ISS MEDICLEAN LTD,34592658,"194,265.64"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Ext Contr Domestics,Domestic Contract,ISS MEDICLEAN LTD,34760645,"194,265.64"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Ext Contr Domestics,Domestic Contract,ISS MEDICLEAN LTD,34592660,"180,474.05"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Rent,St. Leonards - Estates,NHS PROPERTY SERVICES LTD,34563406,"138,869.78"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Rent,St. Leonards - Estates,NHS PROPERTY SERVICES LTD,34616787,"138,869.78"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Lease Rents,St. Leonards - Estates,NHS PROPERTY SERVICES LTD,34616793,"138,869.78"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Hospital Car Services,New Transport,ERS TRANSITION LTD,34505988,"134,757.57"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Service Charge,St. Leonards - Estates,NHS PROPERTY SERVICES LTD,34563414,"125,166.57"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Service Charge,St. Leonards - Estates,NHS PROPERTY SERVICES LTD,34616785,"125,166.57"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Services Received - NHSTs,Hshs Clinic,EAST LONDON NHS FOUNDATION,34532940,"124,045.00"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,AUC Additions,Balance Sheet,"TRUST
SOFTCAT PLC",34659246,"120,297.16"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,AUC Additions,Balance Sheet,SOFTCAT PLC,34756167,"120,297.16"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,AUC Additions,Balance Sheet,H&C CONTRACTS LTD,34601906,"95,615.22"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Protective Clothing,COVID-19,BATES OFFICE SERVICES LTD - RQX,34677027,"80,000.00"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,AUC Additions,Balance Sheet,SUPPLY CHAIN COORDINATION,34504148,"77,828.90"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,NonNHS Trade Pybls Curr,Balance Sheet,"LIMITED
SUPPLY CHAIN COORDINATION",34532971,"76,143.63"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Computer Software/License,Clinical Information Systems,"LIMITED
CERNER LTD",34760627,"74,454.42"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Electricity,Homerton Energy,EDF ENERGY CUSTOMERS PLC,34594732,"74,343.98"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Computer Software/License,Clinical Information Systems,SERVELEC HEALTHCARE LTD,34720206,"73,907.75"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,AUC Additions,Balance Sheet,WELCH ALLYN UK LTD,34750260,"71,530.00"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Ext Contr Oth Hotel Srv,Domestic Contract,ISS MEDICLEAN LTD,34592658,"69,958.61"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Ext Contr Oth Hotel Srv,Domestic Contract,ISS MEDICLEAN LTD,34592660,"69,958.61"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Ext Contr Oth Hotel Srv,Domestic Contract,ISS MEDICLEAN LTD,34760645,"69,958.61"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Ext Contr Domestics,Domestic Contract,ISS MEDICLEAN LTD,34592661,"68,192.89"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Vaccines,COVID-19,GBUK HEALTHCARE,34622720,"66,960.00"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Radio communications,Health and Safety,SKYGUARD LTD,34616916,"63,976.90"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION,34532960,"62,549.05"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Other Gen Supplies & Srv,Health and Safety,"LIMITED
SYNERGY HEALTH (UK) LTD",34747775,"62,196.55"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Electricity,Homerton Energy,EDF ENERGY CUSTOMERS PLC,34747755,"62,181.63"
Department of Health,Homerton University Hospital NHS,6/30/2020,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION,34684092,"59,554.76"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,AUC Additions,Balance Sheet,"LIMITED
SUPPLY CHAIN COORDINATION",34504154,"56,781.20"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,AUC Additions,Balance Sheet,"LIMITED
SUPPLY CHAIN COORDINATION",34504156,"56,781.20"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Bldg/Eng Equip Maint Cont,St. Leonards - Estates,"LIMITED
NHS PROPERTY SERVICES LTD",34563414,"51,670.38"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Bldg/Eng Equip Maint Cont,St. Leonards - Estates,NHS PROPERTY SERVICES LTD,34616785,"51,670.38"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,FP10S,Outpatients,NHS BUSINESS SERVICES,34705646,"51,535.02"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Services Received - NHSTs,Cardiac Dept,"AUTHORITY
UNIVERSITY COLLEGE LONDON",34656181,"50,587.61"
Department of Health,Homerton University Hospital NHS,6/30/2020,FP10S,Outpatients,NHS BUSINESS SERVICES,34675760,"50,163.01"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,FP10S,Outpatients,"AUTHORITY
NHS BUSINESS SERVICES",34705645,"50,135.21"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Computer Software/License,Clinical Coding,"AUTHORITY
3M UNITED KINGDOM PLC",34697945,"49,129.00"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,FP10S,Outpatients,NHS BUSINESS SERVICES,34705649,"48,765.27"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,AUC Additions,Balance Sheet,"AUTHORITY
MARDAV SOLUTIONS LTD",34815089,"48,762.00"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Lease Rents,Slg-Retinal Screening,NHS PROPERTY SERVICES LTD,34532918,"48,702.00"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Lease Rents,Slg-Retinal Screening,NHS PROPERTY SERVICES LTD,34623548,"48,702.00"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,FP10S,Outpatients,NHS BUSINESS SERVICES,34705644,"47,867.23"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Rates,Sexual Health Estates,"AUTHORITY
CITY OF LONDON",34599424,"47,790.00"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION,34684093,"47,305.67"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,AUC Additions,Balance Sheet,"LIMITED
WELCH ALLYN UK LTD",34749029,"46,772.10"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Ext Contr Laundry,Domestic Contract,ISS MEDICLEAN LTD,34592658,"46,611.38"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Ext Contr Laundry,Domestic Contract,ISS MEDICLEAN LTD,34592660,"46,611.38"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Ext Contr Laundry,Domestic Contract,ISS MEDICLEAN LTD,34760645,"46,611.38"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Miscellaneous Expenditure,COVID-19,FLOYD & SON,34616828,"46,000.00"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Laboratory Chemicals,Chemical Pathology,ABBOTT LABORATORIES LTD,34642347,"44,434.75"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Services Received - NHSTs,Cardiac Dept,UNIVERSITY COLLEGE LONDON,34656189,"43,372.71"
Department of Health,Homerton University Hospital NHS,6/30/2020,Ext Contr Catering,Domestic Contract,ISS MEDICLEAN LTD,34592661,"42,588.46"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Contr Premises Security,Domestic Contract,ISS MEDICLEAN LTD,34592658,"42,124.65"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Contr Premises Security,Domestic Contract,ISS MEDICLEAN LTD,34592660,"42,124.65"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Contr Premises Security,Domestic Contract,ISS MEDICLEAN LTD,34760645,"42,124.65"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Radio communications,Health and Safety,SKYGUARD LTD,34524375,"41,985.22"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Services Received - NHSTs,Paediatrics Sla,MOORFIELDS EYE HOSPITAL NHS,34642327,"41,772.00"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Ext Contr Domestics,Domestic Contract,"FOUNDATION TRUST
ISS MEDICLEAN LTD",34592657,"40,071.13"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Vaccines,COVID-19,MY LAUNDRESS COMMERCIAL,34570092,"39,500.00"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,AUC Additions,Balance Sheet,"LTD
OLYMPUS KEYMED",34818270,"39,042.50"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Other Gen Supplies & Srv,Health and Safety,SYNERGY HEALTH (UK) LTD,34705665,"38,407.59"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION,34684094,"37,070.50"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Electricity,Homerton Energy,"LIMITED
EDF ENERGY CUSTOMERS PLC",34599431,"36,415.73"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Vaccines,COVID-19,ERS TRANSITION LTD,34532686,"35,723.18"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Services Received - NHSTs,Cardiac Dept,BARTS HEALTH NHS TRUST,34747742,"35,175.00"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,AUC Additions,Balance Sheet,K2 MEDICAL SYSTEMS LTD,34556458,"35,000.00"
Department of Health,Homerton University Hospital NHS,6/30/2020,Vaccines,COVID-19,MY LAUNDRESS COMMERCIAL,34587745,"34,845.00"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,AUC Additions,Balance Sheet,"LTD
BAXTER HEALTHCARE LTD",34732039,"33,750.00"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,AUC Additions,Balance Sheet,H&C CONTRACTS LTD,34732614,"32,665.85"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Postage & Carriage,Post Homerton,XEROX (UK) LTD,33603933,"32,475.03"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Services Received - NHSTs,Employee Health,OHWORKS LTD,34675884,"32,071.11"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Postage & Carriage,"Management Service
Post Homerton",XEROX (UK) LTD,32979634,"31,868.70"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Contr Premises Security,Domestic Contract,ISS MEDICLEAN LTD,34592657,"30,895.01"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Contr Premises Security,Domestic Contract,ISS MEDICLEAN LTD,34592661,"30,895.01"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,"Books, Journals & Subscr",Trust Board,SALFORD ROYAL HOSPITALS NHS,34764187,"30,000.00"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Computer Software/License,Clinical Information Systems,"FOUNDATION TRUST
CERNER LTD",34760625,"29,879.91"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Computer Software/License,Clinical Information Systems,CERNER LTD,34760631,"29,879.91"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Vaccines,COVID-19,MY LAUNDRESS COMMERCIAL,34570061,"29,785.00"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Lease Rents,Sexual Health Estates,"LTD
CUMBRAE PROPERTIES (1963) LTD",34555821,"28,598.25"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Postage & Carriage,Post Homerton,XEROX (UK) LTD,33913402,"28,562.05"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Services Received - NHSTs,Cardiac Dept,BARTS HEALTH NHS TRUST,34656193,"28,206.82"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Consultant,Opthalmology,MOORFIELDS EYE HOSPITAL NHS,34642327,"27,112.00"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Stocks Raw Materials,Balance Sheet,"FOUNDATION TRUST
ALLIANCE HEALTHCARE",34518096,"26,946.00"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Vaccines,COVID-19,"DISTRIBUTION LTD
MY LAUNDRESS COMMERCIAL",34570079,"26,565.00"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Contr Estate Management,Domestic Contract,"LTD
ISS MEDICLEAN LTD",34592658,"26,325.76"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Contr Estate Management,Domestic Contract,ISS MEDICLEAN LTD,34592660,"26,325.76"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,Contr Estate Management,Domestic Contract,ISS MEDICLEAN LTD,34760645,"26,325.76"
Department of Health,"FT
Homerton University Hospital NHS",6/30/2020,OthrIntngAst Additions,Balance Sheet,COMPUTACENTER (UK) LTD,34659254,"25,462.00"
