Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,amount
Department of Health,Homerton University Hospital NHS FT,7/31/2020,AUC Additions,Balance Sheet,BELMONT MEDICAL TECHNOLOGIES,34818284,"39,038.00"
Department of Health,Homerton University Hospital NHS FT,7/31/2020,Hospital Car Services,New Transport,ERS TRANSITION LTD,34818297,"134,757.57"
Department of Health,Homerton University Hospital NHS FT,7/31/2020,Contr Other External,School Nursing,THOMSON SCREENING SOLUTIONS LTD,34830470,"28,588.80"
Department of Health,Homerton University Hospital NHS FT,7/31/2020,Lease Rents,St. Leonards - Estates,NHS PROPERTY SERVICES LTD,34844265,"138,869.78"
Department of Health,Homerton University Hospital NHS FT,7/31/2020,FP10S,Outpatients,NHS BUSINESS SERVICES AUTHORITY,34844287,"43,486.17"
Department of Health,Homerton University Hospital NHS FT,7/31/2020,Services Received -,Histopathology,BARTS HEALTH NHS TRUST,34854511,"50,436.55"
Department of Health,Homerton University Hospital NHS FT,7/31/2020,"NHSTs
Computer",Clinical Information,CERNER LTD,34855515,"111,617.91"
Department of Health,Homerton University Hospital NHS FT,7/31/2020,"Software/License
Computer","Systems
Clinical Information",CERNER LTD,34855523,"29,879.91"
Department of Health,Homerton University Hospital NHS FT,7/31/2020,"Software/License
Computer","Systems
Risk Management",DATIX LTD,34857438,"57,863.35"
Department of Health,Homerton University Hospital NHS FT,7/31/2020,"Software/License
Computer",Clinical Information,CERNER LTD,34873394,"186,582.93"
Department of Health,Homerton University Hospital NHS FT,7/31/2020,"Software/License
Computer","Systems
Clinical Information",CERNER LTD,34873409,"100,073.04"
Department of Health,Homerton University Hospital NHS FT,7/31/2020,"Software/License
Computer","Systems
Clinical Information",CERNER LTD,34873423,"97,518.73"
Department of Health,Homerton University Hospital NHS FT,7/31/2020,"Software/License
Contr Premises","Systems
Domestic Contract",ISS MEDICLEAN LTD,34873431,"30,895.01"
Department of Health,Homerton University Hospital NHS FT,7/31/2020,"Security
Ext Contr Domestics",Domestic Contract,ISS MEDICLEAN LTD,34873431,"51,319.77"
Department of Health,Homerton University Hospital NHS FT,7/31/2020,Electricity,Homerton Energy,EDF ENERGY CUSTOMERS PLC,34873534,"73,634.02"
Department of Health,Homerton University Hospital NHS FT,7/31/2020,Services Received -,Employee Health,OHWORKS LTD,34873744,"32,071.11"
Department of Health,Homerton University Hospital NHS FT,7/31/2020,"NHSTs
Lease Rents","Management Service
Hackney Ark - Estates",COMMUNITY HEALTH PARTNERSHIPS LTD,34873979,"82,074.26"
Department of Health,Homerton University Hospital NHS FT,7/31/2020,Lease Rents,St. Leonards - Estates,NHS PROPERTY SERVICES LTD,34886950,"32,440.13"
Department of Health,Homerton University Hospital NHS FT,7/31/2020,Lease Rents,St. Leonards - Estates,NHS PROPERTY SERVICES LTD,34886953,"49,136.75"
Department of Health,Homerton University Hospital NHS FT,7/31/2020,Lease Rents,John Scott Health,NHS PROPERTY SERVICES LTD,34903334,"28,300.01"
Department of Health,Homerton University Hospital NHS FT,7/31/2020,Lease Rents,"Centre - Estates
Louis Freedman",NHS PROPERTY SERVICES LTD,34903344,"43,676.50"
Department of Health,Homerton University Hospital NHS FT,7/31/2020,Lease Rents,"Centre - Estates
St. Leonards - Estates",NHS PROPERTY SERVICES LTD,34903351,"148,624.63"
Department of Health,Homerton University Hospital NHS FT,7/31/2020,Lease Rents,John Scott Health,NHS PROPERTY SERVICES LTD,34903372,"41,393.11"
Department of Health,Homerton University Hospital NHS FT,7/31/2020,Service Charge,"Centre - Estates
St. Leonards - Estates",NHS PROPERTY SERVICES LTD,34903385,"189,639.65"
Department of Health,Homerton University Hospital NHS FT,7/31/2020,Service Charge,Louis Freedman,NHS PROPERTY SERVICES LTD,34903391,"47,069.02"
Department of Health,Homerton University Hospital NHS FT,7/31/2020,Computer,"Centre - Estates
Procurement",GENESIS AUTOMATION UK LTD,34903419,"49,500.00"
