Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,Homerton University Hospital NHS FT,11/30/2020,AUC Additions,Balance Sheet,H&C CONTRACTS LTD,35027616,"81,877.13"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,AUC Additions,Balance Sheet,H&C CONTRACTS LTD,35027616,"16,375.43"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,AUC Additions,Balance Sheet,H&C CONTRACTS LTD,35524947,"2,621.24"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,AUC Additions,Balance Sheet,H&C CONTRACTS LTD,35524947,"59,215.77"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,AUC Additions,Balance Sheet,H&C CONTRACTS LTD,35524947,524.25
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Postage & Carriage,Post Homerton,PITNEY BOWES LTD,35773841,"26,966.62"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,AUC Additions,Balance Sheet,OBEN PROPERTY SERVICES LTD,36069073,"35,087.20"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION,36087961,"68,471.58"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,NonNHS Trade Pybls Curr,Balance Sheet,"LIMITED
SUPPLY CHAIN COORDINATION",36088196,"75,777.30"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Computer Maintenance,It Client Support,"LIMITED
APOGEE CORPORATION LTD",36088285,"78,582.19"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Postage & Carriage,Post Homerton,XEROX (UK) LTD,36096844,"32,607.43"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,AUC Additions,Balance Sheet,DELL CORPORATION LTD,36118584,"36,250.00"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,AUC Additions,Balance Sheet,DELL CORPORATION LTD,36118584,"6,906.70"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION,36120335,"95,826.85"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Course Fees,Education and,"LIMITED
DELL CORPORATION LTD",36121218,"22,185.00"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Electricity,"Development
Homerton Energy",EDF ENERGY CUSTOMERS PLC,36133257,"-10,124.58"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Electricity,Homerton Energy,EDF ENERGY CUSTOMERS PLC,36133257,"-60,592.11"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Laboratory Chemicals,Chemical Pathology,ABBOTT LABORATORIES LTD,36133449,"121,729.38"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Laboratory Chemicals,Chemical Pathology,ABBOTT LABORATORIES LTD,36133449,"24,847.78"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,AUC Additions,Balance Sheet,LOGAN CONSTRUCTION (SE) LTD,36133515,"134,900.00"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Other Transport Costs,Pathology,CITYSPRINT (UK) LTD,36133522,"21,720.69"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Ext Contr Domestics,Domestic Contract,ISS MEDICLEAN LTD,36143139,"594,277.70"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Ext Contr Domestics,Domestic Contract,ISS MEDICLEAN LTD,36143144,"594,277.70"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Ext Contr Domestics,Domestic Contract,ISS MEDICLEAN LTD,36143149,"111,043.81"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Ext Contr Domestics,Domestic Contract,ISS MEDICLEAN LTD,36143155,"105,175.14"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Specialist Registrar,Reserves,ROYAL FREE LONDON NHS,36147432,"-94,235.56"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Electricity,Homerton Energy,"FOUNDATION TRUST
EDF ENERGY CUSTOMERS PLC",36147828,"9,822.34"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Electricity,Homerton Energy,EDF ENERGY CUSTOMERS PLC,36147828,"58,787.13"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Lease Rents,Kenworthy Road - Estates,COMMUNITY HEALTH,36153720,"21,857.94"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Lease Rents,Kenworthy Road - Estates,"PARTNERSHIPS LTD
COMMUNITY HEALTH",36153720,"4,371.59"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Service Charge,Kenworthy Road - Estates,"PARTNERSHIPS LTD
COMMUNITY HEALTH",36153720,"2,586.61"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Service Charge,Kenworthy Road - Estates,"PARTNERSHIPS LTD
COMMUNITY HEALTH",36153720,517.32
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Lease Rents,Hackney Ark - Estates,"PARTNERSHIPS LTD
COMMUNITY HEALTH",36153721,"82,074.26"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Lease Rents,Hackney Ark - Estates,"PARTNERSHIPS LTD
COMMUNITY HEALTH",36153721,"16,414.85"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Service Charge,Hackney Ark - Estates,"PARTNERSHIPS LTD
COMMUNITY HEALTH",36153721,"9,348.85"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Service Charge,Hackney Ark - Estates,"PARTNERSHIPS LTD
COMMUNITY HEALTH",36153721,"1,869.77"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Postage & Carriage,Post Homerton,"PARTNERSHIPS LTD
PITNEY BOWES LTD",36155590,"27,212.99"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,AUC Additions,Balance Sheet,BECTON DICKINSON UK LTD,36158288,"32,205.00"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,AUC Additions,Balance Sheet,BECTON DICKINSON UK LTD,36158288,"6,441.00"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,FP10S,Outpatients,NHS BUSINESS SERVICES,36172666,"25,625.97"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Services Received - NHSTs,Immunology,"AUTHORITY
DOCTORS LABORATORY LTD",36173124,"36,755.66"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,CCG Income Other,Healthcare Income,"(THE)
NHS MID ESSEX CCG",36192531,"36,300.00"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,CCG Income Other,Healthcare Income,NHS SOUTHEND CCG,36192539,"30,498.22"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Other Gen Supplies & Srv,Health and Safety,SYNERGY HEALTH (UK) LTD,36192716,"45,444.89"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Income tax - Current,Balance Sheet,INLAND REVENUE CIS,36194967,"2,351,938.13"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,National Insurance - Curr,Balance Sheet,INLAND REVENUE CIS,36194967,"2,813,367.57"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Shared Parental Leave,Balance Sheet,INLAND REVENUE CIS,36194967,"-1,808.30"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Statutory Mat Pay - Curr,Balance Sheet,INLAND REVENUE CIS,36194967,"-77,479.33"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Med & Surg Equip General,Main Theatres Scrub,STRYKER UK LTD,36204689,"36,000.00"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Med & Surg Equip General,Main Theatres Scrub,STRYKER UK LTD,36204689,"7,200.00"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Vaccines,COVID-19,MY LAUNDRESS LINEN & WORK,36221978,
Department of Health,Homerton University Hospital NHS FT,11/30/2020,NonNHS Trade Pybls Curr,Balance Sheet,"WEAR LTD
SUPPLY CHAIN COORDINATION",36226960,"85,527.95"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Computer Software/License,People Analytics and,"LIMITED
SOFTCAT PLC",36271301,"242,807.16"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Computer Software/License,"Systems
People Analytics and",SOFTCAT PLC,36271301,"48,561.43"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Director,"Systems
Trust Board",NORTH MIDDLESEX UNIVERSITY,36282788,"25,498.44"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Equip Maint Contracts,Radiology,"HOSPITAL NHS TRUST
PHILIPS ELECTRONICS UK LTD",36293928,"38,784.90"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Med & Surg Equip Hire,Integrated Comm Equip,LONDON BOROUGH OF HACKNEY,36293934,"354,445.41"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Other Gen Supplies & Srv,Health and Safety,SYNERGY HEALTH (UK) LTD,36293942,"73,199.67"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Electricity,Homerton Energy,EDF ENERGY CUSTOMERS PLC,36293958,"9,711.78"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Electricity,Homerton Energy,EDF ENERGY CUSTOMERS PLC,36293958,"58,116.33"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Stocks Raw Materials,Balance Sheet,ABBVIE LTD,36297363,"20,291.04"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Stocks Raw Materials,Balance Sheet,ABBVIE LTD,36297363,"7,352.16"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,AUC Additions,Balance Sheet,CANON MEDICAL SYSTEMS LTD,36315163,"83,190.49"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,AUC Additions,Balance Sheet,CANON MEDICAL SYSTEMS LTD,36315163,"16,638.10"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Payroll Ded'ns N/S Curr,Balance Sheet,TUSKERDIRECT LTD,36338522,"28,276.41"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Gas,Homerton Energy,CORONA ENERGY RETAIL 4 LTD,36338569,"5,552.03"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Gas,Homerton Energy,CORONA ENERGY RETAIL 4 LTD,36338569,"33,224.77"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Postage & Carriage,Post Homerton,PITNEY BOWES LTD,36351932,"27,359.12"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Hospital Car Services,New Transport,ERS TRANSITION LTD,36374964,"134,757.57"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Services Received - NHSTs,People Analytics and,BARTS HEALTH NHS TRUST,36386018,"69,360.00"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Services Received - NHSTs,"Systems
People Analytics and",BARTS HEALTH NHS TRUST,36386025,"69,360.00"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Services Received - NHSTs,"Systems
People Analytics and",BARTS HEALTH NHS TRUST,36386028,"69,360.00"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Services Received - NHSTs,"Systems
Virology",BARTS HEALTH NHS TRUST,36386973,"27,931.90"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Hospital Car Services,New Transport,ERS TRANSITION LTD,36387316,"134,757.57"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Electricity,Homerton Energy,EDF ENERGY CUSTOMERS PLC,36392721,"6,614.33"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Electricity,Homerton Energy,EDF ENERGY CUSTOMERS PLC,36392721,"39,631.44"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,AUC Additions,Balance Sheet,LOGAN CONSTRUCTION (SE) LTD,36416953,"215,783.00"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Stocks Raw Materials,Balance Sheet,ALLIANCE HEALTHCARE,36419253,35.9
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Stocks Raw Materials,Balance Sheet,"DISTRIBUTION LTD
ALLIANCE HEALTHCARE",36419253,191.02
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Stocks Raw Materials,Balance Sheet,"DISTRIBUTION LTD
ALLIANCE HEALTHCARE",36419253,63.67
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Stocks Raw Materials,Balance Sheet,"DISTRIBUTION LTD
ALLIANCE HEALTHCARE",36419253,6.4
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Stocks Raw Materials,Balance Sheet,"DISTRIBUTION LTD
ALLIANCE HEALTHCARE",36419253,82.32
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Stocks Raw Materials,Balance Sheet,"DISTRIBUTION LTD
ALLIANCE HEALTHCARE",36419253,"16,167.60"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Stocks Raw Materials,Balance Sheet,"DISTRIBUTION LTD
ALLIANCE HEALTHCARE",36419253,"30,000.00"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Stocks Raw Materials,Balance Sheet,"DISTRIBUTION LTD
ALLIANCE HEALTHCARE",36419253,"3,312.00"
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Stocks Raw Materials,Balance Sheet,"DISTRIBUTION LTD
ALLIANCE HEALTHCARE",36419253,21.82
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Stocks Raw Materials,Balance Sheet,"DISTRIBUTION LTD
ALLIANCE HEALTHCARE",36419253,191.14
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Stocks Raw Materials,Balance Sheet,"DISTRIBUTION LTD
ALLIANCE HEALTHCARE",36419253,36.72
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Stocks Raw Materials,Balance Sheet,"DISTRIBUTION LTD
ALLIANCE HEALTHCARE",36419253,35.87
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Stocks Raw Materials,Balance Sheet,"DISTRIBUTION LTD
ALLIANCE HEALTHCARE",36419253,48.96
Department of Health,Homerton University Hospital NHS FT,11/30/2020,Stocks Raw Materials,Balance Sheet,"DISTRIBUTION LTD
ALLIANCE HEALTHCARE",36419253,4.39
