Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount
Department of Health,Homerton University Hospital NHS,12/31/2020,Stocks Raw Materials,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,36481459,"1,620.00"
Department of Health,"FT
Homerton University Hospital NHS",12/31/2020,Stocks Raw Materials,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,36481459,18.05
Department of Health,"FT
Homerton University Hospital NHS",12/31/2020,Stocks Raw Materials,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,36481459,20.16
Department of Health,"FT
Homerton University Hospital NHS",12/31/2020,Stocks Raw Materials,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,36481459,3.72
Department of Health,"FT
Homerton University Hospital NHS",12/31/2020,Stocks Raw Materials,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,36481459,36.26
Department of Health,"FT
Homerton University Hospital NHS",12/31/2020,Stocks Raw Materials,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,36481459,35.4
Department of Health,"FT
Homerton University Hospital NHS",12/31/2020,Stocks Raw Materials,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,36481459,19.5
Department of Health,"FT
Homerton University Hospital NHS",12/31/2020,Stocks Raw Materials,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,36481459,"11,317.32"
Department of Health,"FT
Homerton University Hospital NHS",12/31/2020,Stocks Raw Materials,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,36481459,"18,000.00"
Department of Health,"FT
Homerton University Hospital NHS",12/31/2020,Stocks Raw Materials,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,36481459,"4,968.00"
Department of Health,"FT
Homerton University Hospital NHS",12/31/2020,Stocks Raw Materials,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,36481459,40.72
Department of Health,"FT
Homerton University Hospital NHS",12/31/2020,Stocks Raw Materials,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,36481459,4.32
Department of Health,"FT
Homerton University Hospital NHS",12/31/2020,Stocks Raw Materials,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,36481459,8.71
Department of Health,"FT
Homerton University Hospital NHS",12/31/2020,NonNHS Trade Pybls Curr,Balance Sheet,"HOSPITALS NHS TRUST
SUPPLY CHAIN COORDINATION LIMITED",36487372,"68,593.95"
