Department Family,Date,Expense Type,Expense Area,Supplier,Transaction number,Amount
Department of Health,2/28/2021,AUC Additions,Balance Sheet,HUNTER & PARTNERS LTD,36386999,"3,470.00"
Department of Health,2/28/2021,AUC Additions,Balance Sheet,HUNTER & PARTNERS LTD,36386999,"23,623.88"
Department of Health,2/28/2021,AUC Additions,Balance Sheet,HUNTER & PARTNERS LTD,36386999,"7,105.54"
Department of Health,2/28/2021,AUC Additions,Balance Sheet,HUNTER & PARTNERS LTD,36386999,"22,533.96"
Department of Health,2/28/2021,Bldg/Eng Equip Maint Cont,St. Leonards - Estates,NHS PROPERTY SERVICES LTD,36881978,"19,423.47"
Department of Health,2/28/2021,Lease Rents,St. Leonards - Estates,NHS PROPERTY SERVICES LTD,36881978,"170,216.18"
Department of Health,2/28/2021,Lease Rents,St. Leonards - Estates,NHS PROPERTY SERVICES LTD,36881998,"-58,690.92"
Department of Health,2/28/2021,Lease Rents,Hackney Ark - Estates,COMMUNITY HEALTH PARTNERSHIPS LTD,36882020,"82,074.26"
Department of Health,2/28/2021,Lease Rents,Hackney Ark - Estates,COMMUNITY HEALTH PARTNERSHIPS LTD,36882020,"-1,869.77"
Department of Health,2/28/2021,Service Charge,Hackney Ark - Estates,COMMUNITY HEALTH PARTNERSHIPS LTD,36882020,"9,348.85"
Department of Health,2/28/2021,Service Charge,Hackney Ark - Estates,COMMUNITY HEALTH PARTNERSHIPS LTD,36882020,"1,869.77"
Department of Health,2/28/2021,Computer Maintenance,It Client Support,APOGEE CORPORATION LTD,37093863,"78,582.19"
Department of Health,2/28/2021,Hospital Car Services,New Transport,ERS TRANSITION LTD,37094102,"134,757.57"
Department of Health,2/28/2021,Ext Contr Domestics,Domestic Contract,ISS MEDICLEAN LTD,37102901,"96,633.80"
Department of Health,2/28/2021,Ext Contr Domestics,Domestic Contract,ISS MEDICLEAN LTD,37102902,"106,971.35"
Department of Health,2/28/2021,Lease Rents,St. Leonards - Estates,NHS PROPERTY SERVICES LTD,37104177,"-117,951.86"
Department of Health,2/28/2021,Lease Rents,Kenworthy Road - Estates,COMMUNITY HEALTH PARTNERSHIPS LTD,37104184,"21,857.94"
Department of Health,2/28/2021,Lease Rents,Kenworthy Road - Estates,COMMUNITY HEALTH PARTNERSHIPS LTD,37104184,"4,371.59"
Department of Health,2/28/2021,Service Charge,Kenworthy Road - Estates,COMMUNITY HEALTH PARTNERSHIPS LTD,37104184,"2,586.61"
Department of Health,2/28/2021,Service Charge,Kenworthy Road - Estates,COMMUNITY HEALTH PARTNERSHIPS LTD,37104184,517.32
Department of Health,2/28/2021,Lease Rents,Hackney Ark - Estates,COMMUNITY HEALTH PARTNERSHIPS LTD,37104187,"82,074.26"
Department of Health,2/28/2021,Lease Rents,Hackney Ark - Estates,COMMUNITY HEALTH PARTNERSHIPS LTD,37104187,"16,414.85"
Department of Health,2/28/2021,Service Charge,Hackney Ark - Estates,COMMUNITY HEALTH PARTNERSHIPS LTD,37104187,"9,348.85"
Department of Health,2/28/2021,Service Charge,Hackney Ark - Estates,COMMUNITY HEALTH PARTNERSHIPS LTD,37104187,"1,869.77"
Department of Health,2/28/2021,AUC Additions,Balance Sheet,DELL CORPORATION LTD,37113680,"22,950.00"
Department of Health,2/28/2021,AUC Additions,Balance Sheet,DELL CORPORATION LTD,37113680,"4,368.90"
Department of Health,2/28/2021,Computer Maintenance,It Client Support,MITRATECH UK LTD,37121254,"36,778.34"
Department of Health,2/28/2021,Computer Maintenance,It Client Support,MITRATECH UK LTD,37121254,"3,621.25"
