Department Family,Entity,Date Paid,Expense Type,Expenses Area,Supplier Name,Transaction Reference,amount
Department of Health,Imperial College Healthcare NHS Trust,01/07/2020,Protective Clothing,Pandemic Planning,Stream Republic Ltd,4213806,226320
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Acton Housing Association,Ichnt Balance Sheet,A2dominion Housing Group Ltd,4215954,202827.67
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Books  Journals & Subscr,Div Of Med & Integrated Care,The Renal Association (Legal Entity) T/A,4175628,114588.18
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Cleaning Materials,Estates Directorate,Synergy Health Managed Services Ltd,4214319,48861.02
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Computer Maintenance,Pathology,Csc Computer Sciences Limited,30368,105889.4
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Contr Other External,Estates Directorate,Cbre Managed Services Ltd,4214222,752926.2
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Cx-Hh Consultant Load,Ichnt Balance Sheet,Dr Andrew Wright,4215956,27588.48
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Cy Auc -Addns-Bd Purchased,Capital Summary,Cuffe  Plc,4213360,203117.09
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Cy Auc -Addns-Bd Purchased,Capital Summary,Cuffe  Plc,4213363,43483.66
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Cy Auc -Addns-Bd Purchased,Capital Summary,Forest Gate Construction Ltd,4214224,208397.33
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Cy Auc -Addns-Bd Purchased,Capital Summary,Nutwell Logistics Ltd,4209105,40124.4
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Cy Auc -Addns- P & M-Purchased,Capital Summary,Dp Medical Systems Ltd,4213902,44482.28
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Drugs Nhs,Div Of Women & Clin Support,Nhs Business Services Authority,4208998,66712.91
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Ext Contract - Patient Travel,Estates Directorate,Dhl Supply Chain  (Former Excel),4192440,95487.05
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Ext Contract - Patient Travel,Estates Directorate,Dhl Supply Chain  (Former Excel),4192442,109513.61
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Ext Contr Laundry,Estates Directorate,Synergy Health Managed Services Ltd,4214318,36235.18
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Ext Contr Logistics,Finance Directorate,Eleanor Hospital Logistics Ltd,4212149,32936.4
