Department Family,Entity,Date Paid,Expense Type,Expenses Area,Supplier Name,Transaction Reference,Amount
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Agency Nursing: Qualified,Div Of Med & Integrated Care,Reed,4230166,38877.49
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Agency Nursing: Qualified,"Div Of Surg, Cardiov & Cancer",Reed,4230166,40532.14
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Cleaning Materials,Estates Directorate,Synergy Health Managed Services Ltd,4230592,48861.02
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Clinical Managed Service Contr,Pathology,Abbott Laboratories Ltd,4230156,94673.63
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Clinical Managed Service Contr,Pathology,Abbott Laboratories Ltd,4230571,63699.29
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Clinical Managed Service Contr,Pathology,Abbott Laboratories Ltd,4230579,73264.33
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Conferences And Seminars,Human Resources,Capita Travel And Events Ltd,4230863,33859.8
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Consultancy Fees,Information & Comms Technology,6 Point 6 Ltd,4228664,34440
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Contr Other External,Estates Directorate,Cbre Managed Services Ltd,4227687,752926.2
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Cy Auc -Addns-Bd Purchased,Capital Summary,Cbre Managed Services Ltd,4230154,1620919
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Cy Auc -Addns-Bd Purchased,Capital Summary,Cuffe  Plc,4229684,290856.78
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Cy Auc -Addns- P & M-Purchased,Capital Summary,Supply Chain Coordination Ltd (Sccl) ( 905),4230789,37595.6
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Dist Award - Local Cea,Div Of Med & Integrated Care,Imperial College London,4229459,33745.07
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Dist Award - Nat Cea,Div Of Med & Integrated Care,Imperial College London,4229459,95373.43
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Dist Award - Nat Cea,"Div Of Surg, Cardiov & Cancer",Imperial College London,4229459,74149.81
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Dist Award - Nat Cea,Div Of Women & Clin Support,Imperial College London,4229459,36764.09
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Drugs Nhs,Div Of Women & Clin Support,Nhs Business Services Authority,4222419,57304.53
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Drugs Pbr Excluded,"Div Of Surg, Cardiov & Cancer",Healthcare At Home Ltd,4226371,26377
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Drugs Pbr Excluded,"Div Of Surg, Cardiov & Cancer",Healthcare At Home Ltd,4226378,30127
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Ext Contr Laundry,Estates Directorate,Synergy Health Managed Services Ltd,4230594,32768.8
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Ext Contr Laundry,Estates Directorate,Synergy Health Managed Services Ltd,4230595,38720.15
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Ext Contr Laundry,Estates Directorate,Synergy Health Managed Services Ltd,4230596,52544.03
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Ic Pay Recharge In: Med,Div Of Med & Integrated Care,Imperial College London,4229459,156837.39
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Ic Pay Recharge In: Med,"Div Of Surg, Cardiov & Cancer",Imperial College London,4039632,97083.81
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Ic Pay Recharge In: Med,"Div Of Surg, Cardiov & Cancer",Imperial College London,4077159,82211.28
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Ic Pay Recharge In: Med,"Div Of Surg, Cardiov & Cancer",Imperial College London,4077163,96894.24
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Ic Pay Recharge In: Med,"Div Of Surg, Cardiov & Cancer",Imperial College London,4175452,64441.74
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Ic Pay Recharge In: Med,"Div Of Surg, Cardiov & Cancer",Imperial College London,4229459,376572.34
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Ic Pay Recharge In: Med,"Div Of Surg, Cardiov & Cancer",Imperial College London,4229460,30900.5
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Ic Pay Recharge In: Med,Div Of Women & Clin Support,Imperial College London,4229459,78484.4
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Ic Pay Recharge In: Med,Pathology,Imperial College London,30719,30732.05
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Isotopes,Div Of Women & Clin Support,Curium Pharma Uk Ltd,4214133,30618
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Jac - Stock,Balance Sheet St Marys,Aah Pharmaceuticals Limited,4229650,32349.12
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Jac - Stock,Balance Sheet St Marys,Alexion Pharma Uk Ltd,4231323,30240
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Jac - Stock,Balance Sheet St Marys,Alexion Pharma Uk Ltd,4231324,30240
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Jac - Stock,Balance Sheet St Marys,Bayer Plc,4231383,68890.43
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Jac - Stock,Balance Sheet St Marys,Janssen-Cilag Ltd,4230259,56400
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Jac - Stock,Balance Sheet St Marys,Roche Products Ltd,4230398,292178.09
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Med & Surg Equip General,Pandemic Planning,Imperial College London,4222156,37621.48
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Med & Surg Equip General,Pandemic Planning,Medline Industries Limited,4229083,58144
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Nhs Pay Recharge In: Med,"Div Of Surg, Cardiov & Cancer",University College London Hospitals Nhs Ft,4209482,67890
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Other Gen Supplies & Srv,Pandemic Planning,Gbuk Ltd,4214387,161820
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Other Gen Supplies & Srv,Pandemic Planning,Gbuk Ltd,4217649,27900
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Other Gen Supplies & Srv,Pandemic Planning,Gbuk Ltd,4218250,223200
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Other Gen Supplies & Srv,Pandemic Planning,Gbuk Ltd,4220149,33480
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Other Research Exp - Pay,Rd Surgery & Cancer Division,Imperial College London,4138645,86982.31
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Other Research Exp - Pay,Rdwomen And Children Division,Imperial College London,4218262,65502.06
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Other Transport Costs,Pathology,Dhl Supply Chain  (Former Excel),30993,70303.82
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Purch Hcare Independent Sector,Div Of Med & Integrated Care,London Central & West Unscheduled Care Collab,4230157,452524.25
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Rent,Estates Directorate,Metropolitan Thames Valley,4230146,47211.66
Department of Health,Imperial College Healthcare NHS Trust,04/08/2020,Services Received - Nhsts,"Div Of Surg, Cardiov & Cancer",Buckinghamshire Healthcare Nhs Trust,4070656,28931.66
Department of Health,Imperial College Healthcare NHS Trust,06/08/2020,Clinical Managed Service Contr,Pathology,Genmed.Me Ltd,31082,43104.31
Department of Health,Imperial College Healthcare NHS Trust,06/08/2020,Clinical Managed Service Contr,Pathology,Genmed.Me Ltd,31086,72615.36
Department of Health,Imperial College Healthcare NHS Trust,06/08/2020,Computer Software/License,Information & Comms Technology,Qlickit  Ltd,4227634,119607.79
Department of Health,Imperial College Healthcare NHS Trust,06/08/2020,Ext Contr Logistics,Finance Directorate,Eleanor Hospital Logistics Ltd,4231969,154313.76
Department of Health,Imperial College Healthcare NHS Trust,06/08/2020,Ic Pay Rechge In: Admin & Mgmt,Medical Director Summary,Imperial College London,4142805,33008.8
Department of Health,Imperial College Healthcare NHS Trust,06/08/2020,Postage & Carriage,Div Of Women & Clin Support,Xerox (Uk) Ltd,4231847,38046.9
Department of Health,Imperial College Healthcare NHS Trust,11/08/2020,Acton Housing Association,Ichnt Balance Sheet,A2dominion Housing Group Ltd,4235404,208735.2
Department of Health,Imperial College Healthcare NHS Trust,11/08/2020,Agency Nursing: Qualified,Div Of Med & Integrated Care,Reed,4234347,30312.91
Department of Health,Imperial College Healthcare NHS Trust,11/08/2020,Building Contracts,Pathology,Amber Group Limited,30907,52655.37
Department of Health,Imperial College Healthcare NHS Trust,11/08/2020,Car Salary Sacrifice,Ichnt Balance Sheet,Tuskerdirect Ltd,4202292,59854.32
Department of Health,Imperial College Healthcare NHS Trust,11/08/2020,Childcare Voucher (Kids Unltd),Ichnt Balance Sheet,Sodexo Motivation Solutions Uk Ltd,4229045,33845
Department of Health,Imperial College Healthcare NHS Trust,11/08/2020,Cleaning Materials,Estates Directorate,Synergy Health Managed Services Ltd,4235396,48861.02
