Department Family,Entity,Date Paid,Expense Type,Expenses Area,Supplier Name,Transaction Reference,Amount
Department of Health,Imperial College Healthcare NHS Trust,01/09/2020,Computer Hardware Purch,Information & Comms Technology,Optimus It Infra Ltd,4209156,"64,604.54"
Department of Health,Imperial College Healthcare NHS Trust,01/09/2020,Computer Hardware Purch,Information & Comms Technology,Optimus It Infra Ltd,4222117,"42,774.30"
Department of Health,Imperial College Healthcare NHS Trust,01/09/2020,Computer Hardware Purch,Information & Comms Technology,Optimus It Infra Ltd,4224637,"87,681.90"
Department of Health,Imperial College Healthcare NHS Trust,01/09/2020,Computer Software/License,Information & Comms Technology,Isosec Limited,4222589,"31,299.84"
Department of Health,Imperial College Healthcare NHS Trust,01/09/2020,Consultancy Fees,Finance Directorate,Salford Royal Nhs Foundation Trust,4223301,"31,147.00"
Department of Health,Imperial College Healthcare NHS Trust,01/09/2020,Contr Other External,Div Of Women & Clin Support,Alliance Medical Radiopharmacy Limited,4241533,"62,400.00"
Department of Health,Imperial College Healthcare NHS Trust,01/09/2020,Cy Auc -Addns-Bd Purchased,Capital Summary,Forest Gate Construction Ltd,4244213,"375,018.73"
Department of Health,Imperial College Healthcare NHS Trust,01/09/2020,Drugs Nhs,Div Of Women & Clin Support,Lloyds Retail Chemists Ltd,4233072,"2,993,141.10"
Department of Health,Imperial College Healthcare NHS Trust,01/09/2020,Drugs Nhs,Div Of Women & Clin Support,Nhs Business Services Authority,4242399,"44,194.79"
Department of Health,Imperial College Healthcare NHS Trust,01/09/2020,Items Pending Investigation,Ichnt Balance Sheet,Royal Free London Nhs Foundation Trust,4116299,"40,608.72"
Department of Health,Imperial College Healthcare NHS Trust,01/09/2020,Items Pending Investigation,Ichnt Balance Sheet,Royal Free London Nhs Foundation Trust,4168214,"136,897.91"
Department of Health,Imperial College Healthcare NHS Trust,01/09/2020,Jac - Stock,Balance Sheet St Marys,Barts And The London Nhs Trust,4244035,"54,240.00"
Department of Health,Imperial College Healthcare NHS Trust,01/09/2020,Jac - Stock,Balance Sheet St Marys,Mawdsleys-Brooks & Co Ltd,4244846,"85,521.42"
Department of Health,Imperial College Healthcare NHS Trust,01/09/2020,Jac - Stock,Balance Sheet St Marys,Polar Speed Distribution Ltd,4243743,"53,298.00"
Department of Health,Imperial College Healthcare NHS Trust,01/09/2020,Jac - Stock,Balance Sheet St Marys,Polar Speed Distribution Ltd,4244494,"53,298.00"
Department of Health,Imperial College Healthcare NHS Trust,01/09/2020,Jac - Stock,Balance Sheet St Marys,Qualasept Ltd,4242962,"57,442.80"
Department of Health,Imperial College Healthcare NHS Trust,01/09/2020,Jac - Stock,Balance Sheet St Marys,Qualasept Ltd,4242963,"42,410.40"
Department of Health,Imperial College Healthcare NHS Trust,01/09/2020,Jac - Stock,Balance Sheet St Marys,Qualasept Ltd,4244677,"35,456.40"
Department of Health,Imperial College Healthcare NHS Trust,01/09/2020,Jac - Stock,Balance Sheet St Marys,Qualasept Ltd,4245133,"62,831.33"
Department of Health,Imperial College Healthcare NHS Trust,01/09/2020,Jac - Stock,Balance Sheet St Marys,Roche Products Ltd,4245234,"318,565.15"
Department of Health,Imperial College Healthcare NHS Trust,01/09/2020,Lease Charges,Information & Comms Technology,Xerox (Uk) Ltd,4217288,"30,767.88"
Department of Health,Imperial College Healthcare NHS Trust,01/09/2020,Lease Charges,Information & Comms Technology,Xerox (Uk) Ltd,4217289,"35,230.40"
Department of Health,Imperial College Healthcare NHS Trust,01/09/2020,Miscellaneous Expenditure,Finance Directorate,Royal Free London Nhs Foundation Trust,4167433,"136,897.91"
