Department Family,Entity,Date Paid,Expense Type,Expenses Area,Supplier Name,Transaction Reference,Amount
Department of Health,Imperial College Healthcare NHS Trust,01/10/2020,Bldg/Eng Equip Maint/Rep,Estates Directorate,Cbre Managed Services Ltd,4262205,"138,524.60"
Department of Health,Imperial College Healthcare NHS Trust,01/10/2020,Computer Maintenance,Pathology,Sunquest Information Systems (Europe) Ltd,30394,"369,377.10"
Department of Health,Imperial College Healthcare NHS Trust,01/10/2020,Computer Software/License,Div Of Women & Clin Support,Wellsky International Ltd,4260645,"64,320.00"
Department of Health,Imperial College Healthcare NHS Trust,01/10/2020,Consultancy Fees,"Div Of Surg, Cardiov & Cancer",2020 Delivery Ltd,4249694,"30,660.00"
Department of Health,Imperial College Healthcare NHS Trust,01/10/2020,Contr Other External,Div Of Women & Clin Support,Alliance Medical Radiopharmacy Limited,4256207,"31,200.00"
Department of Health,Imperial College Healthcare NHS Trust,01/10/2020,Contr Other External,Estates Directorate,Cbre Managed Services Ltd,4258658,"752,926.20"
Department of Health,Imperial College Healthcare NHS Trust,01/10/2020,Cy Auc -Addns-Bd Purchased,Capital Summary,Cbre Managed Services Ltd,4262147,"648,335.85"
Department of Health,Imperial College Healthcare NHS Trust,01/10/2020,Cy Auc -Addns-Bd Purchased,Capital Summary,Cbre Managed Services Ltd,4262205,"326,872.00"
Department of Health,Imperial College Healthcare NHS Trust,01/10/2020,Cy Auc -Addns-Bd Purchased,Capital Summary,M&J Group (Construction & Roofin) Ltd [Cs],4248158,"166,480.70"
Department of Health,Imperial College Healthcare NHS Trust,01/10/2020,Cy Auc -Addns-Bd Purchased,Capital Summary,M&J Group (Construction & Roofin) Ltd [Cs],4257837,"41,123.83"
Department of Health,Imperial College Healthcare NHS Trust,01/10/2020,Cy Auc -Addns- It Eqpt-Addns,Capital Summary,Cdw Ltd,4261717,"506,203.80"
Department of Health,Imperial College Healthcare NHS Trust,01/10/2020,Cy Auc -Addns- It Eqpt-Addns,Capital Summary,Cdw Ltd,4261719,"76,595.75"
Department of Health,Imperial College Healthcare NHS Trust,01/10/2020,Decontamination Services,Estates Directorate,Ihss Limited,4259645,"365,016.66"
Department of Health,Imperial College Healthcare NHS Trust,01/10/2020,Dialysers,Div Of Med & Integrated Care,Baxter Healthcare Ltd,4230925,"162,679.60"
