Department Family,Entity,Date Paid,Expense Type,Expenses Area,Supplier Name,Transaction Reference,Amount
Department of Health,Imperial College Healthcare NHS Trust,01/11/2020,Legal Fees,Estates Directorate,Capsticks Solicitors Llp,4278393,"152,286.35"
Department of Health,Imperial College Healthcare NHS Trust,01/11/2020,Legal Fees,Estates Directorate,Capsticks Solicitors Llp,4278394,"124,830.24"
Department of Health,Imperial College Healthcare NHS Trust,03/11/2020,Agency Nursing: Qualified,Div Of Med & Integrated Care,Reed,4277781,"31,290.60"
Department of Health,Imperial College Healthcare NHS Trust,03/11/2020,Cleaning Materials,Estates Directorate,Synergy Health Managed Services Ltd,4278570,"48,861.02"
Department of Health,Imperial College Healthcare NHS Trust,03/11/2020,Computer Hardware Purch,Information & Comms Technology,Optimus It Infra Ltd,4266121,"45,954.90"
Department of Health,Imperial College Healthcare NHS Trust,03/11/2020,Computer Software/License,Finance Directorate,Advanced Business Solutions,4141086,"51,408.00"
Department of Health,Imperial College Healthcare NHS Trust,03/11/2020,Computer Software/License,Finance Directorate,Advanced Business Solutions,4228504,"433,961.81"
Department of Health,Imperial College Healthcare NHS Trust,03/11/2020,Computer Software/License,Information & Comms Technology,Optimus It Infra Ltd,4266117,"45,102.00"
Department of Health,Imperial College Healthcare NHS Trust,03/11/2020,Computer Software/License,Information & Comms Technology,Optimus It Infra Ltd,4266118,"104,986.78"
Department of Health,Imperial College Healthcare NHS Trust,03/11/2020,Computer Software/License,Information & Comms Technology,Optimus It Infra Ltd,4266120,"39,000.00"
Department of Health,Imperial College Healthcare NHS Trust,03/11/2020,Computer Software/License,Information & Comms Technology,Optimus It Infra Ltd,4266122,"95,597.08"
Department of Health,Imperial College Healthcare NHS Trust,03/11/2020,Computer Software/License,Information & Comms Technology,Optimus It Infra Ltd,4266927,"34,320.00"
Department of Health,Imperial College Healthcare NHS Trust,03/11/2020,Computer Software/License,Information & Comms Technology,Optimus It Infra Ltd,4266928,"47,162.54"
Department of Health,Imperial College Healthcare NHS Trust,03/11/2020,Computer Software/License,Information & Comms Technology,Optimus It Infra Ltd,4267610,"188,289.04"
Department of Health,Imperial College Healthcare NHS Trust,03/11/2020,Computer Software/License,Information & Comms Technology,Ukcloud Ltd,4246946,"136,334.04"
Department of Health,Imperial College Healthcare NHS Trust,03/11/2020,Cy Auc -Addns-Bd Purchased,Capital Summary,Cuffe  Plc,4278150,"337,131.60"
Department of Health,Imperial College Healthcare NHS Trust,03/11/2020,Cy Auc -Addns- It Eqpt-Addns,Capital Summary,Cdw Ltd,4256983,"164,400.00"
Department of Health,Imperial College Healthcare NHS Trust,03/11/2020,Cy Auc -Addns- It Eqpt-Addns,Capital Summary,Insight Direct (Uk) Ltd,4275706,"162,000.00"
Department of Health,Imperial College Healthcare NHS Trust,03/11/2020,Cy Auc -Addns- P & M-Purchased,Capital Summary,Baxter Healthcare Ltd,4271904,"180,960.00"
Department of Health,Imperial College Healthcare NHS Trust,03/11/2020,Cy Auc -Addns- P & M-Purchased,Capital Summary,Baxter Healthcare Ltd,4271905,"45,240.00"
Department of Health,Imperial College Healthcare NHS Trust,03/11/2020,Cy Auc -Addns- P & M-Purchased,Capital Summary,Baxter Healthcare Ltd,4271907,"35,520.00"
Department of Health,Imperial College Healthcare NHS Trust,03/11/2020,Dialysers,Div Of Med & Integrated Care,Nxstage Medical Uk Ltd,4261777,"45,630.60"
Department of Health,Imperial College Healthcare NHS Trust,03/11/2020,Ext Contr Laundry,Estates Directorate,Synergy Health Managed Services Ltd,4278572,"47,215.79"
Department of Health,Imperial College Healthcare NHS Trust,03/11/2020,Ext Contr Laundry,Estates Directorate,Synergy Health Managed Services Ltd,4278573,"56,049.79"
Department of Health,Imperial College Healthcare NHS Trust,03/11/2020,Ext Contr Laundry,Estates Directorate,Synergy Health Managed Services Ltd,4278574,"51,106.85"
