Department Family,Entity,Date Paid,Expense Type,Expenses Area,Supplier Name,Transaction Reference,Amount
Department of Health,Imperial College Healthcare NHS Trust,05/01/2021,Clinical Managed Service Contr,Pathology,Abbott Laboratories Ltd,30409,35244.79
Department of Health,Imperial College Healthcare NHS Trust,05/01/2021,Computer Maintenance,Pathology,Sunquest Information Systems (Europe) Ltd,33862,33966
Department of Health,Imperial College Healthcare NHS Trust,05/01/2021,Computer Software/License,Div Of Women & Clin Support,Philips Healthcare,4313586,296012.1
Department of Health,Imperial College Healthcare NHS Trust,05/01/2021,Contr Other External,Estates Directorate,Cbre Managed Services Ltd,4309404,752926.2
Department of Health,Imperial College Healthcare NHS Trust,05/01/2021,Cy Auc -Addns-Bd Purchased,Capital Summary,Cuffe  Plc,4309355,149660.4
Department of Health,Imperial College Healthcare NHS Trust,05/01/2021,Cy Auc -Addns-Bd Purchased,Capital Summary,Sse Contracting Ltd,4308382,61476.5
Department of Health,Imperial College Healthcare NHS Trust,05/01/2021,Cy Auc -Addns- It Eqpt-Addns,Capital Summary,Cdw Ltd,4303024,43011.6
Department of Health,Imperial College Healthcare NHS Trust,05/01/2021,Cy Auc -Addns- It Eqpt-Addns,Capital Summary,Infratech Hardware Limited,4311160,70156.8
Department of Health,Imperial College Healthcare NHS Trust,05/01/2021,Cy Auc -Addns- P & M-Purchased,Capital Summary,Baxter Healthcare Ltd,4313015,227317.18
Department of Health,Imperial College Healthcare NHS Trust,05/01/2021,Cy Auc -Addns- Prof Fee)-Purch,Capital Summary,Couch Perry Wilkes Llp,4311195,44887.8
Department of Health,Imperial College Healthcare NHS Trust,05/01/2021,Dialysers,Div Of Med & Integrated Care,Baxter Healthcare Ltd,4245431,50296.49
Department of Health,Imperial College Healthcare NHS Trust,05/01/2021,Dialysers,Div Of Med & Integrated Care,Baxter Healthcare Ltd,4248119,172864.5
Department of Health,Imperial College Healthcare NHS Trust,05/01/2021,Ext Contr Hotel Srvcs - Pp,Human Resources,Hilton London Metropole,4309369,28028
Department of Health,Imperial College Healthcare NHS Trust,05/01/2021,Jac - Stock,Balance Sheet St Marys,Alloga Uk Ltd,4313957,41400
Department of Health,Imperial College Healthcare NHS Trust,05/01/2021,Jac - Stock,Balance Sheet St Marys,Bayer Plc,4311434,109494.72
Department of Health,Imperial College Healthcare NHS Trust,05/01/2021,Jac - Stock,Balance Sheet St Marys,Mawdsleys-Brooks & Co Ltd,4309616,38009.52
Department of Health,Imperial College Healthcare NHS Trust,05/01/2021,Jac - Stock,Balance Sheet St Marys,Qualasept Ltd,4312697,70912.8
Department of Health,Imperial College Healthcare NHS Trust,05/01/2021,Jac - Stock,Balance Sheet St Marys,Roche Products Ltd,4312727,479195.52
Department of Health,Imperial College Healthcare NHS Trust,05/01/2021,Laboratory Chemicals/ Reagents,Pathology,Alpha Biotech Ltd,34118,51030.85
Department of Health,Imperial College Healthcare NHS Trust,05/01/2021,Laboratory Equipment,Pathology,Mobidiag Uk Ltd,34137,54000
Department of Health,Imperial College Healthcare NHS Trust,05/01/2021,Laboratory Equipment,Pathology,Mobidiag Uk Ltd,34138,54000
Department of Health,Imperial College Healthcare NHS Trust,05/01/2021,Laboratory Test Kits,Pathology,Cepheid Uk Ltd,34377,42108
Department of Health,Imperial College Healthcare NHS Trust,05/01/2021,Med & Surg Equip General,"Div Of Surg, Cardiov & Cancer",W L Gore & Associates (Uk) Ltd,4271822,39840
Department of Health,Imperial College Healthcare NHS Trust,05/01/2021,Med & Surg Equip Leases,Estates Directorate,Arjo Uk Ltd,4310810,92868.47
Department of Health,Imperial College Healthcare NHS Trust,05/01/2021,Nhs Pay Recharge In: Med,Pathology,Imperial College Healthcare Charity,34122,40000
Department of Health,Imperial College Healthcare NHS Trust,05/01/2021,Nhs Pay Recharge In: Med,Pathology,Imperial College Healthcare Charity,34123,40000
Department of Health,Imperial College Healthcare NHS Trust,05/01/2021,Other Research Exp - Pay,Rd Surgery & Cancer Division,Imperial College London,4281845,32059.78
Department of Health,Imperial College Healthcare NHS Trust,05/01/2021,Rent,Estates Directorate,Metropolitan Thames Valley,4313857,47211.66
Department of Health,Imperial College Healthcare NHS Trust,07/01/2021,Cy Auc -Addns-Bd Purchased,Capital Summary,M&J Group (Construction & Roofin) Ltd [Cs],4299645,102330.35
Department of Health,Imperial College Healthcare NHS Trust,07/01/2021,Cy Auc -Addns-Bd Purchased,Capital Summary,M&J Group (Construction & Roofin) Ltd [Cs],4305708,194254.58
Department of Health,Imperial College Healthcare NHS Trust,07/01/2021,Cy Auc -Addns- P & M-Purchased,Capital Summary,Ge Medical Systems Limited,4307343,34368.75
Department of Health,Imperial College Healthcare NHS Trust,07/01/2021,Cy Auc -Addns- P & M-Purchased,Capital Summary,Ge Medical Systems Limited,4307345,68743.66
Department of Health,Imperial College Healthcare NHS Trust,07/01/2021,Cy Auc -Addns- P & M-Purchased,Capital Summary,Ge Medical Systems Limited,4315286,99996.02
Department of Health,Imperial College Healthcare NHS Trust,07/01/2021,Cy Auc -Addns- P & M-Purchased,Capital Summary,Hologic Uk Ltd,4314004,47354.4
Department of Health,Imperial College Healthcare NHS Trust,07/01/2021,Cy Auc -Addns- P & M-Purchased,Capital Summary,Hologic Uk Ltd,4314007,70484.4
Department of Health,Imperial College Healthcare NHS Trust,07/01/2021,Cy Auc -Addns- P & M-Purchased,Capital Summary,Philips Healthcare,4297981,161434.22
Department of Health,Imperial College Healthcare NHS Trust,07/01/2021,Cy Auc -Addns- P & M-Purchased,Capital Summary,Philips Healthcare,4302340,316883.98
Department of Health,Imperial College Healthcare NHS Trust,07/01/2021,Cy Auc -Addns- P & M-Purchased,Capital Summary,Supply Chain Coordination Ltd (Sccl) ( 905),4315139,153990.7
Department of Health,Imperial College Healthcare NHS Trust,07/01/2021,Dialysers,Div Of Med & Integrated Care,Nxstage Medical Uk Ltd,4279066,46675.28
Department of Health,Imperial College Healthcare NHS Trust,07/01/2021,Equip Maint Contracts,Estates Directorate,Cbre Managed Services Ltd,4309409,36616.07
Department of Health,Imperial College Healthcare NHS Trust,07/01/2021,Gas,Estates Directorate,Corona Energy,4315162,156284.75
Department of Health,Imperial College Healthcare NHS Trust,07/01/2021,Gas,Estates Directorate,Corona Energy,4315190,65598.2
Department of Health,Imperial College Healthcare NHS Trust,07/01/2021,Gas,Estates Directorate,Corona Energy,4315191,71838.02
Department of Health,Imperial College Healthcare NHS Trust,07/01/2021,Gas,Estates Directorate,Corona Energy,4315192,66223.24
Department of Health,Imperial College Healthcare NHS Trust,07/01/2021,Isotopes,Div Of Women & Clin Support,Curium Pharma Uk Ltd,4309494,50760
Department of Health,Imperial College Healthcare NHS Trust,07/01/2021,Laboratory Test Kits,Pathology,Cepheid Uk Ltd,34490,42108
Department of Health,Imperial College Healthcare NHS Trust,07/01/2021,Nhs Pay Recharge In: Med,"Div Of Surg, Cardiov & Cancer",Chelsea And  Westminster Hospital Nhs Ft,4307066,35167
Department of Health,Imperial College Healthcare NHS Trust,07/01/2021,Other Transport Costs,Estates Directorate,Dhl Supply Chain  (Former Excel),4299542,32990.78
Department of Health,Imperial College Healthcare NHS Trust,07/01/2021,Other Transport Costs,Estates Directorate,Dhl Supply Chain  (Former Excel),4299545,32990.78
Department of Health,Imperial College Healthcare NHS Trust,07/01/2021,Rates,Estates Directorate,City Of Westminster,4315503,159904
Department of Health,Imperial College Healthcare NHS Trust,07/01/2021,Supplies Issues Recharges,Ichnt Balance Sheet,Supply Chain Coordination Ltd (Sccl) ( 101),4252316,100898.76
Department of Health,Imperial College Healthcare NHS Trust,07/01/2021,Supplies Issues Recharges,Ichnt Balance Sheet,Supply Chain Coordination Ltd (Sccl) ( 101),4304626,160174.98
Department of Health,Imperial College Healthcare NHS Trust,07/01/2021,Supplies Issues Recharges,Ichnt Balance Sheet,Supply Chain Coordination Ltd (Sccl) ( 101),4309184,211189.81
Department of Health,Imperial College Healthcare NHS Trust,07/01/2021,Supplies Issues Recharges,Ichnt Balance Sheet,Supply Chain Coordination Ltd (Sccl) ( 101),4309187,121295.12
