Department Family,Entity,Date Paid,Expense Type,Expenses Area,Supplier Name,Transaction Reference,Amount
Department of Health,Imperial College Healthcare NHS Trust,02/02/2021,Agency Nursing: Qualified,Div Of Med & Integrated Care,Reed,4324669,"31,739.35"
Department of Health,Imperial College Healthcare NHS Trust,02/02/2021,Agency Nursing: Qualified,"Div Of Surg, Cardiov & Cancer",Reed,4324669,"86,152.02"
Department of Health,Imperial College Healthcare NHS Trust,02/02/2021,Blood Products,Pathology,Nhs Blood And Transplant,34913,"164,673.89"
Department of Health,Imperial College Healthcare NHS Trust,02/02/2021,Blood Products,Pathology,Nhs Blood And Transplant,34914,"329,433.15"
Department of Health,Imperial College Healthcare NHS Trust,02/02/2021,Blood Products,Pathology,Nhs Blood And Transplant,34915,"66,563.51"
Department of Health,Imperial College Healthcare NHS Trust,02/02/2021,Cleaning Materials,Estates Directorate,Synergy Health Managed Services Ltd,4328311,"49,775.32"
Department of Health,Imperial College Healthcare NHS Trust,02/02/2021,Computer Hardware Purch,Information & Comms Technology,Cdw Ltd,4318169,"87,733.44"
Department of Health,Imperial College Healthcare NHS Trust,02/02/2021,Computer Maintenance,Information & Comms Technology,Infratech Hardware Limited,4305116,"79,530.16"
Department of Health,Imperial College Healthcare NHS Trust,02/02/2021,Consultancy Fees,Estates Directorate,Breathe Energy Ltd,4323237,"107,804.40"
Department of Health,Imperial College Healthcare NHS Trust,02/02/2021,Consultancy Fees,Estates Directorate,Breathe Energy Ltd,4323239,"77,715.60"
Department of Health,Imperial College Healthcare NHS Trust,02/02/2021,Contr Other External,Estates Directorate,Cbre Managed Services Ltd,4323389,"752,926.20"
Department of Health,Imperial College Healthcare NHS Trust,02/02/2021,Contr Photocopier Rental,Information & Comms Technology,Canon (Uk) Ltd,4267138,"179,015.86"
Department of Health,Imperial College Healthcare NHS Trust,02/02/2021,Contr Photocopier Rental,Information & Comms Technology,Canon (Uk) Ltd,4315760,"217,526.35"
Department of Health,Imperial College Healthcare NHS Trust,02/02/2021,Cx-Hh Consultant Load,Ichnt Balance Sheet,Dr Andrew Wright,4325810,"42,392.03"
Department of Health,Imperial College Healthcare NHS Trust,02/02/2021,Cx-Hh Consultant Load,Ichnt Balance Sheet,Zahid Rehan Salim,4325897,"43,357.50"
Department of Health,Imperial College Healthcare NHS Trust,02/02/2021,Cy Auc -Addns-Bd Purchased,Capital Summary,Amber Group Limited,4320311,"46,481.32"
Department of Health,Imperial College Healthcare NHS Trust,02/02/2021,Cy Auc -Addns-Bd Purchased,Capital Summary,Amber Group Limited,4321078,"47,661.73"
Department of Health,Imperial College Healthcare NHS Trust,02/02/2021,Cy Auc -Addns-Bd Purchased,Capital Summary,Amber Group Limited,4325707,"85,003.96"
Department of Health,Imperial College Healthcare NHS Trust,02/02/2021,Cy Auc -Addns-Bd Purchased,Capital Summary,Amber Group Limited,4325708,"35,360.40"
Department of Health,Imperial College Healthcare NHS Trust,02/02/2021,Cy Auc -Addns-Bd Purchased,Capital Summary,Amber Group Limited,4325710,"38,550.66"
Department of Health,Imperial College Healthcare NHS Trust,02/02/2021,Cy Auc -Addns-Bd Purchased,Capital Summary,Amber Group Limited,4325722,"37,563.56"
Department of Health,Imperial College Healthcare NHS Trust,02/02/2021,Cy Auc -Addns-Bd Purchased,Capital Summary,Cuffe  Plc,4323539,"40,413.42"
Department of Health,Imperial College Healthcare NHS Trust,02/02/2021,Cy Auc -Addns-Bd Purchased,Capital Summary,M&J Group (Construction & Roofin) Ltd [Cs],4317076,"48,919.32"
