Month,Department Family,Entity,Date,Expense Type,Supplier,Transaction Number,amount
44197,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,14-JAN-2021 ,CLINICAL SUPPLIES & SERVICES,NHS0000RJ701 : St Georges Healthcare NHST,6481775,913904.17
44197,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,26-JAN-2021 ,PREMISES & FIXED PLANT,UK0004609501 : MXF Properties V Ltd,LINV518941,40183.5
44197,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,02-NOV-2020 ,PREMISES & FIXED PLANT,UK0004609501 : MXF Properties V Ltd,LINV516276,40183.5
44197,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,31-DEC-2020 ,CLINICAL SUPPLIES & SERVICES,UK0006253701 : Bunzl Retail & Healthcare Supplies Ltd,025/DECEMBER20,46806.55
44197,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,12-JAN-2021 ,PREMISES & FIXED PLANT,UK0025631401 : Multitone Electronics plc,132617,44299.2
44197,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,20-NOV-2020 ,CLINICAL SUPPLIES & SERVICES,UK0046136501 : Baxter Healthcare Ltd,20266017,28779.87
44197,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,29-MAY-2020 ,CLINICAL SUPPLIES & SERVICES,UK0057154601 : Roche Diagnostics Ltd,6571236502.,57904.9
44197,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,06-JAN-2021 ,CLINICAL SUPPLIES & SERVICES,UK0092855501 : Boots UK Ltd,1800039108,264587.53
44197,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,06-JAN-2021 ,CLINICAL SUPPLIES & SERVICES,UK0092855501 : Boots UK Ltd,1800039109,47869.2
44197,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,11-DEC-2020 ,CLINICAL SUPPLIES & SERVICES,UK0093504801 : Bayer plc,824C319664,136868.4
44197,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,15-DEC-2020 ,CLINICAL SUPPLIES & SERVICES,UK0093504801 : Bayer plc,824C320142,91245.6
44197,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,30-NOV-2020 ,CLINICAL SUPPLIES & SERVICES,UK0093504801 : Bayer plc,824C316915,136868.4
44197,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,15-JAN-2021 ,CLINICAL SUPPLIES & SERVICES,UK0096673601 : KeyMed (Medical & Industrial Equip) Ltd,CD2640627,40786.65
44197,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,08-DEC-2020 ,GENERAL SUPPLIES AND SERVICES,UK0105677401 : Apogee Corporation Ltd,1183885,78059.59
