Month,Department Family,Entity,Date,Expense Type,Supplier,Transaction Number,amount
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,29-JAN-2021 ,SALARY RECHARGES,NHS000036L01 : NHS South West London CCG,7032800563,39362.09
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,23-JAN-2021 ,SALARY RECHARGES,NHS000036L01 : NHS South West London CCG,7032800558,40635.45
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,23-JAN-2021 ,SALARY RECHARGES,NHS000036L01 : NHS South West London CCG,7032800559,106008.58
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,18-DEC-2019 ,CLINICAL SUPPLIES & SERVICES,NHS0000RJ701 : St Georges Healthcare NHST,6467245,26125.75
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,18-JAN-2021 ,CLINICAL SUPPLIES & SERVICES,NHS0000RJ701 : St Georges Healthcare NHST,6481806,37750
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,18-JAN-2021 ,CLINICAL SUPPLIES & SERVICES,NHS0000RJ701 : St Georges Healthcare NHST,6481807,37750
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,18-JAN-2021 ,CLINICAL SUPPLIES & SERVICES,NHS0000RJ701 : St Georges Healthcare NHST,6481805,37750
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,31-JAN-2021 ,CLINICAL SUPPLIES & SERVICES,UK0006253701 : Bunzl Retail & Healthcare Supplies Ltd,126/JANUARY21,41333.75
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,02-JAN-2021 ,CLINICAL SUPPLIES & SERVICES,UK0012345801 : AAH Pharmaceuticals Ltd,DEC20,175000
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,14-OCT-2020 ,CLINICAL SUPPLIES & SERVICES,UK0049594601 : Drive DeVilbiss Sidhil Ltd,728791,25138.08
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,03-FEB-2021 ,CLINICAL SUPPLIES & SERVICES,UK0092855501 : Boots UK Ltd,1800049614,47869.2
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,03-FEB-2021 ,CLINICAL SUPPLIES & SERVICES,UK0092855501 : Boots UK Ltd,1800049613,224377
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,28-JAN-2021 ,CLINICAL SUPPLIES & SERVICES,UK0093504801 : Bayer plc,824C326783,136868.4
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,13-JAN-2021 ,CLINICAL SUPPLIES & SERVICES,UK0093504801 : Bayer plc,824C323412,136868.4
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,28-JAN-2021 ,CLINICAL SUPPLIES & SERVICES,UK0094224501 : Huntleigh Healthcare Ltd - Diag Prod Div,I6240872,102762.5
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,23-DEC-2020 ,MISCELLANEOUS EXPENDITURE,UK0109551201 : Oticon Medical,SOI000345818,58200
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,10-FEB-2021 ,GENERAL SUPPLIES AND SERVICES,UK0177133301 : Synergy Health UK Ltd T/A Steris,71993,85275.4
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,08-JAN-2021 ,GENERAL SUPPLIES AND SERVICES,UK0177133301 : Synergy Health UK Ltd T/A Steris,71285,84593.17
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,12-FEB-2021 ,PREMISES & FIXED PLANT,UK0187896301 : Corniche Construction Ltd,10514,168720
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,05-FEB-2021 ,COMPUTER MAINTENANCE - APPLICATION,UK0217499001 : Softcat Ltd,INV02822016,56838
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,19-JAN-2021 ,CAPITAL SCHEME,UK0251930501 : Cerner Ltd,101863128,89149.2
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,19-JAN-2021 ,CAPITAL SCHEME,UK0251930501 : Cerner Ltd,101863129,67473.59
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,01-FEB-2021 ,CAPITAL SCHEME,UK0251930501 : Cerner Ltd,101872375,89149.2
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,01-FEB-2021 ,CAPITAL SCHEME,UK0251930501 : Cerner Ltd,101872376,67473.59
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,01-FEB-2021 ,CAPITAL SCHEME,UK0251930501 : Cerner Ltd,101872377,36341.53
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,19-JAN-2021 ,CAPITAL SCHEME,UK0251930501 : Cerner Ltd,101863130,36341.53
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,15-DEC-2020 ,CLINICAL SUPPLIES & SERVICES,UK0254381801 : Gilead Sciences Ltd,4410197065,29587.32
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,18-JAN-2021 ,PREMISES & FIXED PLANT,UK0258575901 : Veolia Energy & Utility Services UK Plc,90269701,180186.54
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,15-DEC-2020 ,PREMISES & FIXED PLANT,UK0258575901 : Veolia Energy & Utility Services UK Plc,90267467,222810.57
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,10-FEB-2021 ,POSTAGE,UK0265832401 : Quadient UK Ltd,306619/ISS/139,59998.8
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,11-JAN-2021 ,CLINICAL SUPPLIES & SERVICES,UK0275960901 : Healthcare at Home Ltd,INUK290630.,33208.88
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,01-DEC-2020 ,COMPUTER MAINTENANCE - APPLICATION,UK0312872401 : Bighand Ltd,INV-BLTD-008202,51368.94
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,16-DEC-2020 ,CLINICAL SUPPLIES & SERVICES,UK0316925501 : Alloga UK Ltd,SIN103060821,27120
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,20-JAN-2021 ,CAPITAL SCHEME,UK0410415901 : Fujifilm Sonosite Ltd,384342,164507.99
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,14-JAN-2021 ,CAPITAL SCHEME,UK0410415901 : Fujifilm Sonosite Ltd,384262,42600.02
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,31-JAN-2021 ,CLINICAL SUPPLIES & SERVICES,UK0478525001 : 4Ways Healthcare,4WHC/10212213,62212.59
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,31-JAN-2021 ,TRANSPORT EXPENSES,UK0496163501 : Falck UK Ambulance Service Ltd,26412,30780
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,31-JAN-2021 ,TRANSPORT EXPENSES,UK0496163501 : Falck UK Ambulance Service Ltd,26414,74225.62
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,31-JAN-2021 ,PREMISES & FIXED PLANT,UK0498231101 : The Richard Stephens Partnership Ltd,21012/2236,25912.32
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,11-DEC-2020 ,PREMISES & FIXED PLANT,UK0577117901 : Ensigna Construction Ltd,4022,74311.62
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,08-DEC-2020 ,PREMISES & FIXED PLANT,UK0577117901 : Ensigna Construction Ltd,4058,131356.8
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,26-JAN-2021 ,GENERAL SUPPLIES AND SERVICES,UK0685143801 : Myorb Ltd,KHFT-0002,96000
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,10-NOV-2020 ,COMPUTER HARDWARE,UK0714007301 : Inform Health Ltd,100440,27000
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,14-JAN-2021 ,CLINICAL SUPPLIES & SERVICES,UK0956718601 : Siemens Healthcare Ltd,1051092399,203886.17
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,09-DEC-2020 ,CLINICAL SUPPLIES & SERVICES,UK0956718601 : Siemens Healthcare Ltd,1051090564,203886.17
44228,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,26-NOV-2020 ,CLINICAL SUPPLIES & SERVICES,UK0956718601 : Siemens Healthcare Ltd,1051090615,203886.17
