Month,Department Family,Entity,Date,Expense Type,Supplier,Transaction Number,amount
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,03-FEB-2021 ,CLINICAL SUPPLIES & SERVICES,NHS000093C01 : NHS North Central London CCG,150003252/CREDIT,33800
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,05-NOV-2020 ,CLINICAL SUPPLIES & SERVICES,NHS0000RJ701 : St Georges Healthcare NHST,6479947,35922.53
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,09-FEB-2021 ,CLINICAL SUPPLIES & SERVICES,NHS0000RJ701 : St Georges Healthcare NHST,6482992,913904.17
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,04-AUG-2020 ,CLINICAL SUPPLIES & SERVICES,NHS0000RJ701 : St Georges Healthcare NHST,6477142,29707.67
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,08-MAR-2021 ,CLINICAL SUPPLIES & SERVICES,NHS0000RJ701 : St Georges Healthcare NHST,6483965,913904.17
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,28-FEB-2021 ,CLINICAL SUPPLIES & SERVICES,UK0006253701 : Bunzl Retail & Healthcare Supplies Ltd,027/FEBRUARY21,46117.86
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,23-MAR-2021 ,CLINICAL SUPPLIES & SERVICES,UK0012345801 : AAH Pharmaceuticals Ltd,JAN2021,175000
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,23-FEB-2021 ,CLINICAL SUPPLIES & SERVICES,UK0046136501 : Baxter Healthcare Ltd,21040475.,30011.14
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,01-MAR-2021 ,CLINICAL SUPPLIES & SERVICES,UK0093504801 : Bayer plc,824C332374,136868.4
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,12-MAR-2021 ,CLINICAL SUPPLIES & SERVICES,UK0093504801 : Bayer plc,824C334912,136868.4
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,25-FEB-2021 ,SOFTWARE MAINTENANCE,UK0161697701 : Bytes Software Services Ltd,723276,65502.41
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,16-DEC-2020 ,CLINICAL SUPPLIES & SERVICES,UK0162248301 : CSL Behring UK Ltd,994030983,25200
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,12-FEB-2021 ,GENERAL SUPPLIES AND SERVICES,UK0165983701 : ISS Mediclean Ltd,SIN000059,1405114.28
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,15-FEB-2021 ,GENERAL SUPPLIES AND SERVICES,UK0165983701 : ISS Mediclean Ltd,SIN000061,104378.6
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,19-FEB-2021 ,CAPITAL SCHEME,UK0179958001 : CBRE Managed Services Ltd,S00860535,30000
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,19-FEB-2021 ,CAPITAL SCHEME,UK0179958001 : CBRE Managed Services Ltd,S00860543,33927.48
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,12-MAR-2021 ,PREMISES & FIXED PLANT,UK0187896301 : Corniche Construction Ltd,10535,37086.48
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,03-MAR-2021 ,CAPITAL SCHEME,UK0208136901 : Dell Corporation Ltd,7402693323,222220.8
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,04-MAR-2021 ,CAPITAL SCHEME,UK0208136901 : Dell Corporation Ltd,7402693563,56887.52
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,22-FEB-2021 ,CAPITAL SCHEME,UK0208136901 : Dell Corporation Ltd,740689785,48669.6
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,03-FEB-2021 ,CAPITAL SCHEME,UK0208136901 : Dell Corporation Ltd,7402684660,36569.96
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,03-FEB-2021 ,CAPITAL SCHEME,UK0208136901 : Dell Corporation Ltd,7402684661,36569.96
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,26-FEB-2021 ,CAPITAL SCHEME,UK0208136901 : Dell Corporation Ltd,7402691573,78823.94
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,19-JAN-2021 ,CAPITAL SCHEME,UK0208136901 : Dell Corporation Ltd,7402679494,35034.96
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,25-NOV-2019 ,CLINICAL SUPPLIES & SERVICES,UK0218213501 : Fresenius Kabi Ltd,913683980,89904
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,14-DEC-2020 ,WATER RATES ,UK0236666101 : Castle Water Ltd,0003064805,37623.85
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,05-MAR-2019 ,CAPITAL SCHEME,UK0251930501 : Cerner Ltd,101548536.,66176.51
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,02-MAR-2021 ,CAPITAL SCHEME,UK0251930501 : Cerner Ltd,101884265,67473.59
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,02-MAR-2021 ,CAPITAL SCHEME,UK0251930501 : Cerner Ltd,101884266,36341.53
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,02-MAR-2021 ,CAPITAL SCHEME,UK0251930501 : Cerner Ltd,101884264,89149.2
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,08-MAR-2021 ,CAPITAL SCHEME,UK0257985201 : Insight Direct UK Ltd,5209569,779737.13
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,15-FEB-2021 ,PREMISES & FIXED PLANT,UK0258575901 : Veolia Energy & Utility Services UK Plc,90273425,104618.43
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,08-MAR-2021 ,PREMISES & FIXED PLANT,UK0279833401 : Corona Energy Retail 4 Ltd,15919287,94689.82
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,05-FEB-2021 ,PREMISES & FIXED PLANT,UK0279833401 : Corona Energy Retail 4 Ltd,15857570,110135.82
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,25-JAN-2021 ,CAPITAL SCHEME,UK0304095501 : KPS Southern Ltd,INV-10442,32954.15
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,11-MAR-2021 ,CAPITAL SCHEME,UK0304095501 : KPS Southern Ltd,INV-10446,25992.72
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,29-JAN-2021 ,PREMISES & FIXED PLANT,UK0307542701 : Bellrock Property & Facilities Man. Ltd,16586,28315.07
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,10-FEB-2021 ,INTERIM STAFF CHARGES,UK0315610301 : Pulse Healthcare Ltd,5306595,46203.84
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,29-OCT-2020 ,CAPITAL SCHEME,UK0329433901 : Bender UK Ltd,40911,112091.4
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,15-MAR-2021 ,PREMISES & FIXED PLANT,UK0406807001 : Locamed Ltd,54715,54488.52
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,17-FEB-2021 ,PREMISES & FIXED PLANT,UK0411321501 : M & O Building Contractors Ltd,4402,50179.2
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,08-DEC-2020 ,SYSTEM MANAGED SERVICE,UK0457165401 : Sectra Ltd,SIN002832,175549.2
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,08-MAR-2021 ,SYSTEM MANAGED SERVICE,UK0457165401 : Sectra Ltd,SIN003056,175549.2
44256,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,28-FEB-2021 ,CLINICAL SUPPLIES & SERVICES,UK0478525001 : 4Ways Healthcare,4WHC/11212855,44200.55
