Department Family,Entuty,Financial Year,Financial Period,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
NHS,King's College Hospital NHS Foundation Trust,2021,2,11-Feb-20,Premises and Fixed Plant,Endoscopy Suite,18 WEEK SUPPORT LLP,1002598,"188,715.00"
NHS,King's College Hospital NHS Foundation Trust,2021,2,10-Mar-20,Premises and Fixed Plant,Endoscopy Suite,18 WEEK SUPPORT LLP,1002877,"217,000.00"
NHS,King's College Hospital NHS Foundation Trust,2021,2,20-May-20,COVID - 19,Facilities Estates / Maintenance,A J ELECTRICAL SERVICES,4045,"26,762.40"
NHS,King's College Hospital NHS Foundation Trust,2021,2,01-May-20,PHARMACY INVOICES,PHARMACY INVOICES,AAH PHARMACEUTICA KINGS COLL HOSP,,"500,000.00"
NHS,King's College Hospital NHS Foundation Trust,2021,2,19-May-20,PHARMACY INVOICES,PHARMACY INVOICES,AAH PHARMACEUTICA KINGS COLL HOSP,,"190,921.38"
NHS,King's College Hospital NHS Foundation Trust,2021,2,18-May-20,Stock,Stock,AAH PHARMACEUTICALS LIMITED,PURMAR20EXCR,"190,921.38"
NHS,King's College Hospital NHS Foundation Trust,2021,2,31-Jul-19,Clinical Supplies and Services,Diabetes,AIR LIQUIDE UK LIMITED,00000801_326,"63,240.00"
NHS,King's College Hospital NHS Foundation Trust,2021,2,02-Mar-20,Premises and Fixed Plant,Renal Administration,AIRSLIE LTD,202002,"64,800.00"
NHS,King's College Hospital NHS Foundation Trust,2021,2,24-Nov-19,Administrative and Clerical Staff,Income and Management Accounts,ALLEN LANE,KCH10-257811C,"-51,251.53"
NHS,King's College Hospital NHS Foundation Trust,2021,2,24-Nov-19,Administrative and Clerical Staff,Financial Accounting and Capital Account,ALLEN LANE,KCH10-257811M,"59,848.39"
NHS,King's College Hospital NHS Foundation Trust,2021,2,26-Mar-20,Stock,Stock,ALLIANCE HEALTHCARE LTD (UNICHEM),B03P07091,"38,317.50"
NHS,King's College Hospital NHS Foundation Trust,2021,2,14-May-20,Stock,Stock,ALLIANCE HEALTHCARE LTD (UNICHEM),B05E01295,"28,910.77"
NHS,King's College Hospital NHS Foundation Trust,2021,2,31-Mar-20,External Contract staffing and Consultan,Radiology Department,ALLIANCE MEDICAL,AML-151193,"76,143.90"
NHS,King's College Hospital NHS Foundation Trust,2021,2,03-May-20,Agency,Agency,ALLOCATE SOFTWARE LIMITED,KCH-03052020fri,"80,840.95"
NHS,King's College Hospital NHS Foundation Trust,2021,2,17-May-20,Agency,Agency,ALLOCATE SOFTWARE LIMITED,KCH-17052020,"141,576.94"
NHS,King's College Hospital NHS Foundation Trust,2021,2,10-May-20,Agency,Agency,ALLOCATE SOFTWARE LIMITED,KCH-10052020S,"74,055.01"
NHS,King's College Hospital NHS Foundation Trust,2021,2,10-May-20,Agency,Agency,ALLOCATE SOFTWARE LIMITED,KCH-10052020fri,"116,261.98"
NHS,King's College Hospital NHS Foundation Trust,2021,2,24-May-20,Agency,Agency,ALLOCATE SOFTWARE LIMITED,KCH-24052020S,"91,089.42"
NHS,King's College Hospital NHS Foundation Trust,2021,2,03-May-20,Agency,Agency,ALLOCATE SOFTWARE LIMITED,KCH-03052020,"199,076.11"
NHS,King's College Hospital NHS Foundation Trust,2021,2,26-Apr-20,Agency,Agency,ALLOCATE SOFTWARE LIMITED,KCH-26042020fri,"105,013.30"
NHS,King's College Hospital NHS Foundation Trust,2021,2,24-May-20,Agency,Agency,ALLOCATE SOFTWARE LIMITED,KCH-24052020,"109,891.61"
NHS,King's College Hospital NHS Foundation Trust,2021,2,17-May-20,Agency,Agency,ALLOCATE SOFTWARE LIMITED,KCH-17052020S,"114,564.24"
NHS,King's College Hospital NHS Foundation Trust,2021,2,10-May-20,Agency,Agency,ALLOCATE SOFTWARE LIMITED,KCH-10052020,"131,430.46"
NHS,King's College Hospital NHS Foundation Trust,2021,2,17-May-20,Agency,Agency,ALLOCATE SOFTWARE LIMITED,KCH-17052020Fri,"107,832.87"
NHS,King's College Hospital NHS Foundation Trust,2021,2,24-May-20,Agency,Agency,ALLOCATE SOFTWARE LIMITED,KCH-24052020fri,"117,066.24"
NHS,King's College Hospital NHS Foundation Trust,2021,2,03-May-20,Agency,Agency,ALLOCATE SOFTWARE LIMITED,KCH-03052020S,"108,490.64"
NHS,King's College Hospital NHS Foundation Trust,2021,2,21-Apr-20,Stock,Stock,ALLOGA UK LTD,SIN102883728,"36,000.00"
NHS,King's College Hospital NHS Foundation Trust,2021,2,20-Apr-20,Stock,Stock,ALLOGA UK LTD,SIN102882737,"28,800.00"
NHS,King's College Hospital NHS Foundation Trust,2021,2,05-May-20,Stock,Stock,ALLOGA UK LTD,SIN102893552,"36,000.00"
NHS,King's College Hospital NHS Foundation Trust,2021,2,23-Apr-20,Stock,Stock,ALLOGA UK LTD,SIN102885561,"27,120.00"
NHS,King's College Hospital NHS Foundation Trust,2021,2,01-May-20,Stock,Stock,ALLOGA UK LTD,SIN102891337,"36,000.00"
NHS,King's College Hospital NHS Foundation Trust,2021,2,12-May-20,Stock,Stock,ALLOGA UK LTD,SIN102897430,"36,000.00"
NHS,King's College Hospital NHS Foundation Trust,2021,2,30-Apr-20,Stock,Stock,ALLOGA UK LTD,SIN102890250,"40,680.00"
NHS,King's College Hospital NHS Foundation Trust,2021,2,06-May-20,Stock,Stock,ALLOGA UK LTD,SIN102894550,"40,680.00"
NHS,King's College Hospital NHS Foundation Trust,2021,2,23-Apr-20,Stock,Stock,ALLOGA UK LTD,SIN102885574,"36,000.00"
NHS,King's College Hospital NHS Foundation Trust,2021,2,04-Apr-20,Assets Under Construction,Fixed Asset,ARTIC BUILDING SERVICES LTD,61097,"32,400.00"
NHS,King's College Hospital NHS Foundation Trust,2021,2,15-May-20,COVID - 19,COVID - 19,ATOS RE PREMIERINN     9826133200071530,,"112,280.00"
NHS,King's College Hospital NHS Foundation Trust,2021,2,27-Mar-20,Clinical Trials EXP,Clinical Trials EXP,BANGOR UNIVERSITY,30068346,"40,934.85"
NHS,King's College Hospital NHS Foundation Trust,2021,2,14-May-20,Stock,Stock,BAYER PLC,824C279044,"27,373.68"
NHS,King's College Hospital NHS Foundation Trust,2021,2,22-Apr-20,Stock,Stock,BAYER PLC,824C276372,"26,220.00"
NHS,King's College Hospital NHS Foundation Trust,2021,2,28-Apr-20,Premises and Fixed Plant,Facilities Estates / Maintenance,BENDER UK LTD,39156,"28,641.60"
NHS,King's College Hospital NHS Foundation Trust,2021,2,20-Feb-20,Premises and Fixed Plant,Endoscopy Suite,BMI HEALTHCARE,049_S1135_0120,"49,073.51"
NHS,King's College Hospital NHS Foundation Trust,2021,2,23-Apr-20,Sub Contracted Healthcare - NHS bodies,General Surgery I,BMI HEALTHCARE,023_S1111_0320,"45,619.07"
NHS,King's College Hospital NHS Foundation Trust,2021,2,03-Apr-20,Sub Contracted Healthcare - NHS bodies,General Surgery I,BMI HEALTHCARE,023_S1111_0220,"59,602.60"
NHS,King's College Hospital NHS Foundation Trust,2021,2,27-Mar-20,External Contract staffing and Consultan,Volunteers Project,BRITISH RED CROSS,650116267,"34,261.25"
NHS,King's College Hospital NHS Foundation Trust,2021,2,14-May-20,Premises and Fixed Plant,ICT - Management and Security,BYTES SOFTWARE SERVICES LIMITED,635303,"60,011.56"
NHS,King's College Hospital NHS Foundation Trust,2021,2,22-Apr-20,Premises and Fixed Plant,Waste Services,BYWATERS (LEYTON) LTD,P133463,"54,875.75"
NHS,King's College Hospital NHS Foundation Trust,2021,2,30-Apr-20,Establishment Expenses,Corporate Human Resources,CAPITA BUSINESS SERVICE LTD,6003983939,"215,703.38"
NHS,King's College Hospital NHS Foundation Trust,2021,2,29-Apr-20,Assets Under Construction,Fixed Asset,CAPITA PROPERTY & INFRASTRUCTURE LTD,6017126209,"51,608.52"
