Department Family,Entity,Financial Year,Financial Period,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
NHS,King's College Hospital NHS Foundation Trust,2021,4,14-Jul-20,Assets Under Construction,Fixed Asset, A J ELECTRICAL SERVICES ,4081,"39,644.40",Fixed Assets - Auc Pur Adds Bld
NHS,King's College Hospital NHS Foundation Trust,2021,4,01-Jul-20,PHARMACY INVOICES,PHARMACY INVOICES, AAH PHARMACEUTICA KINGS COLL HOSP ,,"500,000.00",PHARMACY INVOICES
NHS,King's College Hospital NHS Foundation Trust,2021,4,20-Jul-20,PHARMACY INVOICES,PHARMACY INVOICES, AAH PHARMACEUTICALS LIMITED ,16964051C,"35,155.94",Pharmacy Stock
NHS,King's College Hospital NHS Foundation Trust,2021,4,14-Jul-20,Stock,Stock, ALEXION PHARMA UK ,90925438,"120,960.00",Pharmacy Stock
NHS,King's College Hospital NHS Foundation Trust,2021,4,10-Jul-20,Stock,Stock, ALEXION PHARMA UK ,90924784,"45,360.00",Pharmacy Stock
NHS,King's College Hospital NHS Foundation Trust,2021,4,22-Jul-20,Stock,Stock, ALLIANCE HEALTHCARE LTD (UNICHEM) ,B07M01141,"25,598.63",Stock Pharmacy PRUH
NHS,King's College Hospital NHS Foundation Trust,2021,4,31-Mar-20,External Contract staffing and Consultan,Radiology Department, ALLIANCE MEDICAL ,AML-151181,"40,764.00",Contracted out services
NHS,King's College Hospital NHS Foundation Trust,2021,4,18-May-20,External Contract staffing and Consultan,Radiology Department, ALLIANCE MEDICAL ,AML-152793,"26,544.00",Contracted out services
NHS,King's College Hospital NHS Foundation Trust,2021,4,12-Jun-20,External Contract staffing and Consultan,Radiology Department, ALLIANCE MEDICAL ,AML-153844,"156,202.51",Contracted out services
NHS,King's College Hospital NHS Foundation Trust,2021,4,18-May-20,External Contract staffing and Consultan,Radiology Department, ALLIANCE MEDICAL ,AML-152789,"166,848.00",Contracted out services
NHS,King's College Hospital NHS Foundation Trust,2021,4,19-Jul-20,Net Pay-247Time,Net Pay-247Time, ALLOCATE SOFTWARE LIMITED ,KCH-19072020Fri,"79,857.12",Net Pay-247Time
NHS,King's College Hospital NHS Foundation Trust,2021,4,19-Jul-20,Net Pay-247Time,Net Pay-247Time, ALLOCATE SOFTWARE LIMITED ,KCH-19072020,"119,531.12",Net Pay-247Time
NHS,King's College Hospital NHS Foundation Trust,2021,4,28-Jun-20,Net Pay-247Time,Net Pay-247Time, ALLOCATE SOFTWARE LIMITED ,KCH-28062020Fri,"97,870.66",Net Pay-247Time
NHS,King's College Hospital NHS Foundation Trust,2021,4,12-Jul-20,Net Pay-247Time,Net Pay-247Time, ALLOCATE SOFTWARE LIMITED ,KCH-12072020,"156,670.31",Net Pay-247Time
NHS,King's College Hospital NHS Foundation Trust,2021,4,26-Jul-20,Net Pay-247Time,Net Pay-247Time, ALLOCATE SOFTWARE LIMITED ,KCH-26072020,"142,344.81",Net Pay-247Time
NHS,King's College Hospital NHS Foundation Trust,2021,4,05-Jul-20,Net Pay-247Time,Net Pay-247Time, ALLOCATE SOFTWARE LIMITED ,KCH-05072020,"154,979.63",Net Pay-247Time
NHS,King's College Hospital NHS Foundation Trust,2021,4,05-Jul-20,Net Pay-247Time,Net Pay-247Time, ALLOCATE SOFTWARE LIMITED ,KCH-05072020S,"173,389.76",Net Pay-247Time
NHS,King's College Hospital NHS Foundation Trust,2021,4,05-Jul-20,Net Pay-247Time,Net Pay-247Time, ALLOCATE SOFTWARE LIMITED ,KCH-05072020Fri,"91,829.17",Net Pay-247Time
NHS,King's College Hospital NHS Foundation Trust,2021,4,12-Jul-20,Net Pay-247Time,Net Pay-247Time, ALLOCATE SOFTWARE LIMITED ,KCH-12072020Fri,"84,985.33",Net Pay-247Time
NHS,King's College Hospital NHS Foundation Trust,2021,4,12-Jul-20,Net Pay-247Time,Net Pay-247Time, ALLOCATE SOFTWARE LIMITED ,KCH-12072020S,"198,242.46",Net Pay-247Time
NHS,King's College Hospital NHS Foundation Trust,2021,4,01-Jul-20,Stock,Stock, ALLOGA UK LTD ,SIN102931953,"36,000.00",Pharmacy Stock
NHS,King's College Hospital NHS Foundation Trust,2021,4,30-Jun-20,Stock,Stock, ALLOGA UK LTD ,SIN102931060,"42,312.00",Pharmacy Stock
NHS,King's College Hospital NHS Foundation Trust,2021,4,09-Apr-20,Stock,Stock, ALLOGA UK LTD ,SIN102877296,"36,000.00",Pharmacy Stock
NHS,King's College Hospital NHS Foundation Trust,2021,4,12-Jun-20,Stock,Stock, ALLOGA UK LTD ,SIN102919390,"360,000.00",Stock Pharmacy PRUH
NHS,King's College Hospital NHS Foundation Trust,2021,4,30-Jun-20,Clinical Supplies and Services,Haematology OPD, ANTHONY NOLAN ,624769,"39,573.00",Anthony Nolan Costs
NHS,King's College Hospital NHS Foundation Trust,2021,4,10-Jun-20,Clinical Supplies and Services,Haematology OPD, ANTHONY NOLAN ,624183,"42,490.67",Anthony Nolan Costs
NHS,King's College Hospital NHS Foundation Trust,2021,4,28-Jun-20,Premises and Fixed Plant,Facilities Estates / Maintenance, ARTIC BUILDING SERVICES LTD ,62006,"29,511.65",Engineering maintenance-equipment & mate
NHS,King's College Hospital NHS Foundation Trust,2021,4,30-Jun-20,COVID - 19,Facilities Estates / Maintenance, ARTIC BUILDING SERVICES LTD ,62005,"33,100.80",COVID - 19
NHS,King's College Hospital NHS Foundation Trust,2021,4,30-Jun-20,Premises and Fixed Plant,Facilities Estates / Maintenance, ARTIC BUILDING SERVICES LTD ,61881,"35,418.20",Eng maintenance contracts dom/cat
NHS,King's College Hospital NHS Foundation Trust,2021,4,15-Jul-20,Hotel  ,Hotel  , ATOS RE PREMIERINN     9826133200071530 ,9.83E+15,"44,835.00",Hotel  
NHS,King's College Hospital NHS Foundation Trust,2021,4,20-May-20,Assets Under Construction,Fixed Asset, AUTO PEDESTRIAN DOORS LIMITED ,SLI/54436,"34,658.00",Fixed Assets - Auc Pur Adds Bld
NHS,King's College Hospital NHS Foundation Trust,2021,4,12-Mar-19,Stock,Stock, BAYER PLC ,824C192526,"26,220.00",Pharmacy Stock
NHS,King's College Hospital NHS Foundation Trust,2021,4,13-Jul-20,Premises and Fixed Plant,Facilities Estates / Maintenance, BENDER UK LTD ,39851,"26,334.00",Day to day maintenance
NHS,King's College Hospital NHS Foundation Trust,2021,4,20-Jul-20,Fire Equipment,Facilities Estates / Maintenance, BESPOKE DETECTION SERVICES LTD ,15533,"28,800.00",Fire Equipment
NHS,King's College Hospital NHS Foundation Trust,2021,4,20-Jul-20,COVID - 19,Facilities Estates / Maintenance, BESPOKE DETECTION SERVICES LTD ,15532,"46,500.00",COVID - 19
NHS,King's College Hospital NHS Foundation Trust,2021,4,03-Apr-20,External Contract staffing and Consultan,Endoscopy Suite, BMI HEALTHCARE ,049_S1135_0220,"47,385.81",Contracted out services
NHS,King's College Hospital NHS Foundation Trust,2021,4,01-Apr-20,External Contract staffing and Consultan,Endoscopy Suite, BMI HEALTHCARE ,049_S1135_0320,"36,209.24",Contracted out services
NHS,King's College Hospital NHS Foundation Trust,2021,4,15-Jul-20,Assets Under Construction,Fixed Asset, BMJ ARCHITECTS ,13479,"30,000.00",Fixed Assets - Auc Pur Adds Bld
NHS,King's College Hospital NHS Foundation Trust,2021,4,20-Jul-20,Services Provided by non-NHS bodies,Dermatology Services PRUH, BROMLEY GP ALLIANCE LTD ,BGPA0653,"45,000.00",Services Provided by non-NHS bodies
