Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
NHS,King's College Hospital NHS Foundation Trust,24-Aug-20,COVID - 19,COVID - 19,A J ELECTRICAL SERVICES,4107,"38,947.20"
NHS,King's College Hospital NHS Foundation Trust,03-Aug-20,PHARMACY INVOICES,PHARMACY INVOICES,AAH PHARMACEUTICA   KINGS COLL HOSP,,"500,000.00"
NHS,King's College Hospital NHS Foundation Trust,06-Aug-20,Stock,Stock,ALEXION PHARMA UK,90934556,"45,360.00"
NHS,King's College Hospital NHS Foundation Trust,29-Jul-20,Stock,Stock,ALLIANCE HEALTHCARE LTD (UNICHEM),B07T01353,"34,462.42"
NHS,King's College Hospital NHS Foundation Trust,16-Aug-20,Net Pay-247Time,Net Pay-247Time,ALLOCATE SOFTWARE LIMITED,KCH-16082020Fri,"122,295.89"
NHS,King's College Hospital NHS Foundation Trust,09-Aug-20,Net Pay-247Time,Net Pay-247Time,ALLOCATE SOFTWARE LIMITED,KCH-09082020,"148,272.06"
NHS,King's College Hospital NHS Foundation Trust,02-Aug-20,Net Pay-247Time,Net Pay-247Time,ALLOCATE SOFTWARE LIMITED,KCH-02082020,"139,301.38"
NHS,King's College Hospital NHS Foundation Trust,23-Aug-20,Net Pay-247Time,Net Pay-247Time,ALLOCATE SOFTWARE LIMITED,KCH-23082020,"151,565.14"
NHS,King's College Hospital NHS Foundation Trust,02-Aug-20,Net Pay-247Time,Net Pay-247Time,ALLOCATE SOFTWARE LIMITED,KCH-02082020Fri,"106,370.94"
NHS,King's College Hospital NHS Foundation Trust,16-Aug-20,Net Pay-247Time,Net Pay-247Time,ALLOCATE SOFTWARE LIMITED,KCH-16082020,"128,246.41"
NHS,King's College Hospital NHS Foundation Trust,09-Aug-20,Net Pay-247Time,Net Pay-247Time,ALLOCATE SOFTWARE LIMITED,KCH-09082020fri,"87,134.83"
NHS,King's College Hospital NHS Foundation Trust,26-Jul-20,Net Pay-247Time,Net Pay-247Time,ALLOCATE SOFTWARE LIMITED,KCH-26072020Fri,"115,605.40"
NHS,King's College Hospital NHS Foundation Trust,09-Aug-20,Net Pay-247Time,Net Pay-247Time,ALLOCATE SOFTWARE LIMITED,KCH-09082020S,"82,602.09"
NHS,King's College Hospital NHS Foundation Trust,05-Aug-20,Stock,Pharmacy Stock,ALLOGA UK LTD,SIN102957693,"40,680.00"
NHS,King's College Hospital NHS Foundation Trust,22-Jul-20,Stock,Pharmacy Stock,ALLOGA UK LTD,SIN102947327,"40,680.00"
NHS,King's College Hospital NHS Foundation Trust,17-Aug-20,Stock,Pharmacy Stock,ALLOGA UK LTD,SIN102966199,"41,112.00"
