Department Family,Entity,Financial Year,Financial Period,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
NHS,King's College Hospital NHS Foundation Trust,2021,6,14/09/2020,Stock,Pharmacy Stock,AAH PHARMACEUTICALS LIMITED,PURJUL20EX,"222,680.48"
NHS,King's College Hospital NHS Foundation Trust,2021,6,07-Sep-20,Stock,Pharmacy Stock,ALEXION PHARMA UK,90945712,"68,040.00"
NHS,King's College Hospital NHS Foundation Trust,2021,6,07-Sep-20,Stock,Pharmacy Stock,ALEXION PHARMA UK,90945710,"124,740.00"
NHS,King's College Hospital NHS Foundation Trust,2021,6,31-Aug-20,External Contract staffing and Consultan,Radiology Department,ALLIANCE MEDICAL,AML-158993,"30,810.00"
NHS,King's College Hospital NHS Foundation Trust,2021,6,31-May-20,External Contract staffing and Consultan,Radiology Department,ALLIANCE MEDICAL,AML-153375,"33,100.26"
NHS,King's College Hospital NHS Foundation Trust,2021,6,30-Jun-20,External Contract staffing and Consultan,Radiology Department,ALLIANCE MEDICAL,AML-155042,"43,375.70"
NHS,King's College Hospital NHS Foundation Trust,2021,6,12-Aug-20,External Contract staffing and Consultan,Radiology Medical,ALLIANCE MEDICAL,AML-157655,"45,369.60"
NHS,King's College Hospital NHS Foundation Trust,2021,6,24-Jul-20,External Contract staffing and Consultan,Radiology Medical,ALLIANCE MEDICAL,AML-156413,"48,205.20"
NHS,King's College Hospital NHS Foundation Trust,2021,6,31-Jul-20,External Contract staffing and Consultan,Radiology Department,ALLIANCE MEDICAL,AML-157049,"53,534.73"
NHS,King's College Hospital NHS Foundation Trust,2021,6,31-Aug-20,External Contract staffing and Consultan,Radiology Department,ALLIANCE MEDICAL,AML-159036,"62,948.11"
NHS,King's College Hospital NHS Foundation Trust,2021,6,30-Aug-20,Net Pay-247Time,Net Pay-247Time,ALLOCATE SOFTWARE LIMITED,KCH-30082020Fri,"87,909.53"
NHS,King's College Hospital NHS Foundation Trust,2021,6,06-Sep-20,Net Pay-247Time,Net Pay-247Time,ALLOCATE SOFTWARE LIMITED,KCH-06092020Fri,"100,935.12"
NHS,King's College Hospital NHS Foundation Trust,2021,6,20-Sep-20,Net Pay-247Time,Net Pay-247Time,ALLOCATE SOFTWARE LIMITED,KCH-20092020fri,"110,003.13"
NHS,King's College Hospital NHS Foundation Trust,2021,6,01/09/2020,Net Pay-247Time,Net Pay-247Time,ALLOCATE SOFTWARE LIMITED,CHAPs,"113,031.80"
NHS,King's College Hospital NHS Foundation Trust,2021,6,13-Sep-20,Net Pay-247Time,Net Pay-247Time,ALLOCATE SOFTWARE LIMITED,KCH-13092020fri,"117,466.78"
NHS,King's College Hospital NHS Foundation Trust,2021,6,02/09/2020,Net Pay-247Time,Net Pay-247Time,ALLOCATE SOFTWARE LIMITED,CHAPs,"126,220.60"
NHS,King's College Hospital NHS Foundation Trust,2021,6,20-Sep-20,Net Pay-247Time,Net Pay-247Time,ALLOCATE SOFTWARE LIMITED,KCH-20092020,"151,598.42"
NHS,King's College Hospital NHS Foundation Trust,2021,6,06-Sep-20,Net Pay-247Time,Net Pay-247Time,ALLOCATE SOFTWARE LIMITED,KCH-06092020,"155,827.09"
NHS,King's College Hospital NHS Foundation Trust,2021,6,27-Sep-20,Net Pay-247Time,Net Pay-247Time,ALLOCATE SOFTWARE LIMITED,KCH-27092020,"156,704.98"
NHS,King's College Hospital NHS Foundation Trust,2021,6,30/09/2020,Net Pay-247Time,Net Pay-247Time,ALLOCATE SOFTWARE LIMITED,KCH270920220 ADH ,"156,704.98"
NHS,King's College Hospital NHS Foundation Trust,2021,6,13-Sep-20,Net Pay-247Time,Net Pay-247Time,ALLOCATE SOFTWARE LIMITED,KCH-13092020,"165,435.51"
NHS,King's College Hospital NHS Foundation Trust,2021,6,07-Sep-20,Stock,Pharmacy Stock,ALLOGA UK LTD,SIN102981752,"36,000.00"
NHS,King's College Hospital NHS Foundation Trust,2021,6,07-Aug-20,Stock,Pharmacy Stock,ALLOGA UK LTD,SIN102959776,"36,000.00"
NHS,King's College Hospital NHS Foundation Trust,2021,6,27-Aug-20,Stock,Pharmacy Stock,ALLOGA UK LTD,SIN102974296,"36,000.00"
NHS,King's College Hospital NHS Foundation Trust,2021,6,02-Sep-20,Stock,Pharmacy Stock,ALLOGA UK LTD,SIN102978237,"40,680.00"
NHS,King's College Hospital NHS Foundation Trust,2021,6,26-Aug-20,Clinical Supplies and Services,Anthony Nolan Costs,ANTHONY NOLAN,626419,"67,888.00"
NHS,King's College Hospital NHS Foundation Trust,2021,6,14-Aug-20,Assets Under Construction,Fixed Asset,ARTIC BUILDING SERVICES LTD,62460,"27,435.00"
NHS,King's College Hospital NHS Foundation Trust,2021,6,31-Aug-20,Premises and Fixed Plant,Facilities Estates / Maintenance,ARTIC BUILDING SERVICES LTD,62621,"35,418.20"
NHS,King's College Hospital NHS Foundation Trust,2021,6,25/09/2020,RENT,RENT,ASSURA HC LTD     SYDENHAM ,KIN001,"36,000.00"
