Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
NHS,King's College Hospital NHS Foundation Trust,12-Oct-20,Additions - Assets Under Construction,Replacement of Steam/Water Pipework (J17),A & G Pipework & Welding,2153,"26,840.75"
NHS,King's College Hospital NHS Foundation Trust,23-Oct-20,Drugs,Drugs,AAH PHARMACEUTICALS LIMITED,Chaps,"80,849.44"
NHS,King's College Hospital NHS Foundation Trust,31-May-20,External Contract staffing and Consultan,Radiology Department,Alliance Medical Ltd,AML-153375,"33,100.26"
NHS,King's College Hospital NHS Foundation Trust,30-Jun-20,External Contract staffing and Consultan,Radiology Department,Alliance Medical Ltd,AML-155042,"43,375.70"
NHS,King's College Hospital NHS Foundation Trust,31-Jul-20,External Contract staffing and Consultan,Radiology Department,Alliance Medical Ltd,AML-157049,"53,534.73"
NHS,King's College Hospital NHS Foundation Trust,04-Oct-20,Net Pay-247Time,Net Pay-247Time,Allocate Software Ltd,KCH-04102020fri,"109,000.24"
NHS,King's College Hospital NHS Foundation Trust,11-Oct-20,Net Pay-247Time,Net Pay-247Time,Allocate Software Ltd,KCH-11102020,"153,955.50"
NHS,King's College Hospital NHS Foundation Trust,11-Oct-20,Net Pay-247Time,Net Pay-247Time,Allocate Software Ltd,KCH-11102020Fri,"126,755.53"
NHS,King's College Hospital NHS Foundation Trust,18-Oct-20,Net Pay-247Time,Net Pay-247Time,Allocate Software Ltd,KCH-18102020,"162,908.04"
NHS,King's College Hospital NHS Foundation Trust,18-Oct-20,Net Pay-247Time,Net Pay-247Time,Allocate Software Ltd,KCH-18102020fri,"111,997.37"
NHS,King's College Hospital NHS Foundation Trust,25-Oct-20,Net Pay-247Time,Net Pay-247Time,Allocate Software Ltd,KCH-25102020,"148,143.63"
NHS,King's College Hospital NHS Foundation Trust,27-Sep-20,Net Pay-247Time,Net Pay-247Time,Allocate Software Ltd,KCH-27092020,"156,704.98"
NHS,King's College Hospital NHS Foundation Trust,26-Aug-20,Net Pay-247Time,Net Pay-247Time,Allocate Software Ltd,KCH-31052020CORRA,"165,177.11"
NHS,King's College Hospital NHS Foundation Trust,26-Aug-20,Net Pay-247Time,Net Pay-247Time,Allocate Software Ltd,KCH-31052020CRA,"166,167.11"
NHS,King's College Hospital NHS Foundation Trust,28-Oct-20,Net Pay-247Time,Net Pay-247Time,Allocate Software Ltd    18102020FRI,Chaps,"271,379.59"
NHS,King's College Hospital NHS Foundation Trust,02-Sep-20,Stock,Pharmacy Stock,Alloga Uk Ltd,SIN102978237,"40,680.00"
NHS,King's College Hospital NHS Foundation Trust,10-Sep-20,Stock,Pharmacy Stock,Alloga Uk Ltd,SIN102985152,"56,340.00"
NHS,King's College Hospital NHS Foundation Trust,30-Sep-20,Stock,Pharmacy Stock,Alloga Uk Ltd,SIN103000603,"40,680.00"
