Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,Lewisham and Greenwich NHS Trust,31/05/2020,Med & Surg Maint Contract,E.B.M.E. (QEH),SUPPLY CHAIN COORDINATION LIMITED,33672841,"90,069.67 "
Department of Health,Lewisham and Greenwich NHS Trust,31/05/2020,Capital Non Pay Costs,Balance Sheet,GE CAPITAL EQUIPMENT FINANCE LTD,33750201,"47,000.00 "
Department of Health,Lewisham and Greenwich NHS Trust,31/05/2020,Direct Labour,Balance Sheet,INSPIRE CONTRACT SERVICES LTD,33882332,"42,074.54 "
Department of Health,Lewisham and Greenwich NHS Trust,31/05/2020,Direct Labour,Balance Sheet,INSPIRE CONTRACT SERVICES LTD,33896480,"-35,062.12 "
Department of Health,Lewisham and Greenwich NHS Trust,31/05/2020,Direct Labour,Balance Sheet,ME CONSTRUCTION LTD,33949790,"226,842.00 "
Department of Health,Lewisham and Greenwich NHS Trust,31/05/2020,Direct Labour,Balance Sheet,CLIFFORD DEVLIN LTD,33963491,"97,790.54 "
Department of Health,Lewisham and Greenwich NHS Trust,31/05/2020,Capital Non Pay Costs,Balance Sheet,ARJO UK LTD,34057856,"83,912.40 "
Department of Health,Lewisham and Greenwich NHS Trust,31/05/2020,Contr Other External,SECURITY (UHL),CIS SECURITY LTD,34099851,"44,210.08 "
Department of Health,Lewisham and Greenwich NHS Trust,31/05/2020,Contr Other External,SECURITY (UHL),CIS SECURITY LTD,34099852,"44,210.08 "
Department of Health,Lewisham and Greenwich NHS Trust,31/05/2020,Bldg/Eng Equip Maint/Rep,MAINT ENGINEERING (UHL),CLC FACILITIES LTD,34112177,"56,426.60 "
Department of Health,Lewisham and Greenwich NHS Trust,31/05/2020,Direct Labour,Balance Sheet,DELL CORPORATION LTD,34131124,"40,426.25 "
Department of Health,Lewisham and Greenwich NHS Trust,31/05/2020,Direct Labour,Balance Sheet,DELL CORPORATION LTD,34139608,"25,125.00 "
Department of Health,Lewisham and Greenwich NHS Trust,31/05/2020,Med & Surg Maint Contract,CARDIOLOGY CLINIC - ECG,SUPPLY CHAIN COORDINATION LIMITED,34193388,"30,931.16 "
Department of Health,Lewisham and Greenwich NHS Trust,31/05/2020,Capital Non Pay Costs,Balance Sheet,GE MEDICAL SYSTEMS LTD,34206352,"134,107.52 "
Department of Health,Lewisham and Greenwich NHS Trust,31/05/2020,Capital Non Pay Costs,Balance Sheet,GE MEDICAL SYSTEMS LTD,34206353,"183,953.00 "
Department of Health,Lewisham and Greenwich NHS Trust,31/05/2020,Direct Labour,Balance Sheet,DELL CORPORATION LTD,34206384,"37,800.00 "
Department of Health,Lewisham and Greenwich NHS Trust,31/05/2020,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,34214994,"105,614.01 "
Department of Health,Lewisham and Greenwich NHS Trust,31/05/2020,Electricity,ENERGY (UHL),EDF ENERGY 1 LTD,34214995,"91,650.07 "
Department of Health,Lewisham and Greenwich NHS Trust,31/05/2020,Stocks Finished Goods,Balance Sheet,ALLOGA UK LTD,34238381,"27,120.00 "
Department of Health,Lewisham and Greenwich NHS Trust,31/05/2020,Consultant,Med Staff - CYP Surgery,GUYS&ST THOMAS NHS FOUNDATION TRUST,34250972,"370,420.49 "
Department of Health,Lewisham and Greenwich NHS Trust,31/05/2020,Computer Maintenance,ICT TELECOMMS (QEH),ATOS IT SERVICES UK LTD,34251059,"100,150.85 "
Department of Health,Lewisham and Greenwich NHS Trust,31/05/2020,Contr Other External,PATIENT TRANSPORT (UHL),G4S FACILITIES MANAGEMENT (UK) LTD,34254705,"108,570.00 "
Department of Health,Lewisham and Greenwich NHS Trust,31/05/2020,Other Transport Costs,PATIENT TRANSPORT (QEH),G4S FACILITIES MANAGEMENT (UK) LTD,34254709,"111,671.23 "
Department of Health,Lewisham and Greenwich NHS Trust,31/05/2020,Equip Maint Contracts,RADIOLOGY MAINTENANCE (UHL),SUPPLY CHAIN COORDINATION LIMITED,34258172,"27,839.88 "
Department of Health,Lewisham and Greenwich NHS Trust,31/05/2020,Agency Nursing: Band 5,WORKFORCE SUPPORT (FLOAT TEAM),CARE PROVIDERS RECRUITMENT LTD,34267725,"208,825.35 "
Department of Health,Lewisham and Greenwich NHS Trust,31/05/2020,Cleaning Equipment,COVID-19 COSTS,58 GIN LTD,34269290,"25,500.00 "
Department of Health,Lewisham and Greenwich NHS Trust,31/05/2020,Med & Surg Equip General,COVID-19 COSTS,SUPPLY CHAIN COORDINATION LIMITED,34280541,"32,994.73 "
Department of Health,Lewisham and Greenwich NHS Trust,31/05/2020,Direct Labour,Balance Sheet,VINCI CONSTRUCTION UK LTD,34280683,"227,969.32 "
Department of Health,Lewisham and Greenwich NHS Trust,31/05/2020,Computer Maintenance,ICT SYSTEM SUPPORT (UHL),CERNER LTD,34281586,"60,852.05 "
Department of Health,Lewisham and Greenwich NHS Trust,31/05/2020,Med & Surg Equip General,COVID-19 COSTS,SPACELABS HEALTHCARE LTD,34282010,"70,853.67 "
Department of Health,Lewisham and Greenwich NHS Trust,31/05/2020,Capital Non Pay Costs,Balance Sheet,GE MEDICAL SYSTEMS LTD,34292986,"72,196.74 "
Department of Health,Lewisham and Greenwich NHS Trust,31/05/2020,Capital Non Pay Costs,Balance Sheet,GE MEDICAL SYSTEMS LTD,34292987,"72,196.74 "
Department of Health,Lewisham and Greenwich NHS Trust,31/05/2020,Laboratory Reagents,Biochemistry,THERMO FISHER DIAGNOSTIC LTD,34294824,"69,807.59 "
Department of Health,Lewisham and Greenwich NHS Trust,31/05/2020,Laboratory Reagents,Biochemistry,THERMO FISHER DIAGNOSTIC LTD,34294837,"73,301.05 "
