Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,Lewisham and Greenwich NHS Trust,31/10/2020,Recruitment Agency Fees,N.C.Q. DIRECTORATE MANAGEMENT,DRAKE PERSONNEL LTD,33585687,"29,700.00 "
Department of Health,Lewisham and Greenwich NHS Trust,31/10/2020,Recruitment Agency Fees,N.C.Q. DIRECTORATE MANAGEMENT,DRAKE PERSONNEL LTD,34663100,"44,000.00 "
Department of Health,Lewisham and Greenwich NHS Trust,31/10/2020,Recruitment Agency Fees,N.C.Q. DIRECTORATE MANAGEMENT,DRAKE PERSONNEL LTD,34663101,"94,000.00 "
Department of Health,Lewisham and Greenwich NHS Trust,31/10/2020,Recruitment Agency Fees,N.C.Q. DIRECTORATE MANAGEMENT,DRAKE PERSONNEL LTD,34663103,"30,905.49 "
Department of Health,Lewisham and Greenwich NHS Trust,31/10/2020,Continence Products,BLADDER AND BOWEL (COM),ONTEX HEALTHCARE UK LTD,34783109,"30,977.62 "
Department of Health,Lewisham and Greenwich NHS Trust,31/10/2020,Continence Products,BLADDER AND BOWEL (COM),ONTEX HEALTHCARE UK LTD,34971649,"34,293.30 "
Department of Health,Lewisham and Greenwich NHS Trust,31/10/2020,Capital Non Pay Costs,Balance Sheet,CERNER LTD,34988614,"2,287,462.86 "
Department of Health,Lewisham and Greenwich NHS Trust,31/10/2020,Capital Non Pay Costs,Balance Sheet,CERNER LTD,34988614,"457,492.57 "
Department of Health,Lewisham and Greenwich NHS Trust,31/10/2020,Direct Labour,Balance Sheet,CERNER LTD,34988614,"-457,492.57 "
Department of Health,Lewisham and Greenwich NHS Trust,31/10/2020,Recruitment Agency Fees,N.C.Q. DIRECTORATE MANAGEMENT,DRAKE PERSONNEL LTD,35102304,"36,300.00 "
Department of Health,Lewisham and Greenwich NHS Trust,31/10/2020,Contr Other External,SECURITY (UHL),CIS SECURITY LTD,35303704,"44,210.08 "
Department of Health,Lewisham and Greenwich NHS Trust,31/10/2020,Recruitment Agency Fees,N.C.Q. DIRECTORATE MANAGEMENT,DRAKE PERSONNEL LTD,35467385,"29,700.00 "
Department of Health,Lewisham and Greenwich NHS Trust,31/10/2020,Postage & Carriage,FACILITIES MANAGEMENT,SWISS POST SOLUTIONS LTD,35562879,"25,857.83 "
Department of Health,Lewisham and Greenwich NHS Trust,31/10/2020,Contr Other External,SECURITY (UHL),CIS SECURITY LTD,35562889,"44,210.08 "
Department of Health,Lewisham and Greenwich NHS Trust,31/10/2020,Contr Other External,PATIENT TRANSPORT (UHL),G4S FACILITIES MANAGEMENT (UK) LTD,35587197,"111,827.10 "
Department of Health,Lewisham and Greenwich NHS Trust,31/10/2020,Contr Other External,PATIENT TRANSPORT (UHL),G4S FACILITIES MANAGEMENT (UK) LTD,35587290,"111,827.10 "
Department of Health,Lewisham and Greenwich NHS Trust,31/10/2020,Continence Products,BLADDER AND BOWEL (COM),ONTEX HEALTHCARE UK LTD,35615537,"31,896.67 "
Department of Health,Lewisham and Greenwich NHS Trust,31/10/2020,Laboratory Reagents,Histology,CHRYSTAL CONSULTING LTD,35641594,"27,573.52 "
Department of Health,Lewisham and Greenwich NHS Trust,31/10/2020,Laboratory Bottles & Cont,General Pathology - W,CHRYSTAL CONSULTING LTD,35693087,"95,446.59 "
Department of Health,Lewisham and Greenwich NHS Trust,31/10/2020,Laboratory Reagents,Microbiology,CHRYSTAL CONSULTING LTD,35693087,"42,011.38 "
Department of Health,Lewisham and Greenwich NHS Trust,31/10/2020,Laboratory Bottles & Cont,General Pathology - W,CHRYSTAL CONSULTING LTD,35693106,"89,645.45 "
Department of Health,Lewisham and Greenwich NHS Trust,31/10/2020,Laboratory Reagents,Microbiology,CHRYSTAL CONSULTING LTD,35693106,"31,833.10 "
Department of Health,Lewisham and Greenwich NHS Trust,31/10/2020,Direct Labour,Balance Sheet,MERIDIAN HOSPITAL COMPANY,35726469,"-41,262.81 "
Department of Health,Lewisham and Greenwich NHS Trust,31/10/2020,Capital Non Pay Costs,Balance Sheet,TEAL FURNITURE LTD,35726495,"46,648.80 "
Department of Health,Lewisham and Greenwich NHS Trust,31/10/2020,Capital Non Pay Costs,Balance Sheet,TEAL FURNITURE LTD,35726496,"68,088.40 "
Department of Health,Lewisham and Greenwich NHS Trust,31/10/2020,Enteral Feeding,HEN,NUTRICIA LTD,35727336,"52,723.15 "
Department of Health,Lewisham and Greenwich NHS Trust,31/10/2020,Agency Nursing: Band 5,WORKFORCE SUPPORT (FLOAT TEAM),TRUST NURSE SERVICES LTD,35731264,"112,821.56 "
Department of Health,Lewisham and Greenwich NHS Trust,31/10/2020,Car Park Revenue,SOFT F.M. VARIABLE (QEH),ISS MEDICLEAN LTD,35736108,"-46,368.36 "
