Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,Lewisham and Greenwich NHS Trust,31/01/2021,Med & Surg Maint Contract,CARDIOLOGY CLINIC - ECG,CHANGE HEALTHCARE UK HOLDINGS LTD,35178495,"41,076.35 "
Department of Health,Lewisham and Greenwich NHS Trust,31/01/2021,Computer Maintenance,ICT SYSTEM SUPPORT (UHL),SERVELEC HEALTHCARE LTD,36712566,"84,682.50 "
Department of Health,Lewisham and Greenwich NHS Trust,31/01/2021,Continence Products,BLADDER AND BOWEL (COM),ONTEX HEALTHCARE UK LTD,36713364,"29,865.07 "
Department of Health,Lewisham and Greenwich NHS Trust,31/01/2021,Info Tech Security Costs,DATA QUALITY AND INFORMATION SYSTEMS,SOFTCAT PLC,36748820,"72,794.51 "
Department of Health,Lewisham and Greenwich NHS Trust,31/01/2021,Info Tech Security Costs,DATA QUALITY AND INFORMATION SYSTEMS,SOFTCAT PLC,36748820,"63,179.36 "
Department of Health,Lewisham and Greenwich NHS Trust,31/01/2021,Payroll Ded'ns N/S Curr,Balance Sheet,CROWNSAVERS CREDIT UNION,36790181,"103,916.14 "
Department of Health,Lewisham and Greenwich NHS Trust,31/01/2021,Consultant,MEDICAL STAFFING RADIOLOGY (UHL),GUYS&ST THOMAS NHS FOUNDATION TRUST,36792712,"27,856.67 "
Department of Health,Lewisham and Greenwich NHS Trust,31/01/2021,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,36793423,"184,714.76 "
Department of Health,Lewisham and Greenwich NHS Trust,31/01/2021,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,36793443,"198,985.57 "
Department of Health,Lewisham and Greenwich NHS Trust,31/01/2021,Security Payments,SOFT F.M. FIXED (QEH),ISS MEDICLEAN LTD,36793444,"87,861.67 "
Department of Health,Lewisham and Greenwich NHS Trust,31/01/2021,Security Payments,SOFT F.M. FIXED (QEH),ISS MEDICLEAN LTD,36793455,"-87,861.67 "
Department of Health,Lewisham and Greenwich NHS Trust,31/01/2021,Contr Other External,PATIENT TRANSPORT (UHL),G4S FACILITIES MANAGEMENT (UK) LTD,36806001,"49,652.37 "
Department of Health,Lewisham and Greenwich NHS Trust,31/01/2021,Other Transport Costs,PATIENT TRANSPORT (QEH),G4S FACILITIES MANAGEMENT (UK) LTD,36806003,"117,930.42 "
