Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,Lewisham and Greenwich NHS Trust,31/03/2021,Gas,ENERGY (QEH),MERIDIAN HOSPITAL COMPANY,37005569,"45,314.18 "
Department of Health,Lewisham and Greenwich NHS Trust,31/03/2021,Contr Estate Management,PFI HARD FIXED (QEH),MERIDIAN HOSPITAL COMPANY,37230195,"34,528.52 "
Department of Health,Lewisham and Greenwich NHS Trust,31/03/2021,Computer Hardware Purch,I.C.T. MANAGEMENT,PARITY MEDICAL LTD,37365747,"25,920.00 "
Department of Health,Lewisham and Greenwich NHS Trust,31/03/2021,Laboratory Reagents,HAEMATOLOGY (QEH),CHRYSTAL CONSULTING LTD,37365811,"90,480.07 "
Department of Health,Lewisham and Greenwich NHS Trust,31/03/2021,Contr Refuse & Clin Waste,WASTE (QEH),ISS MEDICLEAN LTD,37397300,"37,538.53 "
Department of Health,Lewisham and Greenwich NHS Trust,31/03/2021,Ext Contr Catering,CATERING (QEH),ISS MEDICLEAN LTD,37397300,"240,272.70 "
Department of Health,Lewisham and Greenwich NHS Trust,31/03/2021,Ext Contr Catering,CATERING (QEH),ISS MEDICLEAN LTD,37397300,"48,054.54 "
Department of Health,Lewisham and Greenwich NHS Trust,31/03/2021,Ext Contr Domestics,HOUSEKEEPING (QEH),ISS MEDICLEAN LTD,37397300,"261,970.62 "
Department of Health,Lewisham and Greenwich NHS Trust,31/03/2021,Ext Contr Domestics,HOUSEKEEPING (QEH),ISS MEDICLEAN LTD,37397300,"52,394.12 "
Department of Health,Lewisham and Greenwich NHS Trust,31/03/2021,Ext Contr Laundry,LINEN AND LAUNDRY (QEH),ISS MEDICLEAN LTD,37397300,"65,831.44 "
Department of Health,Lewisham and Greenwich NHS Trust,31/03/2021,Ext Contr Oth Hotel Srv,MGT AND HELPDESK (QEH),ISS MEDICLEAN LTD,37397300,"124,523.54 "
Department of Health,Lewisham and Greenwich NHS Trust,31/03/2021,Ext Contr Oth Hotel Srv,PORTERING (QEH),ISS MEDICLEAN LTD,37397300,"127,459.57 "
Department of Health,Lewisham and Greenwich NHS Trust,31/03/2021,Ext Contr Oth Hotel Srv,PORTERING (QEH),ISS MEDICLEAN LTD,37397300,"25,491.91 "
Department of Health,Lewisham and Greenwich NHS Trust,31/03/2021,Contr Refuse & Clin Waste,WASTE (UHL),ISS MEDICLEAN LTD,37397305,"37,977.84 "
Department of Health,Lewisham and Greenwich NHS Trust,31/03/2021,Ext Contr Catering,CATERING (UHL),ISS MEDICLEAN LTD,37397305,"257,156.20 "
Department of Health,Lewisham and Greenwich NHS Trust,31/03/2021,Ext Contr Catering,CATERING (UHL),ISS MEDICLEAN LTD,37397305,"51,431.24 "
Department of Health,Lewisham and Greenwich NHS Trust,31/03/2021,Ext Contr Domestics,HOUSEKEEPING (UHL),ISS MEDICLEAN LTD,37397305,"273,876.73 "
Department of Health,Lewisham and Greenwich NHS Trust,31/03/2021,Ext Contr Domestics,HOUSEKEEPING (UHL),ISS MEDICLEAN LTD,37397305,"54,775.35 "
Department of Health,Lewisham and Greenwich NHS Trust,31/03/2021,Ext Contr Laundry,LINEN AND LAUNDRY (UHL),ISS MEDICLEAN LTD,37397305,"63,725.78 "
Department of Health,Lewisham and Greenwich NHS Trust,31/03/2021,Ext Contr Oth Hotel Srv,MGT AND HELPDESK (UHL),ISS MEDICLEAN LTD,37397305,"120,176.79 "
Department of Health,Lewisham and Greenwich NHS Trust,31/03/2021,Ext Contr Oth Hotel Srv,PORTERING (UHL),ISS MEDICLEAN LTD,37397305,"125,542.82 "
Department of Health,Lewisham and Greenwich NHS Trust,31/03/2021,Ext Contr Oth Hotel Srv,PORTERING (UHL),ISS MEDICLEAN LTD,37397305,"25,108.56 "
Department of Health,Lewisham and Greenwich NHS Trust,31/03/2021,Contr Other External,CATERING (QEH),ISS MEDICLEAN LTD,37397307,"65,345.85 "
Department of Health,Lewisham and Greenwich NHS Trust,31/03/2021,Capital Non Pay Costs,Balance Sheet,CERNER LTD,37407404,"265,639.00 "
Department of Health,Lewisham and Greenwich NHS Trust,31/03/2021,Capital Non Pay Costs,Balance Sheet,CERNER LTD,37407404,"53,127.80 "
Department of Health,Lewisham and Greenwich NHS Trust,31/03/2021,Gas,ENERGY (QEH),MERIDIAN HOSPITAL COMPANY,37408256,"-46,900.87 "
Department of Health,Lewisham and Greenwich NHS Trust,31/03/2021,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,37408286,"138,896.20 "
Department of Health,Lewisham and Greenwich NHS Trust,31/03/2021,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,37408303,"155,133.77 "
Department of Health,Lewisham and Greenwich NHS Trust,31/03/2021,Computer Hardware Purch,COVID-19 COSTS,DELL CORPORATION LTD,37408744,"43,500.00 "
Department of Health,Lewisham and Greenwich NHS Trust,31/03/2021,Computer Hardware Purch,COVID-19 COSTS,DELL CORPORATION LTD,37416565,"43,500.00 "
Department of Health,Lewisham and Greenwich NHS Trust,31/03/2021,Laboratory Reagents,Biochemistry,THERMO FISHER DIAGNOSTIC LTD,37427512,"50,000.00 "
Department of Health,Lewisham and Greenwich NHS Trust,31/03/2021,Services Received - NHSTs,I.C.T. MANAGEMENT,NHS NEL CSU,37436524,"168,000.00 "
Department of Health,Lewisham and Greenwich NHS Trust,31/03/2021,PHYSIOTHERAPIST BAND 8A,CALM (UHL),SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,37439395,"33,067.37 "
