Department,Entity,Date,Expenses Area,Expenses Type,Supplier,Transaction Reference,Their Reference,Amount
Department of Health,London North West Healthcare NHS Trust,18/06/2020,Capital,Equipment,Omnicell Ltd,1290014,3674,"109,080.00"
Department of Health,London North West Healthcare NHS Trust,18/06/2020,Theatres N.P.H,Uniforms,The Age Of Aquarius Ltd,1270140,1,"26,400.00"
Department of Health,London North West Healthcare NHS Trust,10/06/2020,Id Screening,Medical Equipment,The Income Generation Company (Tig Ltd),1272183,2,"98,582.40"
Department of Health,London North West Healthcare NHS Trust,03/06/2020,Balance Sheet Lnwh,Salary Sacrifice White Goods,Akira Financial Limited,1098294,100597,"45,990.36"
Department of Health,London North West Healthcare NHS Trust,24/06/2020,Id Screening,General Instruments,Sccl-Nhs Supply Chain Roarp-Consumables,1293320,1010266320,"37,840.69"
Department of Health,London North West Healthcare NHS Trust,10/06/2020,Id Screening,General Instruments,Whi Safeguard Limited,1266339,1054,"40,320.00"
Department of Health,London North West Healthcare NHS Trust,18/06/2020,Car Parking N.W.L,C.M.H. Car Parking Contract,Apcoa Facilities Management (Uk) Limited,1279709,107056,"193,694.40"
Department of Health,London North West Healthcare NHS Trust,24/06/2020,Capital,Equipment,Medtronic Ltd,1259894,1099769815,"83,154.00"
Department of Health,London North West Healthcare NHS Trust,10/06/2020,Cardiology Investigationsn.W.L,General Instruments,Medtronic Ltd,1280183,1099814807,"289,290.12"
Department of Health,London North West Healthcare NHS Trust,10/06/2020,Cardiology Investigationsn.W.L,Pacemakers,Medtronic Ltd,1280183,1099814807,"279,417.60"
Department of Health,London North West Healthcare NHS Trust,18/06/2020,I M & T Support Maintenance,Software Purchases \ Licences,Armadillo Managed Services Ltd,1282739,11721,"25,333.20"
Department of Health,London North West Healthcare NHS Trust,10/06/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Roche Products Ltd,1289197,1322138850,"49,094.50"
Department of Health,London North West Healthcare NHS Trust,10/06/2020,I M & T Support Maintenance,Software Purchases \ Licences,Made Tech Limited,1277629,1323,"35,999.83"
Department of Health,London North West Healthcare NHS Trust,18/06/2020,Post Room N.P.H,Postage,Pitney Bowes Limited - Franking,1292826,13755574 MAY20,"25,000.00"
Department of Health,London North West Healthcare NHS Trust,04/06/2020,E.B.M.E.,E.B.M.E Contract,Bcas Bio Medical Services Ltd,1275841,13794,"210,000.00"
Department of Health,London North West Healthcare NHS Trust,10/06/2020,Id Screening,General Instruments,Whi Safeguard Limited,1288494,1478,"33,600.01"
Department of Health,London North West Healthcare NHS Trust,10/06/2020,Id Screening,Patients' Clothing,Specialist Door Solutions Ltd,1267999,16982,"64,950.00"
Department of Health,London North West Healthcare NHS Trust,10/06/2020,Id Screening,Patients' Clothing,Specialist Door Solutions Ltd,1280346,17073,"32,475.00"
Department of Health,London North West Healthcare NHS Trust,24/06/2020,Id Screening,Patients' Clothing,Specialist Door Solutions Ltd,1284713,17106,"48,712.50"
Department of Health,London North West Healthcare NHS Trust,04/06/2020,Endoscopy N.P.H,Clinical Services Received,Genmed.Me Ltd,1275541,17447,"56,827.56"
Department of Health,London North West Healthcare NHS Trust,10/06/2020,Procurement,It Leases,Genmed.Me Ltd,1275545,17452,"138,711.98"
Department of Health,London North West Healthcare NHS Trust,04/06/2020,Capital,Equipment,Baxter Healthcare Ltd,1273422,20092802,"29,520.00"
Department of Health,London North West Healthcare NHS Trust,18/06/2020,Radiology N.P.H,Medical Equip Repairs & Maint,Sccl-Nhs Supply Chain Maintenance,1263555,2010007892,"51,587.96"
Department of Health,London North West Healthcare NHS Trust,10/06/2020,Radiology E.H,Medical Equip Repairs & Maint,Sccl-Nhs Supply Chain Maintenance,1279106,2121000691,"53,980.93"
Department of Health,London North West Healthcare NHS Trust,10/06/2020,Radiology N.P.H,Medical Equip Repairs & Maint,Sccl-Nhs Supply Chain Maintenance,1279107,2121000865,"66,317.46"
Department of Health,London North West Healthcare NHS Trust,24/06/2020,Urology C.M.H,Medical Equip Repairs & Maint,Sccl-Nhs Supply Chain Maintenance,1285380,2121001135,"68,465.68"
Department of Health,London North West Healthcare NHS Trust,24/06/2020,Theatres N.P.H,Medical Equip Repairs & Maint,Sccl-Nhs Supply Chain Maintenance,1285381,2121001136,"92,691.33"
Department of Health,London North West Healthcare NHS Trust,24/06/2020,Radiology E.H,Medical Equip Repairs & Maint,Sccl-Nhs Supply Chain Maintenance,1285371,2121001201,"63,256.80"
Department of Health,London North West Healthcare NHS Trust,10/06/2020,Estates\Facilities Management,Legal Fees,Trowers & Hamlins Llp,1277654,2993076,"32,646.60"
Department of Health,London North West Healthcare NHS Trust,24/06/2020,Capital,Equipment,Maquet Limited,1285667,3129088342,"92,999.98"
Department of Health,London North West Healthcare NHS Trust,18/06/2020,I M & T Support Maintenance,Hardware Maintenance,Daisy Corporate Services Trading Limited,1263990,3/I453006,"26,930.40"
Department of Health,London North West Healthcare NHS Trust,10/06/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Dialachemist Ltd T/A Springmed Solutions,1286654,42942,"29,160.00"
Department of Health,London North West Healthcare NHS Trust,24/06/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Boehringer Ingelheim Ltd,1289111,501030936,"36,828.00"
Department of Health,London North West Healthcare NHS Trust,10/06/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Boehringer Ingelheim Ltd,1283960,5010390028,"32,004.00"
Department of Health,London North West Healthcare NHS Trust,24/06/2020,Id Screening,General Instruments,Toffeln Limited,1266696,528917,"186,600.00"
Department of Health,London North West Healthcare NHS Trust,04/06/2020,Communications (Phones),Mobile Phone Call Chgs\Rental,Bt Global Services,1272177,533662,"25,670.40"
Department of Health,London North West Healthcare NHS Trust,04/06/2020,Communications (Phones),Mobile Phone Call Chgs\Rental,Bt Global Services,1272178,533663,"25,670.40"
Department of Health,London North West Healthcare NHS Trust,10/06/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Aah Pharmaceuticals Limited,1283868,53598479Q,"48,523.68"
Department of Health,London North West Healthcare NHS Trust,24/06/2020,Cardiology Investigationsn.W.L,Uniforms,Toffeln Limited,1285419,539427,"148,262.40"
Department of Health,London North West Healthcare NHS Trust,24/06/2020,Id Screening,Protective Clothing,Toffeln Limited,1288567,540919,"102,999.60"
Department of Health,London North West Healthcare NHS Trust,24/06/2020,Id Screening,Protective Clothing,Toffeln Limited,1289927,541861,"102,999.60"
Department of Health,London North West Healthcare NHS Trust,04/06/2020,Id Screening,Uniforms,Matz Medical Ltd,1279846,5770,"78,000.00"
