Department,Entity,Date,Expenses Area,Expenses Type,Supplier,Transaction Reference,Their Reference,Amount
Department of Health,London North West Healthcare NHS Trust,07/10/2020,Capital,Software,Omnicell Ltd,1324903,6893,"91,200.00"
Department of Health,London North West Healthcare NHS Trust,07/10/2020,Capital,I.C.T Hardware,Parity Medical,1320481,15671,"236,126.70"
Department of Health,London North West Healthcare NHS Trust,23/10/2020,H.R.  Services N.W.L,Work Permits,Lloyds Tsb,1353809,1246002091,"27,461.00"
Department of Health,London North West Healthcare NHS Trust,28/10/2020,Utilities N.P.H,Water And Sewerage,Castle Water Limited,1333930,2482109,"63,959.73"
Department of Health,London North West Healthcare NHS Trust,28/10/2020,I M & T Support Maintenance,Hardware Maintenance,Bt Global Services,1072436,790275447,"253,391.40"
Department of Health,London North West Healthcare NHS Trust,07/10/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Janssen Cilag Limited,1327005,930684824,"26,956.80"
Department of Health,London North West Healthcare NHS Trust,07/10/2020,Balance Sheet Lnwh,Salary Sacrifice White Goods,Akira Financial Limited,1170572,100690,"40,375.92"
Department of Health,London North West Healthcare NHS Trust,21/10/2020,Capital,Estates/Building Works,Dc Emergency Systems Ltd,1330869,1015362,"30,000.00"
Department of Health,London North West Healthcare NHS Trust,28/10/2020,Capital,Estates/Building Works,Kier Construction Limited,1332649,10237306,"132,363.26"
Department of Health,London North West Healthcare NHS Trust,14/10/2020,Car Parking N.W.L,Car Parking,Apcoa Facilities Management (Uk) Limited,1328957,107073,"193,694.40"
Department of Health,London North West Healthcare NHS Trust,28/10/2020,Capital,Estates/Building Works,Vm Construction Ltd,1332549,11270,"202,593.46"
Department of Health,London North West Healthcare NHS Trust,28/10/2020,Estates & Services N.P.H,Equipment Hire,Vm Construction Ltd,1346595,11281,"27,406.08"
Department of Health,London North West Healthcare NHS Trust,28/10/2020,Estates & Services N.P.H,Equipment Hire,Vm Construction Ltd,1346596,11282,"27,406.08"
Department of Health,London North West Healthcare NHS Trust,28/10/2020,Estates & Services N.P.H,Equipment Hire,Vm Construction Ltd,1346597,11283,"27,406.08"
