Department,Entity,Date,Expenses Area,Expenses Type,Supplier,Transaction Reference,Their Reference,Amount
Department of Health,London North West Healthcare NHS Trust,14/01/2021,H.R.  Services N.W.L,Work Permits,Lloyds Tsb,1391995,1529002509,"47,179.00"
Department of Health,London North West Healthcare NHS Trust,06/01/2021,Balance Sheet Lnwh,Pharmacy Stock Purchases,Janssen Cilag Limited,1379068,930709954,"25,499.28"
Department of Health,London North West Healthcare NHS Trust,13/01/2021,Balance Sheet Lnwh,Pharmacy Stock Purchases,Janssen Cilag Limited,1382150,930711345,"35,212.39"
Department of Health,London North West Healthcare NHS Trust,06/01/2021,Balance Sheet Lnwh,Salary Sacrifice White Goods,Akira Financial Limited,1221895,100780,"79,864.20"
Department of Health,London North West Healthcare NHS Trust,13/01/2021,Capital,Estates/Building Works,Dc Emergency Systems Ltd,1379778,1015642,"27,298.80"
Department of Health,London North West Healthcare NHS Trust,20/01/2021,Capital,Estates/Building Works,Kier Construction Limited,1391210,10244714,"82,566.31"
Department of Health,London North West Healthcare NHS Trust,27/01/2021,Capital,Equipment,Siemens Healthcare,1385791,1051091602,"543,688.80"
Department of Health,London North West Healthcare NHS Trust,20/01/2021,Car Parking N.W.L,N.P.H. Car Parking Contract,Apcoa Facilities Management (Uk) Limited,1388333,107092,"63,680.00"
Department of Health,London North West Healthcare NHS Trust,06/01/2021,I M & T Support Maintenance,Software Purchases \ Licences,Vantage Diagnostics,1376891,1098,"576,000.00"
Department of Health,London North West Healthcare NHS Trust,20/01/2021,Capital,Estates/Building Works,E J Ruby Plumbing Contractors,1376541,11015,"75,060.00"
Department of Health,London North West Healthcare NHS Trust,06/01/2021,Capital,Estates/Building Works,E J Ruby Plumbing Contractors,1379907,11018,"38,646.00"
Department of Health,London North West Healthcare NHS Trust,06/01/2021,Capital,Estates/Building Works,E J Ruby Plumbing Contractors,1377997,11019,"44,700.00"
Department of Health,London North West Healthcare NHS Trust,13/01/2021,Endoscopy N.P.H,General Instruments,Sccl-Nhs Supply Chain Roarp-Consumables,1383046,1121161804,"47,568.67"
Department of Health,London North West Healthcare NHS Trust,20/01/2021,Urology C.M.H,Medical Equip Repairs & Maint,Storz Medical (Uk) Ltd,1384258,1128,"28,800.00"
Department of Health,London North West Healthcare NHS Trust,20/01/2021,Capital,Estates/Building Works,Vm Construction Ltd,1383172,11335,"69,420.00"
Department of Health,London North West Healthcare NHS Trust,20/01/2021,Capital,Estates/Building Works,Vm Construction Ltd,1384812,11346,"94,050.00"
Department of Health,London North West Healthcare NHS Trust,20/01/2021,I M & T Support Maintenance,Software Purchases \ Licences,The Phoenix Partnership,1341798,11777,"194,022.99"
Department of Health,London North West Healthcare NHS Trust,13/01/2021,Capital,Estates/Building Works,Excel Contractors Ltd,1379781,12802,"233,935.08"
Department of Health,London North West Healthcare NHS Trust,06/01/2021,Balance Sheet Lnwh,Pharmacy Stock Purchases,Roche Products Ltd,1379095,1322165648,"25,562.11"
Department of Health,London North West Healthcare NHS Trust,13/01/2021,Balance Sheet Lnwh,Pharmacy Stock Purchases,Roche Products Ltd,1382181,1322166689,"35,689.22"
Department of Health,London North West Healthcare NHS Trust,13/01/2021,Post Room N.P.H,Postage,Pitney Bowes Limited - Franking,1380090,13755574 DEC20,"25,000.00"
Department of Health,London North West Healthcare NHS Trust,27/01/2021,Post Room N.P.H,Postage,Pitney Bowes Limited - Franking,1396532,13755574 JAN21,"25,000.00"
Department of Health,London North West Healthcare NHS Trust,20/01/2021,Endoscopy N.P.H,General Instruments,Vanguard Healthcare Solutions Limited,1385914,14064,"115,579.68"
Department of Health,London North West Healthcare NHS Trust,20/01/2021,Capital,Estates/Building Works,Bassaire Cleanrooms Limited,1384539,1662,"62,918.02"
Department of Health,London North West Healthcare NHS Trust,06/01/2021,Managed Print,Managed Print,Genmed.Me Ltd,1371317,18165,"136,071.91"
Department of Health,London North West Healthcare NHS Trust,06/01/2021,Managed Print,Managed Print,Genmed.Me Ltd,1371320,18166,"138,711.98"
Department of Health,London North West Healthcare NHS Trust,06/01/2021,Managed Print,Managed Print,Genmed.Me Ltd,1371323,18167,"136,071.91"
Department of Health,London North West Healthcare NHS Trust,06/01/2021,Managed Print,Managed Print,Genmed.Me Ltd,1371318,18168,"138,711.98"
Department of Health,London North West Healthcare NHS Trust,13/01/2021,Radiology E.H,Medical Equip Repairs & Maint,Sccl-Nhs Supply Chain Maintenance,1379816,2121004822,"63,256.80"
Department of Health,London North West Healthcare NHS Trust,06/01/2021,Utilities E.H,Rates,Ealing London Borough Council,1263708,2155274-20/21,"931,000.00"
Department of Health,London North West Healthcare NHS Trust,06/01/2021,Capital,Estates/Building Works,D Santer T/A Totalworth Building Services,1375436,247,"217,510.80"
Department of Health,London North West Healthcare NHS Trust,20/01/2021,Patient Transport Contract,Patient Transport Contract,Apcoa Parking ( Uk ) Limited,1384221,285881,"250,000.00"
Department of Health,London North West Healthcare NHS Trust,20/01/2021,Capital,Estates/Building Works,Apcoa Parking ( Uk ) Limited,1384222,285882,"300,000.00"
Department of Health,London North West Healthcare NHS Trust,13/01/2021,Capital,Estates/Building Works,Apcoa Parking ( Uk ) Limited,1386115,285970,"1,023,562.20"
Department of Health,London North West Healthcare NHS Trust,06/01/2021,Rates C.M.H,Rates,Brent London Borough Council (Rates),1265010,3074280620/21,"1,239,560.00"
Department of Health,London North West Healthcare NHS Trust,06/01/2021,Rates N.P.H,Rates,Brent London Borough Council (Rates),1265011,3286351820/21,"89,376.00"
Department of Health,London North West Healthcare NHS Trust,20/01/2021,Capital,Furniture & Fittings,Arjo Uk Ltd,1331731,3392339147,"27,093.65"
Department of Health,London North West Healthcare NHS Trust,20/01/2021,Bed Hire Contract N.W.L,Bed Hire,Arjo Uk Ltd,1332527,3392340099,"43,329.82"
Department of Health,London North West Healthcare NHS Trust,20/01/2021,Bed Hire Contract N.W.L,Bed Hire,Arjo Uk Ltd,1384202,3392481307,"43,329.82"
Department of Health,London North West Healthcare NHS Trust,27/01/2021,Bed Hire Contract N.W.L,Bed Hire,Arjo Uk Ltd,1386134,3392484955,"108,505.80"
Department of Health,London North West Healthcare NHS Trust,13/01/2021,Capital,Estates/Building Works,Seville Developments Ltd,1380570,3750,"344,400.00"
Department of Health,London North West Healthcare NHS Trust,20/01/2021,Capital,Estates/Building Works,Seville Developments Ltd,1384266,3788,"149,400.00"
