Department,Entity,Date,Expenses Area,Expenses Type,Supplier,Transaction Reference,Their Reference,Amount
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Capital,Equipment,Omnicell Ltd,1408547,7244,"32,311.20"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Capital,Equipment,Omnicell Ltd,1408542,7245,"61,665.60"
Department of Health,London North West Healthcare NHS Trust,22/02/2021,H.R.  Services N.W.L,Work Permits,Lloyds Tsb,1408424,1182001924,"56,577.00"
Department of Health,London North West Healthcare NHS Trust,10/02/2021,Estates\Facilities Management,Non Medical Negligence Costs,Thompsons Solicitors Llp - Damages,1402154,5022021,"40,000.00"
Department of Health,London North West Healthcare NHS Trust,17/02/2021,Balance Sheet Lnwh,Pharmacy Stock Purchases,Janssen Cilag Limited,1396933,930719731,"32,462.54"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Balance Sheet Lnwh,Pharmacy Stock Purchases,Janssen Cilag Limited,1400052,930721285,"25,974.82"
Department of Health,London North West Healthcare NHS Trust,03/02/2021,Balance Sheet Lnwh,Salary Sacrifice White Goods,Akira Financial Limited,1237448,100808,"35,803.56"
Department of Health,London North West Healthcare NHS Trust,10/02/2021,Capital,Estates/Building Works,Dc Emergency Systems Ltd,1401393,1015774,"64,360.80"
Department of Health,London North West Healthcare NHS Trust,10/02/2021,Capital,Estates/Building Works,Dc Emergency Systems Ltd,1401394,1015775,"27,455.65"
Department of Health,London North West Healthcare NHS Trust,17/02/2021,Capital,Estates/Building Works,Hiltons Electrical Services Ltd,1389069,10256,"79,425.00"
Department of Health,London North West Healthcare NHS Trust,17/02/2021,Capital,Estates/Building Works,Hiltons Electrical Services Ltd,1391113,10258,"306,105.00"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Capital,Estates/Building Works,Hiltons Electrical Services Ltd,1399640,10273,"79,425.00"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Capital,Estates/Building Works,Hiltons Electrical Services Ltd,1399639,10274,"153,052.50"
Department of Health,London North West Healthcare NHS Trust,10/02/2021,Capital,Equipment,Siemens Healthcare,1389785,1051092021,"28,615.20"
Department of Health,London North West Healthcare NHS Trust,03/02/2021,Capital,Estates/Building Works,Siemens Healthcare,1388975,1051092113,"45,400.32"
Department of Health,London North West Healthcare NHS Trust,17/02/2021,Capital,Estates/Building Works,Siemens Healthcare,1393006,1051092164,"204,381.90"
Department of Health,London North West Healthcare NHS Trust,17/02/2021,Capital,Estates/Building Works,Siemens Healthcare,1393007,1051092171,"108,336.25"
Department of Health,London North West Healthcare NHS Trust,17/02/2021,Capital,Equipment,Siemens Healthcare,1395754,1051093037,"574,251.06"
